Index,0:？,1:？
0,TEXT_BANNAM402_03110_SEQ_00,{{color|id=508|特殊规则： 等级调整（限定职业）}}<br>※本任务需要与接受任务时的职业相同才可继续进行任务。<br><br>朵洛衣楼的光风院霁月正在为筹集材料的事发愁。
1,TEXT_BANNAM402_03110_SEQ_01,和重逢集市的鱼鳞对话
2,TEXT_BANNAM402_03110_SEQ_02,将委托物品交给重逢集市的鱼鳞
3,TEXT_BANNAM402_03110_SEQ_03,在重逢集市获取{{EObj|2009494|0}}
4,TEXT_BANNAM402_03110_SEQ_04,将{{EventItem|2002475|0}}交给光风院霁月
5,TEXT_BANNAM402_03110_SEQ_05,
6,TEXT_BANNAM402_03110_SEQ_06,
7,TEXT_BANNAM402_03110_SEQ_07,
8,TEXT_BANNAM402_03110_SEQ_08,
9,TEXT_BANNAM402_03110_SEQ_09,
10,TEXT_BANNAM402_03110_SEQ_10,
11,TEXT_BANNAM402_03110_SEQ_11,
12,TEXT_BANNAM402_03110_SEQ_12,
13,TEXT_BANNAM402_03110_SEQ_13,
14,TEXT_BANNAM402_03110_SEQ_14,
15,TEXT_BANNAM402_03110_SEQ_15,
16,TEXT_BANNAM402_03110_SEQ_16,
17,TEXT_BANNAM402_03110_SEQ_17,
18,TEXT_BANNAM402_03110_SEQ_18,
19,TEXT_BANNAM402_03110_SEQ_19,
20,TEXT_BANNAM402_03110_SEQ_20,
21,TEXT_BANNAM402_03110_SEQ_21,
22,TEXT_BANNAM402_03110_SEQ_22,
23,TEXT_BANNAM402_03110_SEQ_23,
24,TEXT_BANNAM402_03110_TODO_00,和重逢集市的鱼鳞对话
25,TEXT_BANNAM402_03110_TODO_01,<if (<var:4> == 9) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 10) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 11) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 8) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 12) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 13) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 14) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 15) { <if (<var:1> < <var:2>) { 制作笔记 蛮族任务：制作<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 16) { <if (<var:1> < <var:2>) { 从重逢集市南边的石场采集<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 17) { <if (<var:1> < <var:2>) { 从重逢集市南边的草场采集<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> } else { <if (<var:4> == 18) { <if (<var:1> < <var:2>) { 从涅木卡勒河钓<Item:<var:5>:0> } else { 将<Item:<var:5>:0>交给重逢集市的鱼鳞 }> }> }> }> }> }> }> }> }> }> }> }>
26,TEXT_BANNAM402_03110_TODO_02,在重逢集市获取{{EObj|2009494|0}}
27,TEXT_BANNAM402_03110_TODO_03,将{{EventItem|2002475|0}}交给光风院霁月
28,TEXT_BANNAM402_03110_TODO_04,
29,TEXT_BANNAM402_03110_TODO_05,
30,TEXT_BANNAM402_03110_TODO_06,
31,TEXT_BANNAM402_03110_TODO_07,
32,TEXT_BANNAM402_03110_TODO_08,
33,TEXT_BANNAM402_03110_TODO_09,
34,TEXT_BANNAM402_03110_TODO_10,
35,TEXT_BANNAM402_03110_TODO_11,
36,TEXT_BANNAM402_03110_TODO_12,
37,TEXT_BANNAM402_03110_TODO_13,
38,TEXT_BANNAM402_03110_TODO_14,
39,TEXT_BANNAM402_03110_TODO_15,
40,TEXT_BANNAM402_03110_TODO_16,
41,TEXT_BANNAM402_03110_TODO_17,
42,TEXT_BANNAM402_03110_TODO_18,
43,TEXT_BANNAM402_03110_TODO_19,
44,TEXT_BANNAM402_03110_TODO_20,
45,TEXT_BANNAM402_03110_TODO_21,
46,TEXT_BANNAM402_03110_TODO_22,
47,TEXT_BANNAM402_03110_TODO_23,
48,TEXT_BANNAM402_03110_KOFUINSEIGETSU_000_000,哎呀哎呀……为了准备祭礼需要大量的木材，<br>可这太阳神草原上自然生长的树木很少，因此很难筹集到。
49,TEXT_BANNAM402_03110_KOFUINSEIGETSU_000_001,我正发愁的时候，得到了一个情报，<br>说是在重逢集市上，有延夏来的鲶鱼精商人在卖木材。
50,TEXT_BANNAM402_03110_KOFUINSEIGETSU_000_002,我已经和他讲好条件了。<br>请你前往重逢集市，和商人鱼鳞进行交涉，<br>满足他的要求，然后把木材带回来。
51,TEXT_BANNAM402_03110_GYORIN_000_010,哎呀，是<name:玩家全名>！<br>你是大老远跑过来见我的吗？
52,TEXT_BANNAM402_03110_GYORIN_000_011,是这样啊……那个稍微有些自大的鲶鱼精所说的<br>负责交涉的人就是<name:玩家全名>你吧？<br>这样的话就好说了！
53,TEXT_BANNAM402_03110_GYORIN_000_012,哎呀，<name:玩家全名>！<br>你又大老远跑来见我啦？
54,TEXT_BANNAM402_03110_GYORIN_000_013,是这样啊……那个稍微有些自大的鲶鱼精所说的<br>负责交涉的人就是<name:玩家全名>你吧？<br>老是让你跑腿，那个鲶鱼精可真能使唤人。
55,TEXT_BANNAM402_03110_GYORIN_000_014,有几个我不太好入手的东西！<br>如果你能帮我准备这些东西的话，<br>我很乐意把木材转让给你们！
56,TEXT_BANNAM402_03110_GYORIN_000_015,希望你能帮我制作{{Item|22731|0}}项链！<br>制作所需要的东西就放在旁边的货箱里，<br>请你不要客气尽管用！
57,TEXT_BANNAM402_03110_GYORIN_000_016,希望你能帮我制作{{Item|22731|0}}头巾！<br>制作所需要的东西就放在旁边的货箱里，<br>请你不要客气尽管用！
58,TEXT_BANNAM402_03110_GYORIN_000_017,希望你能帮我制作{{Item|22731|0}}马奶酒！<br>制作所需要的东西就放在旁边的货箱里，<br>请你不要客气尽管用！
59,TEXT_BANNAM402_03110_GYORIN_000_018,希望你能帮我采来3个只有在太阳神草原才能找到的{{Item|22627|0}}！<br>听说在从这里往南走的地方可以采到！
60,TEXT_BANNAM402_03110_GYORIN_000_019,希望你能帮我采来3个只有在太阳神草原才能找到的{{Item|22653|0}}！<br>听说在从这里往南走的地方可以采到！
61,TEXT_BANNAM402_03110_GYORIN_000_020,希望你能帮我钓来只有太阳神草原才有的{{Item|22679|0}}！<br>听说在涅木卡勒河使用{{Item|20613|0}}之类的鱼饵可以钓到！
62,TEXT_BANNAM402_03110_GYORIN_000_021,准备好以后请你交给我！<br>我在这等你哦！
63,TEXT_BANNAM402_03110_GYORIN_000_022,素材不够用了吗？<br>制作所需要的素材就放在旁边的货箱里，<br>请你不要客气尽管用！
64,TEXT_BANNAM402_03110_GYORIN_000_023,素材不够用了吗？<br>制作所需要的素材就放在旁边的货箱里，<br>请你不要客气尽管用！
65,TEXT_BANNAM402_03110_GYORIN_000_024,素材不够用了吗？<br>制作所需要的素材就放在旁边的货箱里，<br>请你不要客气尽管用！
