key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Item[8],Item[9],Item[10],Item[11],Item[12],Item[13]
int32,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item
0,"","","","","","","","","","","","","",""
1,"オートクレール・アニマ","ライジングサン・アニマ","パラシュ・アニマ","ブリューナク・アニマ","アルク・ミュジカル・アニマ","セラフケーン・アニマ","ルナリスロッド・アニマ","アルマンダル・アニマ","ストイケイア・アニマ","不動行光【魂】","フェルディナント・アニマ","デスブリンガー・アニマ","アトラース・アニマ","プリトウェン・アニマ"
2,"オートクレール・アウォーク","ライジングサン・アウォーク","パラシュ・アウォーク","ブリューナク・アウォーク","アルク・ミュジカル・アウォーク","セラフケーン・アウォーク","ルナリスロッド・アウォーク","アルマンダル・アウォーク","ストイケイア・アウォーク","不動行光【覚】","フェルディナント・アウォーク","デスブリンガー・アウォーク","アトラース・アウォーク","プリトウェン・アウォーク"
3,"アルマス","ウルスラグナ","ウコンバサラ","ロンゴミアント","ガーンデーヴァ","マジェスタス","フヴェルゲルミル","ドラコノミコン","テトラビブロス","神無","アルマゲドン","ノートゥング","デネブ","アンキレー"
4,"アルマス・コンダクト","ウルスラグナ・コンダクト","ウコンバサラ・コンダクト","ロンゴミアント・コンダクト","ガーンデーヴァ・コンダクト","マジェスタス・コンダクト","フヴェルゲルミル・コンダクト","ドラコノミコン・コンダクト","テトラビブロス・コンダクト","神無【伝】","アルマゲドン・コンダクト","ノートゥング・コンダクト","デネブ・コンダクト","アンキレー・コンダクト"
5,"セインズソード","スルタンズフィスト","ブラッドエンペラーアクス","オーバーロードトライデント","オウタークボウ","ホワイトザールケーン","ブラックハーンロッド","ブック・オブ・マッドクィーン","ワード・オブ・マグネート","ソーンプリンスブレード","ダイナストファイア","タイラントディバイダー","ラストエアープラニスフィア","セインズシールド"
6,"セインズソード・シャープ","スルタンズフィスト・シャープ","ブラッドエンペラーアクス・シャープ","オーバーロードトライデント・シャープ","オウタークボウ・シャープ","ホワイトザールケーン・シャープ","ブラックハーンロッド・シャープ","ブック・オブ・マッドクィーン・シャープ","ワード・オブ・マグネート・シャープ","ソーンプリンスブレード・シャープ","ダイナストファイア・シャープ","タイラントディバイダー・シャープ","ラストエアープラニスフィア・シャープ","セインズシールド・シャープ"
7,"エーティル","ニエーペル","ミノス","アラドヴァル","テルパンダー","シンドリ","カラダンダ","ミメーシス","アナバシス","サンダン","デスロック","クロノス","カノープス","プリュウェン"
8,"エーティル・ルクス","ニエーペル・ルクス","ミノス・ルクス","アラドヴァル・ルクス","テルパンダー・ルクス","シンドリ・ルクス","カラダンダ・ルクス","ミメーシス・ルクス","アナバシス・ルクス","サンダン・ルクス","デスロック・ルクス","クロノス・ルクス","カノープス・ルクス","プリュウェン・ルクス"
