Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？,13:？
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,-0.10000000149011612,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.10000000149011612,-0.10000000149011612,0.0
2,0.0,0.0,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.10000000149011612,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,-0.10000000149011612,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,-0.10000000149011612,0.0
6,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,0.10000000149011612,0.10000000149011612,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0
8,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,0.0
9,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000149011612,0.0,0.0,0.0,-0.10000000149011612,0.0
12,0.15000000596046448,0.15000000596046448,0.10000000149011612,0.10000000149011612,0.05000000074505806,0.05000000074505806,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.05000000074505806,0.10000000149011612,0.05000000074505806,0.10000000149011612,0.10000000149011612
13,0.0,0.0,0.05000000074505806,0.0,-0.10000000149011612,-0.10000000149011612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
