key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,Quest,RewardType,ShopItems[0],ShopItems[1],ShopItems[2],ShopItems[3],ShopItems[4],ShopItems[5],ShopItems[6],ShopItems[7],ShopItems[8],ShopItems[9],ShopItems[10]
int32,str,Quest,byte,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem,CollectablesShopItem
3866624,"",,0,"","","","","","","","","","",""
3866625,"交换能工巧匠改良用材料","来者不善，善者不来",2,"改良用雪松木材","改良用黑铁钉","改良用秘银环","改良用白银块","改良用迦迦纳革细绳","改良用面料","改良用黏胶","改良用油脂","","",""
3866626,"収集品納品","一流工匠的新工作",1,"收藏用雪松长弓","收藏用灵银斗剑","收藏用灵银角盔","收藏用灵银护目镜","收藏用古鸟革腰带","收藏用虹布外套","收藏用古鸟革魔导书","收藏用千层长颈驼焗野菜","收藏用灵银沙","收藏用虹棉","碎冰鱼"
3866627,"●収集品回収",,1,"灵银三尖枪","灵银斗剑","灵银御敌角盔","玛瑙御敌戒指","古鸟革强袭腰带","虹布精准小丑帽","古鸟革魔导书","无花果奶冻","黄铜矿","旧世界无花果",""
3866628,"交换最终改良用材料","改良工具的最终阶段",2,"最终改良用松木木材","最终改良用银制齿轮","最终改良用钨钢方板","最终改良用苍天石","最终改良用瞪羚革","最终改良用纻布","最终改良用圣水","最终改良用鲨油","最终改良用精金矿","最终改良用羽毛","点火鱼"
3866629,"交换老式辉煌工具用材料","诚信为本——莫雯卓越商会",2,"老式辉煌工具的第一次加工部件：刻木","老式辉煌工具的第一次加工部件：锻冶","老式辉煌工具的第一次加工部件：铸甲","老式辉煌工具的第一次加工部件：雕金","老式辉煌工具的第一次加工部件：制革","老式辉煌工具的第一次加工部件：裁缝","老式辉煌工具的第一次加工部件：炼金","老式辉煌工具的第一次加工部件：烹调","","",""
3866630,"交换辉煌工具用材料","诚信为本——莫雯卓越商会",2,"辉煌工具的第一次加工部件：刻木","辉煌工具的第一次加工部件：锻冶","辉煌工具的第一次加工部件：铸甲","辉煌工具的第一次加工部件：雕金","辉煌工具的第一次加工部件：制革","辉煌工具的第一次加工部件：裁缝","辉煌工具的第一次加工部件：炼金","辉煌工具的第一次加工部件：烹调","","",""
3866631,"递交交易资本",,2,"面向收藏家的座椅","面向收藏家的壁灯","面向收藏家的装饰门","面向收藏家的化妆镜","面向收藏家的地毯","面向收藏家的装饰帷幔","面向收藏家的化妆箱","面向收藏家的仙子莓茶","面向收藏家的彩虹晶","面向收藏家的硬质金合欢树皮","白金海马"
