Index,0:？
0,
1,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“大家好！”<28:0><27:1>}}
2,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“辛苦了！”<28:0><27:1>}}
3,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“谢谢！”<28:0><27:1>}}
4,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“漂亮！”<28:0><27:1>}}
5,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示对战用额外技能1的可使用情况。<br>{{color|17|t=233|<27:0><28:1>“可以使用‘技能名’！”<br>“还有‘剩余时间’秒可以再次使用‘技能名’！”<28:0><27:1>}}
6,该指令只能在“群狼盛宴”中使用。<br>使用后会根据情况在小队频道中显示发言内容。<br>{{color|17|t=233|<27:0><28:1>“可以使用奋战技！”<br>“奋战技达到‘当前数值’%！”<28:0><27:1>}}
7,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来瞄准攻击补给箱！”<28:0><27:1>}}
8,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来瞄准防御补给箱！”<28:0><27:1>}}
9,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来瞄准奋战补给箱！”<28:0><27:1>}}
10,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来瞄准狼心！”<28:0><27:1>}}
11,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来攻击防护职业！”<28:0><27:1>}}
12,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来攻击治疗职业！”<28:0><27:1>}}
13,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来攻击近战职业！”<28:0><27:1>}}
14,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来攻击远程职业！”<28:0><27:1>}}
15,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来拖住防护职业！”<28:0><27:1>}}
16,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来拖住治疗职业！”<28:0><27:1>}}
17,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来拖住近战职业！”<28:0><27:1>}}
18,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来拖住远程职业！”<28:0><27:1>}}
19,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“我来拾取战章！”<28:0><27:1>}}
20,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“请去拾取战章！”<28:0><27:1>}}
21,该指令只能在“群狼盛宴”中使用。<br>使用后会在小队频道中显示固定的发言内容。<br>{{color|17|t=233|<27:0><28:1>“大家全力攻击！”<28:0><27:1>}}
