Index,0:？
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,多玛方城战是什么样的游戏
30,1. 简介
31,“多玛方城战”是由4名玩家进行对战的桌牌游戏。<br>多玛方城战的游戏规则源自日本麻将。<br>在接下来的条目中将会详细说明有关多玛方城战的基础知识与规则。<br><br>
32,2. 怎么玩
33,“多玛方城战”是由4人进行对战的游戏。玩家需要将14张多玛方城牌组合成特定牌型，以成功组合出牌型的速度与获得的点数决定胜负。<br><br>游戏开始时，每位玩家会分配到13张手牌。<br>游戏开始后，第一个轮到的玩家抓1张牌，然后打出1张自己不需要的牌。接下来，轮到这位玩家右手边的玩家进行同样的步骤，如此反复以推进游戏。<br><br>第一个用抓到的1张牌配合手中的13张牌组成特定牌型的玩家会赢得此局的胜利并获得点数。如此重复下去，在第8局结束时获得点数最多的玩家即为最终赢家，宣告游戏结束。<br><br>那么接下来，首先先看看牌型究竟是什么吧。
34,如上图所示，用14张牌组合成{{color|id=506|4个3张1组的牌再加上1个2张相同牌1组的牌，即是方城战基础的牌型。}}关于3张1组牌的具体组合方式，则是会在别的条目中另行讲解。基本上牌型组合方式的难度越高，在赢得胜利后获得的点数也就会越多。<br><br>
35,3. 多玛方城牌的种类
36,多玛方城牌的牌可分成两个系统，<br>分别是刻着数字的“数牌”和刻着文字的“字牌”。<br><br>■刻着数字的数牌<br>数牌共有3种，分别是“万子”“筒子”“索子”，每种都刻有代表1到9的数字或图案。<br>
37,■刻着文字的字牌<br>字牌有2种，分为“风牌”（图中上面4个）与“三元牌”（图中下面3个）。<br>字牌与数牌不同，不存在类似123的顺序。
38,另外，多玛方城牌中每种牌都各有4张。上图所示的34种牌均各有4张，因此多玛方城牌的全部数量为136张。<br>{{color|id=506|多玛方城战是4位玩家运用这136张牌，看谁能比其他玩家先一步（并尽可能地追求获得更高的点数）用14张手牌组出牌型的游戏。}}<br><br>
39,4. 手牌的组建
40,■3张数字连续的牌组成顺子<br>数牌中每3张花色相同且数字相连的牌可以组成一组顺子，比如下图中的3张万子牌“2万、3万、4万”，3张筒子牌“4筒5筒6筒”，3张索子牌“7索8索9索”。<br>但是不同花色的牌是不能组成顺子的，比如下图中的“2万、3筒、4万”。另外像是“891”“912”这样带着循环的数字组合也无法组成顺子。
41,■3张同样的牌组成刻子<br>3张完全相同的牌可以组成一组刻子。<br>此种组合方式对“数牌”和“字牌”都适用。
42,多玛方城战的基础和牌牌型（可宣告胜利的牌型），就是由4组顺子或刻子，加1组雀头（一副对子，即2张相同的牌），共14张牌构成。（下图为示例）<br><br>※除此之外还有很多不同于上述基础格式的和牌牌型，可以等熟悉了基础后再进行深入了解。<br><br>
43,5. 游戏的进行方式
