key,0,1
#,Key,Output
int32,byte,Row
0.0,0,
1.1,1,"忠义量谱"
1.2,3,
1.3,5,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>钢铁信念<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能使用状态的量谱。
想要集中仇恨时，建议使用钢铁信念。"
1.4,2,
1.5,5,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>职业量谱的说明可以随时在技能菜单中进行查看。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
2.1,1,"忠义量谱"
2.2,3,
2.3,5,"学会<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忠义精通<UIGlow>01</UIGlow><UIForeground>01</UIForeground>特性后，画面上会出现专用的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忠义量谱<UIGlow>01</UIGlow><UIForeground>01</UIForeground>。
该量谱不仅会显示钢铁信念的状态，还会显示骑士的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>忠义<UIGlow>01</UIGlow><UIForeground>01</UIForeground>效果的具体量值。
自动攻击命中时会积累忠义量值，消耗忠义量值可以发动<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>盾阵<UIGlow>01</UIGlow><UIForeground>01</UIForeground>、45级学会的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>保护<UIGlow>01</UIGlow><UIForeground>01</UIForeground>和62级学会的<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>干预<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能。"
2.4,2,
2.5,3,
2.6,5,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>钢铁信念<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能使用状态的量谱。
想要集中仇恨时，建议使用钢铁信念。"
2.7,2,
2.8,5,"<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>职业量谱的说明可以随时在技能菜单中进行查看。<UIGlow>01</UIGlow><UIForeground>01</UIForeground>"
3.1,1,"兽魂量谱"
3.2,3,
3.3,5,"开启<UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>守护<UIGlow>01</UIGlow><UIForeground>01</UIForeground>技能后，画面上会出现显示该技能使用状态的量谱。
想要集中仇恨时，建议使用守护。"
