key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW,WVR,ALC,CUL
int32,str,str,ActionTimeline,ActionTimeline,Image,ClassJob,ClassJobCategory,byte,Quest,bit&01,uint16,byte,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction
100000,"","","","",,"冒险者","",0,,False,0,0,,,,,,,,
100001,"制作","消耗耐久以推动作业进展
效率：<If(Equal(PlayerParameter(68),8))><If(GreaterThanOrEqualTo(PlayerParameter(69),31))>120<Else/>100</If><Else/>100</If>
成功率：100%","craft/action_normal","craft/action_normal_sub","ui/icon/001000/001501.tex","刻木匠","刻木匠",1,,False,0,0,"制作","制作","制作","制作","制作","制作","制作","制作"
100002,"加工","消耗耐久以提高制品品质
效率：100
成功率：100%","craft/action_carefully","craft/action_carefully_sub","ui/icon/001000/001502.tex","刻木匠","刻木匠",5,,False,0,18,"加工","加工","加工","加工","加工","加工","加工","加工"
100003,"精修","恢复30点耐久","craft/buff","craft/buff_sub","ui/icon/001000/001952.tex","刻木匠","刻木匠",7,,False,0,88,"精修","精修","精修","精修","精修","精修","精修","精修"
100004,"中级加工","消耗耐久以提高制品品质
效率：125
成功率：100%
<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>连击条件：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>加工　<UIForeground>F201F8</UIForeground><UIGlow>F201F9</UIGlow>连击中消耗制作力：<UIGlow>01</UIGlow><UIForeground>01</UIForeground>18","craft/action_carefully","craft/action_carefully_sub","ui/icon/001000/001516.tex","刻木匠","刻木匠",18,,False,0,32,"中级加工","中级加工","中级加工","中级加工","中级加工","中级加工","中级加工","中级加工"
100005,"精修II","恢复60点耐久","craft/buff","craft/buff_sub","ui/icon/001000/001956.tex",,"",1,,False,0,0,"精修II","精修II","精修II","精修II","精修II","精修II","精修II","精修II"
100006,"风之印记","消耗耐久以推动作业进展
处理风属性配方时效率变为2倍
效率：100（200）
成功率：90%","craft/action_normal","craft/action_normal_sub","ui/icon/001000/001509.tex",,"",1,,False,0,0,"风之印记",,,,,,,
100007,"中级制作","消耗耐久以推动作业进展
效率：150
成功率：90%","craft/action_normal","craft/action_normal_sub","ui/icon/001000/001515.tex",,"",1,,False,0,0,"中级制作","中级制作","中级制作","中级制作","中级制作","中级制作","中级制作","中级制作"
100008,"上级加工","消耗耐久以提高制品品质
效率：150
成功率：90%","craft/action_carefully","craft/action_carefully_sub","ui/icon/001000/001517.tex",,"",1,,False,0,0,"上级加工","上级加工","上级加工","上级加工","上级加工","上级加工","上级加工","上级加工"
100009,"比尔格的祝福","消耗耐久以提高制品品质
随内静的效果提高效率，内静每生效过一次效率提升20
使用之后会结束内静效果
效率：100（100～）
成功率：90%","craft/action_carefully","craft/action_carefully_sub","ui/icon/001000/001521.tex",,"",1,,False,0,0,"比尔格的祝福",,,,,,,
