key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
#,InstanceContentType,WeekRestriction,TimeLimit{min},,BGM,WinBGM,Cutscene,LGBEventRange,Order,Colosseum,,InstanceContentTextData{Boss}{Start},InstanceContentTextData{Boss}{End},BNpcBase{Boss},InstanceContentTextData{Objective}{Start},InstanceContentTextData{Objective}{End},SortKey,NewPlayerBonusGil,NewPlayerBonusExp,NewPlayerBonusA,NewPlayerBonusB,FinalBossExp,,FinalBossCurrencyA,FinalBossCurrencyB,FinalBossCurrencyC,BossExp[0],BossExp[1],BossExp[2],BossExp[3],BossExp[4],BossCurrencyA[0],BossCurrencyA[1],BossCurrencyA[2],BossCurrencyA[3],BossCurrencyA[4],BossCurrencyB[0],BossCurrencyB[1],BossCurrencyB[2],BossCurrencyB[3],BossCurrencyB[4],BossCurrencyC[0],BossCurrencyC[1],BossCurrencyC[2],BossCurrencyC[3],BossCurrencyC[4],InstanceClearExp,InstanceClearGil,InstanceContentRewardItem,,,InstanceContentBuff,,ReqInstance,PartyCondition,,,,,,,,,,,,,
int32,InstanceContentType,byte,uint16,bit&01,BGM,BGM,Cutscene,uint32,uint16,Colosseum,bit&02,InstanceContentTextData,InstanceContentTextData,BNpcBase,InstanceContentTextData,InstanceContentTextData,uint16,uint32,uint32,uint16,uint16,uint32,uint32,uint16,uint16,uint16,uint32,uint32,uint32,uint32,uint32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint32,uint32,InstanceContentRewardItem,byte,uint32,InstanceContentBuff,bit&04,InstanceContent,int16,byte,byte,byte,byte,bit&08,uint16,uint16,uint16,byte,uint16,uint16,bit&10,uint16
0,"InstanceContentType#0",0,60,False,"","music/ffxiv/BGM_System_WinLoop.scd","",0,0,"Colosseum#0",False,"","","BNpcBase#0","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0",False,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,0,0,False,0
1,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1r110/dunfst1r110",9083612,1,"Colosseum#0",False,"","","BNpcBase#444","裸者の広間への到達","グラフィアスの撃破",5,3400,3600,0,0,18230,32400,0,0,0,8100,14180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40500,550,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,83,46,0,14,0,False,0
2,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d110/dunfst1d110",1958540,2,"Colosseum#0",False,"血の復讐を求め「門」を開いた愚者は、
貴様ではないようだな……まぁ、よいわ。","事のついでだ……貴様の脳髄を啜り、
その精神の味を楽しむとしようぞ！","BNpcBase#73","邪教の念珠を入手","事のついでだ……貴様の脳髄を啜り、
その精神の味を楽しむとしようぞ！",2,2600,2200,0,0,13480,19600,0,0,0,3680,3680,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24500,400,"InstanceContentRewardItem#78",100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,15,0,False,0
3,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d110/dunwil1d110",2790145,3,"Colosseum#0",False,"オデたちをトジコメたワルモノに……。
ワルモノに……フクシュウををを……。","オマエラ……ワルモノさツブして……。
イジゾクにジユウををを！！！","BNpcBase#101","6オンズ爆薬の所持数","オマエラ……ワルモノさツブして……。
イジゾクにジユウををを！！！",3,2700,2700,0,0,13640,24200,0,0,0,6060,10610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30300,400,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,16,0,False,0
4,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d110/dunsea1d110",3283219,4,"Colosseum#0",False,"フスィーッ……。
海神様の潮流に抗う愚かな「ヒレナシ」よ！","我がアギトで噛み砕き
海の藻屑にしてくれようぞ！！","BNpcBase#1206","珊瑚の仕掛けの作動","我がアギトで噛み砕き
海の藻屑にしてくれようぞ！！",1,2500,2100,0,0,12925,18800,0,0,0,3525,3525,3525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500,400,"InstanceContentRewardItem#6",100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,17,0,False,0
5,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1r210/dunroc1r210",3619405,5,"Colosseum#0",False,"","","BNpcBase#1532","守衛の詰所を突破","モルボルの苗床を除去",12,5700,10300,0,0,51620,91800,0,0,0,22940,40150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114700,2400,"InstanceContentRewardItem#4",100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,18,0,False,0
6,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d210/dunfst1d210",3633039,6,"Colosseum#0",False,"","","BNpcBase#422","小さな鍵所持数","黄撫子の鍵を入手",6,3800,4300,0,0,21960,39000,0,0,0,9760,17080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48800,700,"InstanceContentRewardItem#11",100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,19,0,False,0
7,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d210/dunwil1d210",4097951,7,"Colosseum#0",False,"","","BNpcBase#1197","「拳闘の間」の突破","「剣闘の間」の突破",4,3000,3100,0,0,15620,27800,0,0,0,6940,12150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34700,450,"InstanceContentRewardItem#0",100,0,"InstanceContentBuff#0",True,"InstanceContent#0",-1,0,0,0,0,False,0,0,0,0,20,0,False,0
