Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？
0,True,True,True,True,True,True,True,True,True,True,True,True,True
1,False,False,False,False,False,False,False,False,False,False,False,False,False
2,True,False,False,False,False,False,False,False,False,False,False,False,False
3,True,False,False,False,False,False,True,False,False,False,False,True,False
4,True,True,True,True,True,True,True,False,False,False,False,False,False
5,False,False,False,False,False,False,False,True,True,True,True,True,True
6,True,False,True,False,False,False,False,True,False,False,False,False,False
7,False,True,False,True,True,True,False,False,True,True,True,False,False
8,False,False,False,False,False,False,True,False,False,False,False,True,False
9,False,False,False,False,False,False,False,False,False,False,False,False,True
