key,0,1,2,3
#,Name,Description,Icon,FCRank
int32,str,str,Image,FCRank
0,"","",,"FCRank#0"
1,"Company Chest","Unlocks the company chest.","ui/icon/064000/064301.tex","FCRank#1"
2,"Crest Customization","Enables company crest customization.","ui/icon/064000/064302.tex","FCRank#2"
3,"Gear Customization","Enables personal gear to be customized with the company crest.","ui/icon/064000/064303.tex","FCRank#4"
4,"Company Actions","Enables execution of company actions.","ui/icon/064000/064304.tex","FCRank#5"
5,"Chest Expansion","Increases the number of company chest compartments to three.","ui/icon/064000/064305.tex","FCRank#3"
6,"Crest Expansion","Increases the variety of company crest designs.","ui/icon/064000/064306.tex","FCRank#7"
7,"Action Expansion","Increases the maximum number of inactive and active company actions.","ui/icon/064000/064307.tex","FCRank#8"
8,"Land Acquisition","Enables the acquisition of land in residential districts.","ui/icon/064000/064308.tex","FCRank#6"
9,"Chest Expansion","Increases the number of company chest compartments to four.","ui/icon/064000/064305.tex","FCRank#9"
10,"Action Expansion","Increases the maximum number of inactive company actions.","ui/icon/064000/064307.tex","FCRank#10"
11,"Chest Expansion","Increases the number of company chest compartments to five.","ui/icon/064000/064305.tex","FCRank#11"
12,"Action Expansion","Increases the maximum number of inactive company actions.","ui/icon/064000/064307.tex","FCRank#12"
13,"Action Expansion","Increases the maximum number of inactive company actions.","ui/icon/064000/064307.tex","FCRank#13"
