key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182
#,Time[0],Time[1],Time[2],Time[3],Time[4],Time[5],Time[6],Time[7],BaseID[0],BaseID[1],BaseID[2],BaseID[3],BaseID[4],BaseID[5],BaseID[6],BaseID[7],EnemyLevel[0],EnemyLevel[1],EnemyLevel[2],EnemyLevel[3],EnemyLevel[4],EnemyLevel[5],EnemyLevel[6],EnemyLevel[7],BNpcName[0],BNpcName[1],BNpcName[2],BNpcName[3],BNpcName[4],BNpcName[5],BNpcName[6],BNpcName[7],ItemsInvolved[0],ItemsInvolved[1],ItemsInvolved[2],ItemsInvolved[3],ItemsInvolved[4],ItemsInvolved[5],ItemsInvolved[6],ItemsInvolved[7],ItemsInvolvedQty[0],ItemsInvolvedQty[1],ItemsInvolvedQty[2],ItemsInvolvedQty[3],ItemsInvolvedQty[4],ItemsInvolvedQty[5],ItemsInvolvedQty[6],ItemsInvolvedQty[7],ItemDropRate[0],ItemDropRate[1],ItemDropRate[2],ItemDropRate[3],ItemDropRate[4],ItemDropRate[5],ItemDropRate[6],ItemDropRate[7],ToDoNumberInvolved[0],ToDoNumberInvolved[1],ToDoNumberInvolved[2],ToDoNumberInvolved[3],ToDoNumberInvolved[4],ToDoNumberInvolved[5],ToDoNumberInvolved[6],ToDoNumberInvolved[7],ToDoParam[0][0],ToDoParam[1][0],ToDoParam[2][0],ToDoParam[3][0],ToDoParam[4][0],ToDoParam[5][0],ToDoParam[6][0],ToDoParam[7][0],ToDoParam[0][1],ToDoParam[1][1],ToDoParam[2][1],ToDoParam[3][1],ToDoParam[4][1],ToDoParam[5][1],ToDoParam[6][1],ToDoParam[7][1],ToDoParam[0][2],ToDoParam[1][2],ToDoParam[2][2],ToDoParam[3][2],ToDoParam[4][2],ToDoParam[5][2],ToDoParam[6][2],ToDoParam[7][2],ToDoParam[0][3],ToDoParam[1][3],ToDoParam[2][3],ToDoParam[3][3],ToDoParam[4][3],ToDoParam[5][3],ToDoParam[6][3],ToDoParam[7][3],ToDoParam[0][4],ToDoParam[1][4],ToDoParam[2][4],ToDoParam[3][4],ToDoParam[4][4],ToDoParam[5][4],ToDoParam[6][4],ToDoParam[7][4],NumOfAppearance[0][0],NumOfAppearance[1][0],NumOfAppearance[2][0],NumOfAppearance[3][0],NumOfAppearance[4][0],NumOfAppearance[5][0],NumOfAppearance[6][0],NumOfAppearance[7][0],NumOfAppearance[0][1],NumOfAppearance[1][1],NumOfAppearance[2][1],NumOfAppearance[3][1],NumOfAppearance[4][1],NumOfAppearance[5][1],NumOfAppearance[6][1],NumOfAppearance[7][1],NumOfAppearance[0][2],NumOfAppearance[1][2],NumOfAppearance[2][2],NumOfAppearance[3][2],NumOfAppearance[4][2],NumOfAppearance[5][2],NumOfAppearance[6][2],NumOfAppearance[7][2],NumOfAppearance[0][3],NumOfAppearance[1][3],NumOfAppearance[2][3],NumOfAppearance[3][3],NumOfAppearance[4][3],NumOfAppearance[5][3],NumOfAppearance[6][3],NumOfAppearance[7][3],NumOfAppearance[0][4],NumOfAppearance[1][4],NumOfAppearance[2][4],NumOfAppearance[3][4],NumOfAppearance[4][4],NumOfAppearance[5][4],NumOfAppearance[6][4],NumOfAppearance[7][4],NumOfAppearance[0][5],NumOfAppearance[1][5],NumOfAppearance[2][5],NumOfAppearance[3][5],NumOfAppearance[4][5],NumOfAppearance[5][5],NumOfAppearance[6][5],NumOfAppearance[7][5],NumOfAppearance[0][6],NumOfAppearance[1][6],NumOfAppearance[2][6],NumOfAppearance[3][6],NumOfAppearance[4][6],NumOfAppearance[5][6],NumOfAppearance[6][6],NumOfAppearance[7][6],NumOfAppearance[0][7],NumOfAppearance[1][7],NumOfAppearance[2][7],NumOfAppearance[3][7],NumOfAppearance[4][7],NumOfAppearance[5][7],NumOfAppearance[6][7],NumOfAppearance[7][7],ToDoSequence[0],ToDoSequence[1],ToDoSequence[2],ToDoSequence[3],ToDoSequence[4],ToDoSequence[5],ToDoSequence[6],ToDoSequence[7],Rule,Varient,Objective[0],Objective[1],Objective[2],Help[0],Help[1]
int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,Row,Row,Row,Row,Row,Row,Row,Row,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,BNpcName,BNpcName,BNpcName,BNpcName,BNpcName,BNpcName,BNpcName,BNpcName,EventItem,EventItem,EventItem,EventItem,EventItem,EventItem,EventItem,EventItem,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,BattleLeveRule,byte,LeveString,LeveString,LeveString,uint16,uint16
65536,0,0,0,0,0,0,0,0,"BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0",0,0,0,0,0,0,0,0,"","","","","","","","",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"","","",0,0
65537,0,0,0,0,0,0,0,0,"BNpcBase#17","BNpcBase#20","BNpcBase#4","BNpcBase#15","BNpcBase#21","BNpcBase#0","BNpcBase#0","BNpcBase#0",30,30,30,30,30,0,0,0,"","","","","","","","",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0,0,0,75,50,0,0,0,0,0,0,3,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,"BattleLevePursuit",1,"Eliminate target enemies.","","",0,0
65538,0,0,0,0,0,0,0,0,"letter to Isaudorel","BNpcBase#138","BNpcBase#17","BNpcBase#382","BNpcBase#136","BNpcBase#0","BNpcBase#0","BNpcBase#0",0,10,10,10,10,0,0,0,"","dirty mongrel","fire bomb","loamshell","sun midge cloud","","","",,,"water sprite core",,,,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,"BattleLeveHunt",1,"Defeat target enemies.","","",0,0
65539,0,0,0,0,0,0,0,0,"BNpcBase#17","BNpcBase#20","BNpcBase#4","BNpcBase#15","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0",30,30,30,30,0,0,0,0,"","","","","","","","",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,0,"BattleLeveSweep",2,"Defeat target enemies.","","",0,0
65540,0,0,0,0,0,0,0,0,"BNpcBase#17","BNpcBase#20","BNpcBase#4","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0",30,30,30,0,0,0,0,0,"","","","","","","","",,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,"BattleLeveSweep",3,"Defeat target enemies.","","",0,0
65541,0,0,0,0,0,0,0,0,"BNpcBase#14","BNpcBase#21","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0",30,30,0,0,0,0,0,0,"","","","","","","","","carrion chigoe egg sac","tattered uniform",,,,,,,1,1,0,0,0,0,0,0,100,100,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"BattleLeveDrop",1,"Obtain target items.","","",0,0
65542,0,0,0,0,0,0,0,0,"BNpcBase#17","BNpcBase#20","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0",30,30,0,0,0,0,0,0,"","","","","","","","","carrion chigoe egg sac","tattered uniform",,,,,,,1,1,0,0,0,0,0,0,100,100,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"BattleLeveDrop",2,"Obtain target items.","","",0,0
65543,0,0,0,0,0,0,0,0,"BNpcBase#17","BNpcBase#20","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0","BNpcBase#0",30,30,0,0,0,0,0,0,"","","","","","","","","carrion chigoe egg sac","tattered uniform",,,,,,,1,1,0,0,0,0,0,0,100,100,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"BattleLeveDrop",3,"Obtain target items.","","",0,0
