Index,0:？,1:？,2:？,3:？
0,,0,0,0
1,战队“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”成立了。,0,1,0
2,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>加入了战队。,2,0,0
3,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>退出了战队。,2,0,0
4,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>退出了战队。,2,0,0
5,,2,0,0
6,,2,0,0
7,战队名已被修改为“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,0,1,0
8,战队队徽已变更。,0,0,0
9,战队段位已升至“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,0,3,0
10,战队段位已降至“<if (<param:9> <ObjStr:<param:9>:0>) { <name:玩家名> }>”。,0,3,0
11,新的赛季开始了。,0,0,0
12,因为队长已经离开一定期间，<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>被任命为战队队长。,2,0,0
13,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>被任命为战队副队长。,2,0,0
14,<if (<param:8> <ObjStr:<param:8>:0>) { <name:3> }>被移交了战队队长职务。,2,0,0
