key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,MapCondition,PriorityCategoryUI,PriorityUI,MapIndex,Hierarchy,MapMarkerRange,Id,SizeFactor,Offset{X},Offset{Y},PlaceName{Region},PlaceName,PlaceName{Sub},DiscoveryIndex,DiscoveryFlag,TerritoryType,DiscoveryArrayByte,IsEvent,,
int32,MapCondition,byte,byte,sbyte,byte,uint16,str,uint16,int16,int16,PlaceName,PlaceName,PlaceName,int16,uint32,TerritoryType,bit&01,bit&02,bit&04,byte
0,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False,0
1,"",0,0,0,1,0,"default/00",100,0,0,"？？？？","艾欧泽亚","",-1,0,"",True,False,False,0
2,"",2,2,0,1,3,"f1t1/00",200,0,0,"黑衣森林","格里达尼亚新街","",-1,0,"f1t1",True,False,False,0
3,"",2,3,0,1,4,"f1t2/00",200,0,0,"黑衣森林","格里达尼亚旧街","",-1,0,"f1t2",True,False,False,0
4,"",2,5,0,1,5,"f1f1/00",100,0,0,"黑衣森林","黑衣森林中央林区","",0,16382,"f1f1",True,False,False,0
5,"",2,6,0,1,6,"f1f2/00",100,0,0,"黑衣森林","黑衣森林东部林区","",0,1048574,"f1f2",False,False,False,0
6,"",2,7,0,1,7,"f1f3/00",100,0,0,"黑衣森林","黑衣森林南部林区","",1,131070,"f1f3",False,False,False,0
7,"",2,8,0,1,8,"f1f4/00",100,0,0,"黑衣森林","黑衣森林北部林区","",2,131070,"f1f4",False,False,False,0
8,"",2,9,0,1,10,"f1d1/00",300,0,0,"黑衣森林","塔姆·塔拉墓园","",1,4094,"f1d1_re",True,False,False,0
9,"",2,10,0,1,21,"f1r1/00",200,0,0,"黑衣森林","托托·拉克千狱","",2,16382,"f1r1_re",True,False,False,0
10,"",0,0,0,1,0,"default/00",100,0,0,"？？？？","陌迪翁牢狱","",-1,0,"z1ea",True,True,False,0
11,"",1,2,0,1,71,"s1t1/01",200,0,0,"拉诺西亚","利姆萨·罗敏萨上层甲板","",-1,0,"s1t1",True,False,False,0
12,"",1,3,0,1,72,"s1t2/01",200,0,0,"拉诺西亚","利姆萨·罗敏萨下层甲板","",-1,0,"s1t2",True,False,False,0
13,"",3,2,0,1,59,"w1t1/01",200,0,0,"萨纳兰","乌尔达哈现世回廊","",-1,0,"w1t1",True,False,False,0
14,"",3,3,1,1,60,"w1t2/01",200,0,0,"萨纳兰","乌尔达哈来生回廊","来生回廊",-1,0,"w1t2",True,False,False,0
15,"",1,6,0,1,74,"s1f1/00",100,0,0,"拉诺西亚","中拉诺西亚","",3,254,"s1f1",True,False,False,0
16,"",1,7,0,1,75,"s1f2/00",100,0,0,"拉诺西亚","拉诺西亚低地","",4,2046,"s1f2",True,False,False,0
17,"",1,8,0,1,76,"s1f3/01",100,0,0,"拉诺西亚","东拉诺西亚","",5,32766,"s1f3",True,False,False,0
18,"",1,9,0,1,77,"s1f4/00",100,0,0,"拉诺西亚","西拉诺西亚","",3,1048574,"s1f4",False,False,False,0
19,"",1,10,0,1,78,"s1f5/00",100,0,0,"拉诺西亚","拉诺西亚高地","",6,510,"s1f5",True,False,False,0
20,"",3,6,0,1,40,"w1f1/00",100,0,0,"萨纳兰","西萨纳兰","",7,8190,"w1f1",True,False,False,0
21,"",3,7,0,1,39,"w1f2/00",100,0,0,"萨纳兰","中萨纳兰","",8,16382,"w1f2",True,False,False,0
22,"",3,8,0,1,41,"w1f3/00",100,0,0,"萨纳兰","东萨纳兰","",4,262142,"w1f3",False,False,False,0
23,"",3,9,0,1,42,"w1f4/01",100,0,0,"萨纳兰","南萨纳兰","",5,1048574,"w1f4",False,False,False,0
24,"",3,10,0,1,43,"w1f5/00",100,0,0,"萨纳兰","北萨纳兰","",9,510,"w1f5",True,False,False,0
25,"",5,2,0,1,108,"l1f1/01",100,0,0,"摩杜纳","摩杜纳","",6,131070,"l1f1",False,False,False,0
26,"",0,0,0,1,68,"s1ti/00",800,0,0,"拉诺西亚","后桅旅店","",-1,0,"s1ti",True,False,False,0
27,"",0,0,0,1,70,"w1ti/00",800,0,0,"萨纳兰","沙钟旅亭","",-1,0,"w1ti",True,False,False,0
28,"",0,0,0,1,69,"f1ti/00",800,0,0,"黑衣森林","栖木旅馆","",-1,0,"f1ti",True,False,False,0
29,"",0,0,0,1,0,"default/00",200,0,0,"","","",-1,0,"",True,False,False,0
30,"",1,11,0,1,79,"s1f6/00",100,0,0,"拉诺西亚","拉诺西亚外地","",10,510,"s1f6",True,False,False,0
31,"",1,12,0,1,80,"s1d1/00",200,0,0,"拉诺西亚","沙斯塔夏溶洞","",11,4094,"s1d1_re",True,False,False,0
32,"",1,14,0,1,82,"s1d3/00",200,0,0,"拉诺西亚","放浪神古神殿","",12,1022,"s1d3",True,False,False,0
33,"",0,0,0,1,0,"s1fa/00",400,0,0,"拉诺西亚","奥·哥摩罗火口神殿","",-1,0,"s1fa_re",True,False,False,0
34,"",3,11,1,1,44,"w1d1/01",200,0,0,"萨纳兰","铜铃铜山","1层",13,6,"w1d1_re",True,False,False,0
35,"",0,0,0,1,0,"w1fa/00",400,0,0,"萨纳兰","炎帝陵","",-1,0,"w1fa_re",True,False,False,0
36,"",0,0,0,1,0,"f1fa/00",400,0,0,"黑衣森林","荆棘之园","",-1,0,"f1fa_re",True,False,False,0
37,"",4,7,0,1,103,"r1d1/00",200,0,0,"库尔札斯","石卫塔","",14,1022,"r1d1_re",True,False,False,0
38,"",4,9,0,1,106,"r1r2/00",200,0,0,"库尔札斯","黄金谷","",15,2046,"r1r2",True,False,False,0
39,"",0,0,1,1,0,"r1fa/01",400,0,0,"库尔札斯","呼啸眼石塔群","",-1,0,"r1fa_re",True,False,False,0
40,"",3,11,2,1,45,"w1d1/02",200,0,0,"萨纳兰","铜铃铜山","地下1层",13,16632,"w1d1_re",True,False,False,0
41,"",3,11,3,1,46,"w1d1/03",200,0,0,"萨纳兰","铜铃铜山","地下2层",13,16128,"w1d1_re",True,False,False,0
42,"",3,13,1,1,48,"w1d3/01",200,0,0,"萨纳兰","喀恩埋没圣堂","圣堂入口",7,2,"w1d3",False,False,False,0
43,"",3,13,2,1,49,"w1d3/02",200,0,0,"萨纳兰","喀恩埋没圣堂","埋没遗迹",7,131068,"w1d3",False,False,False,0
44,"",3,13,3,1,50,"w1d3/03",200,0,0,"萨纳兰","喀恩埋没圣堂","地下遗迹",7,917504,"w1d3",False,False,False,0
45,"",1,13,0,1,81,"s1d2/00",200,0,0,"拉诺西亚","布雷福洛克斯野营地","",16,65534,"s1d2_re",True,False,False,0
46,"",3,12,0,1,47,"w1d2/00",200,0,0,"萨纳兰","日影地修炼所","",17,1022,"w1d2",True,False,False,0
47,"",3,15,0,1,516,"w1d4/00",200,0,0,"萨纳兰","帝国南方堡","",18,65534,"w1d4_re",True,False,False,0
48,"",2,11,2,1,12,"f1d2/01",200,0,0,"黑衣森林","静语庄园","1层",8,510,"f1d2_re",False,False,False,0
49,"",2,12,1,1,14,"f1d3/01",200,0,0,"黑衣森林","无限城古堡","1层",19,14,"f1d3",True,False,False,0
50,"",4,8,1,1,104,"r1r1/01",200,0,0,"库尔札斯","泽梅尔要塞","要塞外围",25,62,"r1r1",True,False,False,0
51,"",1,5,0,1,83,"s1p1/00",400,-77,0,"拉诺西亚","狼狱停船场","",-1,0,"s1p1",True,False,False,0
52,"",3,14,1,1,63,"w1r1/01",200,0,0,"萨纳兰","樵鸣洞","枯水沙层",20,158,"w1r1",True,False,False,0
53,"",4,5,0,1,102,"r1f1/00",100,0,0,"库尔札斯","库尔札斯中央高地","",9,8388606,"r1f1",False,False,False,0
54,"",2,11,1,1,11,"f1d2/02",200,0,0,"黑衣森林","静语庄园","2层",8,1966080,"f1d2_re",False,False,False,0
55,"",2,11,3,1,13,"f1d2/03",200,0,0,"黑衣森林","静语庄园","地下1层",8,130560,"f1d2_re",False,False,False,0
56,"",3,16,1,1,517,"w1d5/01",200,0,0,"萨纳兰","天幕魔导城","顶层",26,2,"w1d5_re",True,False,False,0
57,"",0,0,0,1,87,"s1b1/00",200,0,0,"拉诺西亚","陨石勘查坑表层","",21,254,"s1b1",True,False,False,0
58,"",0,0,0,1,88,"s1b2/00",200,0,0,"拉诺西亚","陨石勘查坑深层","",22,6,"s1b2",True,False,False,0
59,"",0,0,0,1,92,"s1b4/00",200,0,0,"拉诺西亚","隔离壁","",-1,0,"s1b4",True,False,False,0
60,"",0,0,0,1,93,"s1b5/00",200,0,0,"拉诺西亚","中枢区","",23,14,"s1b5",True,False,False,0
61,"",0,0,0,1,94,"default/00",100,0,0,"拉诺西亚","第一舰桥","",-1,0,"s1b7",True,False,False,0
62,"",0,0,1,1,89,"s1b3/01",200,0,0,"拉诺西亚","诸神黄昏级拘束舰","引擎室",24,2,"s1b3",True,False,False,0
63,"",0,0,2,1,90,"s1b3/02",200,0,0,"拉诺西亚","诸神黄昏级拘束舰","压缩室",24,4,"s1b3",True,False,False,0
64,"",0,0,3,1,91,"s1b3/03",200,0,0,"拉诺西亚","诸神黄昏级拘束舰","推进室",24,8,"s1b3",True,False,False,0
65,"",0,0,3,1,25,"f1b3/01",200,0,0,"黑衣森林","诸神黄昏级三号舰舰体中央","下甲板",36,2,"f1b3",True,False,False,0
66,"",0,0,2,1,26,"f1b3/02",200,0,0,"黑衣森林","诸神黄昏级三号舰舰体中央","主甲板",36,52,"f1b3",True,False,False,0
67,"",0,0,1,1,27,"f1b3/03",200,0,0,"黑衣森林","诸神黄昏级三号舰舰体中央","上甲板",36,8,"f1b3",True,False,False,0
68,"",0,0,0,1,29,"f1e4/00",800,0,0,"黑衣森林","神勇队司令室","",-1,0,"f1e4",True,True,False,0
69,"",0,0,0,1,30,"f1e5/00",400,0,0,"黑衣森林","芙蓉圆桌","",-1,0,"f1e5",True,True,False,0
70,"",3,2,0,1,61,"w1t1/02",200,0,0,"萨纳兰","乌尔达哈现世回廊","乌尔达哈飞艇坪",-1,0,"w1t1",True,False,False,0
71,"",5,4,1,1,110,"l1r1/01",200,0,0,"摩杜纳","古代人迷宫","古代人迷宫1层",30,16382,"l1r1",True,False,False,0
72,"",1,4,1,1,86,"s1h1/01",200,0,0,"拉诺西亚","海雾村","海雾村",-1,0,"s1h1",True,False,False,0
73,"",3,3,2,1,62,"w1t2/02",200,0,0,"萨纳兰","乌尔达哈来生回廊","政府层",-1,0,"w1t2",True,False,False,0
74,"",1,2,0,1,73,"s1t1/02",200,0,0,"拉诺西亚","利姆萨·罗敏萨上层甲板","利姆萨·罗敏萨飞艇坪",-1,0,"s1t1",True,False,False,0
75,"",0,0,0,1,31,"s1e4/00",800,0,0,"拉诺西亚","提督室","",-1,0,"s1e4",True,True,False,0
76,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False,0
77,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False,0
78,"",0,0,0,1,34,"w1e4/00",400,0,0,"萨纳兰","银胄团总长室","",-1,0,"w1e4",True,True,False,0
79,"",0,0,0,0,0,"",100,0,0,"","","",-1,0,,True,False,False,0
80,"",0,0,0,1,36,"w1e6/00",400,0,0,"萨纳兰","沙之家","",-1,0,"w1e6",True,True,False,3
81,"",0,0,0,1,84,"s1p2/00",400,0,0,"拉诺西亚","群狼困斗","",-1,0,"",True,False,False,0
82,"",2,4,1,1,66,"f1h1/01",200,0,0,"黑衣森林","薰衣草苗圃","薰衣草苗圃",-1,0,"f1h1",True,False,False,0
83,"",3,4,1,1,67,"w1h1/01",200,0,0,"萨纳兰","高脚孤丘","高脚孤丘",-1,0,"w1h1",True,False,False,0
84,"",2,12,2,1,15,"f1d3/02",200,0,0,"黑衣森林","无限城古堡","2层",19,240,"f1d3",True,False,False,0
85,"",2,12,3,1,16,"f1d3/03",200,0,0,"黑衣森林","无限城古堡","3层",19,3840,"f1d3",True,False,False,0
86,"",4,8,2,1,105,"r1r1/02",200,0,0,"库尔札斯","泽梅尔要塞","要塞中城",25,8128,"r1r1",True,False,False,0
87,"",1,1,0,3,131,"region/00",100,0,0,"拉诺西亚","拉诺西亚","",-1,0,,True,False,False,0
88,"",3,1,0,3,132,"region/02",100,0,0,"萨纳兰","萨纳兰","",-1,0,,True,False,False,0
89,"",2,1,0,3,133,"region/01",100,0,0,"黑衣森林","黑衣森林","",-1,0,,True,False,False,0
90,"",4,1,0,3,134,"region/03",100,0,0,"库尔札斯","库尔札斯","",-1,0,,True,False,False,0
91,"",5,1,0,3,135,"region/04",100,0,0,"摩杜纳","摩杜纳","",-1,0,,True,False,False,0
92,"",10,1,0,2,136,"world/00",100,0,0,"艾欧泽亚","艾欧泽亚","",-1,0,,True,False,True,0
93,"",0,0,0,1,291,"w1f4/02",100,0,0,"萨纳兰","南萨纳兰","赞拉克",-1,0,"w1f4",True,True,False,0
94,"",0,0,0,1,37,"w1e6/00",400,0,0,"萨纳兰","沙之家","",-1,0,"w1e6",True,True,False,3
95,"",0,0,0,1,85,"o1e2/00",400,0,0,"拉诺西亚","罗塔诺海","",-1,0,,True,False,False,0
96,"",3,14,2,1,64,"w1r1/02",200,0,0,"萨纳兰","樵鸣洞","涌水沙层",20,96,"w1r1",True,False,False,0
97,"",3,14,3,1,65,"w1r1/03",200,0,0,"萨纳兰","樵鸣洞","青磷水沙层",20,1792,"w1r1",True,False,False,0
98,"",0,0,2,1,293,"r1fa/02",400,0,0,"库尔札斯","呼啸眼外围","",-1,0,"r1fa_event",True,True,False,0
99,"",3,16,2,1,518,"w1d5/02",200,0,0,"萨纳兰","天幕魔导城","管理层",26,28,"w1d5_re",True,False,False,0
100,"",3,16,3,1,519,"w1d5/03",200,0,0,"萨纳兰","天幕魔导城","防御层",26,96,"w1d5_re",True,False,False,0
101,"",3,16,4,1,520,"w1d5/04",200,0,0,"萨纳兰","天幕魔导城","主层",26,896,"w1d5_re",True,False,False,0
102,"",0,0,0,1,57,"w1d5/05",200,0,0,"萨纳兰","天幕魔导城","基层",-1,0,"w1d5_re",True,False,False,0
103,"",3,16,5,1,521,"w1d5/06",100,0,0,"萨纳兰","天幕魔导城","工房层",26,63488,"w1d5_re",True,True,False,0
104,"",0,0,6,1,0,"w1d5/07",100,0,0,"萨纳兰","天幕魔导城","斜行升降机",26,1024,"w1d5_re",True,False,False,0
105,"",0,0,0,1,0,"l1f1/02",400,0,0,"摩杜纳","摩杜纳","",-1,0,"l1f1",True,True,False,0
106,"",0,0,0,1,0,"default/00",100,0,0,"？？？？","艾欧泽亚地下空间","",-1,0,"s1b7_2",True,False,False,0
107,"",0,0,0,1,38,"w1e6/00",400,0,0,"萨纳兰","沙之家","",-1,0,"w1e6",True,True,False,3
108,"",1,15,1,1,95,"s1d4/01",200,0,0,"拉诺西亚","天狼星灯塔","地下1层",27,6,"s1d4",True,False,False,0
109,"",0,0,1,1,0,"s1i1/01",400,0,0,"拉诺西亚","海雾村私人小屋","1层",-1,0,"s1i1",True,False,False,0
110,"",0,0,2,1,0,"s1i2/01",400,0,0,"拉诺西亚","海雾村私人公馆","1层",-1,0,"s1i2",True,False,False,0
111,"",0,0,1,1,0,"s1i2/02",400,0,0,"拉诺西亚","海雾村私人公馆","2层",-1,0,"s1i2",True,False,False,0
112,"",0,0,3,1,0,"s1i2/03",400,0,0,"拉诺西亚","海雾村私人公馆","地下1层",-1,0,"s1i2",True,False,False,0
113,"",0,0,2,1,0,"s1i3/01",400,0,0,"拉诺西亚","海雾村私人别墅","1层",-1,0,"s1i3",True,False,False,0
114,"",0,0,1,1,0,"s1i3/02",400,0,0,"拉诺西亚","海雾村私人别墅","2层",-1,0,"s1i3",True,False,False,0
115,"",0,0,3,1,0,"s1i3/03",400,0,0,"拉诺西亚","海雾村私人别墅","地下1层",-1,0,"s1i3",True,False,False,0
