key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
#,Name,Abbreviation,,ClassJobCategory,ExpArrayIndex,BattleClassIndex,,JobIndex,DohDolJobIndex,Modifier{HitPoints},Modifier{ManaPoints},Modifier{Strength},Modifier{Vitality},Modifier{Dexterity},Modifier{Intelligence},Modifier{Mind},Modifier{Piety},,,,,,,,PvPActionSortRow,,ClassJob{Parent},Name{English},Item{StartingWeapon},,Role,StartingTown,MonsterNote,PrimaryStat,LimitBreak1,LimitBreak2,LimitBreak3,UIPriority,Item{SoulCrystal},UnlockQuest,RelicQuest,Prerequisite,StartingLevel,PartyBonus,,IsLimitedJob,CanQueueForDuty
int32,str,str,str,ClassJobCategory,sbyte,sbyte,byte,byte,sbyte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,ClassJob,str,Item,int32,byte,Town,MonsterNote,byte,Action,Action,Action,byte,Item,Quest,Quest,Quest,byte,byte,byte,bit&01,bit&01
0,"すっぴん士","ADV","","ファイター",-1,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,"すっぴん士","Adventurer","",0,0,"都市無効値",,0,"","","",0,"",,,,1,0,0,False,False
1,"剣術士","GLA","剣","ファイター",1,0,1,0,-1,130,100,95,100,90,50,95,100,100,100,100,100,100,100,0,0,0,"剣術士","Gladiator","ウェザードショートソード",0,1,"ウルダハ",,1,"シールドウォール","ストロングホールド","ラストバスティオン",2,"",,,,1,1,0,False,True
2,"格闘士","PGL","格","ファイター",0,1,2,0,-1,105,100,100,95,100,45,85,100,100,100,100,100,100,100,0,0,0,"格闘士","Pugilist","ウェザードホラ",0,2,"ウルダハ",,1,"ブレイバー","ブレードダンス","ファイナルヘヴン",22,"",,,,1,3,0,False,True
3,"斧術士","MRD","斧","ファイター",2,2,3,0,-1,135,100,100,100,90,30,50,100,100,100,100,100,100,100,0,0,0,"斧術士","Marauder","ウェザードウォーアクス",0,1,"リムサ・ロミンサ",,1,"シールドウォール","ストロングホールド","原初の大地",4,"",,,,1,1,0,False,True
4,"槍術士","LNC","槍","ファイター",4,3,4,0,-1,110,100,105,100,95,40,60,100,100,100,100,100,100,100,0,0,0,"槍術士","Lancer","ウェザードスピア",0,2,"グリダニア",,1,"ブレイバー","ブレードダンス","蒼天のドラゴンダイブ",24,"",,,,1,3,0,False,True
5,"弓術士","ARC","弓","ファイター",3,4,5,0,-1,100,100,85,95,105,80,75,100,100,100,100,100,100,100,0,0,0,"弓術士","Archer","ウェザードショートボウ",0,3,"グリダニア",,2,"ビッグショット","デスペラード","サジタリウスアロー",32,"",,,,1,4,0,False,True
6,"幻術士","CNJ","幻","ソーサラー",6,5,6,0,-1,100,100,50,95,100,100,105,100,100,100,100,100,100,100,0,0,0,"幻術士","Conjurer","ウェザードケーン",0,4,"グリダニア",,5,"癒しの風","大地の息吹","生命の鼓動",12,"",,,,1,2,2,False,True
7,"呪術士","THM","呪","ソーサラー",5,6,7,0,-1,100,100,40,95,95,105,70,100,100,100,100,100,100,100,0,0,0,"呪術士","Thaumaturge","ウェザードセプター",0,3,"ウルダハ",,4,"スカイシャード","プチメテオ","メテオ",42,"",,,,1,5,0,False,True
