key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,,,,ActionTimeline{Pose}[0],ActionTimeline{Pose}[1],ActionTimeline{Pose}[2],,,,,,,,,,,,,Text[0],Text[1],Text[2]
int32,uint32,byte,byte,byte,byte,ActionTimeline,ActionTimeline,ActionTimeline,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bit&01,bit&01,bit&01,str,str,str
589824,0,1,1,0,0,"event_base/event_base_stand_talk","event_base/event_base_speech","event_base/event_base_teach",1,1,1,0,0,0,3,4,5,False,False,False,"強調トークシェイプで会話モーション","ドキュメントトークシェイプでビヘイビア演説ループ","不気味トークシェイプでビヘイビア立ち怒り会話ループ"
589825,0,1,2,0,0,"event/event_talk2","","",1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,1,2,0,0,"event/event_talk2","","",1,1,1,0,0,0,0,0,0,False,False,False,"ほげ","ふー","ばー"
589827,0,1,2,0,0,"event/event_talk2","","",1,1,1,0,0,0,0,0,0,False,False,False,"あー、食った食った！ ","この宿の飯は最高に旨いな！","0"
589828,0,1,2,2,0,"event/event_add_talk","event/event_add_talk","",1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス
(アイテム渡し)","「ビヘイビアリアクション挨拶」へ推移します。","0"
589829,0,1,2,2,0,"event/event_add_talk","event/event_add_talk","",1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス
(アイテム受取)","「ビヘイビアリアクション考える」へ推移します。","0"
589830,0,1,2,2,0,"event/event_add_talk","event/event_talk1","",1,1,1,0,0,0,0,0,0,True,True,False,"基本立ちと立ち専用リアクションテス
(アイテム会話)","「ビヘイビアリアクション怒り」へ推移します。","0"
589831,0,1,2,0,0,"event/event_talk1","","",1,1,1,0,0,0,0,0,0,True,False,False,"基本立ちと立ち専用リアクションテス
基本地面座り→基本立ち→立ち専用リアクション","0","0"
