key,0,1,2,3,4,5,6,7,8,9,10,11
#,Masculine,Feminine,RSE{M}{Body},RSE{M}{Hands},RSE{M}{Legs},RSE{M}{Feet},RSE{F}{Body},RSE{F}{Hands},RSE{F}{Legs},RSE{F}{Feet},ExPac,
int32,str,str,Item,Item,Item,Item,Item,Item,Item,Item,ExVersion,byte
0,"","","","","","","","","","","新生エオルゼア",0
1,"ヒューラン","ヒューラン","ヒューランチュニック","ヒューラングローブ","ヒューランブリーチ","ヒューランサイブーツ","ヒューランシュミゼット","ヒューランハーフグローブ","ヒューランスカート","ヒューランロングブーツ","紅蓮のリベレーター",0
2,"エレゼン","エレゼン","エレゼンサーコート","エレゼングローブ","エレゼンブラッカエ","エレゼンジャックブーツ","エレゼンガウン","エレゼンハーフグローブ","エレゼンタイツ","エレゼンシューズ","紅蓮のリベレーター",0
3,"ララフェル","ララフェル","ララフェルチュニック","ララフェルリストガード","ララフェルガスキン","ララフェルトップブーツ","ララフェルカフタン","ララフェルリストバンド","ララフェルブルマ","ララフェルブーティ","蒼天のイシュガルド",0
4,"ミコッテ","ミコッテ","ミコッテベスト","ミコッテガントレット","ミコッテズワーブ","ミコッテブーツ","ミコッテセパレーツ","ミコッテグローブ","ミコッテロインクロス","ミコッテシューズ","紅蓮のリベレーター",0
5,"ルガディン","ルガディン","ルガディンハーネス","ルガディンブレーサー","ルガディンブリーチ","ルガディンブーツ","ルガディンボディス","ルガディンアームガード","ルガディンレッグストラップ","ルガディンサンダル","漆黒のヴィランズ",0
6,"アウラ","アウラ","アウラハーネス","アウラアームガード","アウラブリーチ","アウラサンダル","アウラガウン","アウラハーフグローブ","アウラパンタレット","アウラバスキン","紅蓮のリベレーター",1
7,"ロスガル","ロスガル","ロスガルハーネス","ロスガルリストガード","ロスガルサブリガ","ロスガルサンダル","","","","","漆黒のヴィランズ",3
8,"ヴィエラ","ヴィエラ","","","","","ヴィエラチェストラップ","ヴィエラアームレット","ヴィエラパンタレット","ヴィエラサンダル","紅蓮のリベレーター",3
