key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,Name,,,,,,,,,,,,,,,,,,
int32,str,uint16,uint16,uint16,uint16,uint16,bit&01,bit&02,bit&04,byte,byte,byte,sbyte,byte,byte,byte,byte,byte,byte
0,"",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
1,"カーバンクル・エメラルド",0,0,0,0,0,False,True,True,100,100,100,-1,0,0,0,0,0,0
2,"カーバンクル・トパーズ",0,0,0,0,0,False,True,True,100,100,100,-1,0,0,0,0,0,0
3,"",0,0,0,0,0,False,True,True,100,100,100,0,1,2,3,0,0,0
4,"",0,0,0,0,0,False,True,True,100,100,100,1,1,2,3,0,0,0
5,"",0,0,0,0,0,False,True,True,100,100,100,2,1,2,3,0,0,0
6,"フェアリー・エオス",803,805,7438,16544,802,False,True,True,100,100,100,-1,0,0,0,0,0,0
7,"フェアリー・セレネ",803,805,7438,16544,0,False,True,True,100,100,100,-1,0,0,0,0,0,0
8,"オートタレット・ルーク",0,0,7416,0,0,True,False,False,100,100,100,-1,0,0,0,0,0,0
9,"オートタレット・ビショップ",0,0,7417,0,0,True,False,False,100,100,100,-1,0,0,0,0,0,0
10,"デミ・バハムート",7428,0,7449,0,0,False,False,True,10,20,30,-1,0,0,0,0,0,0
11,"",0,0,7440,7441,0,True,False,False,100,100,100,-1,0,0,0,0,0,0
12,"",8879,0,8881,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
13,"",0,0,17801,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
14,"デミ・フェニックス",16519,0,16518,0,0,False,False,True,33,66,100,-1,0,0,0,0,0,0
15,"セラフィム",16550,16551,16547,0,16548,False,True,True,100,100,100,-1,0,0,0,0,0,0
16,"カーバンクル・ムーンストーン",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
17,"英雄の影身",0,0,0,0,0,True,False,False,100,100,100,-1,0,0,0,0,0,0
18,"オートマトン・クイーン",0,0,16503,25787,0,True,False,False,100,100,100,-1,0,0,0,0,0,0
19,"分身",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
20,"デミ・フェニックス",0,0,17784,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
21,"セラフィム",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
22,"分身",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
23,"カーバンクル",25841,25842,0,0,0,False,True,True,100,100,100,-1,1,2,3,5,6,7
24,"カーバンクル・ルビー",0,0,25843,0,0,False,False,True,100,100,100,-1,0,0,0,0,0,0
25,"カーバンクル・トパーズ",0,0,25844,0,0,False,False,True,100,100,100,-1,0,0,0,0,0,0
26,"カーバンクル・エメラルド",0,0,25845,0,0,False,False,True,100,100,100,-1,0,0,0,0,0,0
27,"イフリート・エギ",0,0,25846,25849,0,False,False,True,100,100,100,-1,1,2,3,4,0,0
28,"タイタン・エギ",0,0,25847,25850,0,False,False,True,100,100,100,-1,1,2,3,4,0,0
29,"ガルーダ・エギ",0,0,25848,25851,0,False,False,True,100,100,100,-1,1,2,3,4,0,0
30,"イフリート・ルビー",0,0,25852,0,0,False,False,True,25,50,75,-1,0,0,0,0,0,0
31,"タイタン・トパーズ",0,0,25853,0,0,False,False,True,33,66,100,-1,0,0,0,0,0,0
32,"ガルーダ・エメラルド",0,0,25854,0,0,False,False,True,33,66,100,-1,0,0,0,0,0,0
33,"",0,0,25863,25864,0,True,False,False,100,100,100,-1,0,0,0,0,0,0
34,"カーバンクル・アンバー",0,0,0,0,0,False,False,False,100,100,100,-1,0,0,0,0,0,0
