key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
#,,,,Category[0],Category[1],Category[2],Category[3],Category[4],Category[5],Category[6],Category[7],Category[8],Category[9],Category[10],Category[11],Category[12],Category[13],Category[14],Category[15],Category[16],Category[17],Category[18],Category[19],Category[20],Category[21],Category[22],Category[23],Category[24],Category[25],Category[26],Category[27],Category[28],Category[29]
int32,uint32,byte,str,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory,InclusionShopCategory
3801088,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3801089,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3801090,0,0,"","タンク装備","近接物理系DPS装備（竜騎士・リーパー）","近接物理系DPS装備（モンク・侍）","近接物理系DPS装備（忍者）","遠隔物理系DPS装備","ソーサラー系DPS装備","ヒーラー装備","バトル関連アイテム","クラフター装備","製作関連アイテム","ギャザラー装備","採集関連アイテム","","","","","","","","","","","","","","","","","",""
3801091,0,0,"","タンク装備","近接物理系DPS装備（竜騎士・リーパー）","近接物理系DPS装備（モンク・侍）","近接物理系DPS装備（忍者）","遠隔物理系DPS装備","ソーサラー系DPS装備","ヒーラー装備","バトル関連アイテム","クラフター装備","製作関連アイテム","ギャザラー装備","採集関連アイテム","","","","","","","","","","","","","","","","","",""
3801092,0,0,"","タンク装備","近接物理系DPS装備（竜騎士・リーパー）","近接物理系DPS装備（モンク・侍）","近接物理系DPS装備（忍者）","遠隔物理系DPS装備","ソーサラー系DPS装備","ヒーラー装備","バトル関連アイテム","クラフター装備","製作関連アイテム","ギャザラー装備","採集関連アイテム","","","","","","","","","","","","","","","","","",""
3801093,0,1,"","タンク装備","近接物理系DPS装備（竜騎士・リーパー）","近接物理系DPS装備（モンク・侍）","近接物理系DPS装備（忍者）","遠隔物理系DPS装備","ソーサラー系DPS装備","ヒーラー装備","バトル関連アイテム","クラフター装備","製作関連アイテム","ギャザラー装備","採集関連アイテム","","","","","","","","","","","","","","","","","",""
3801094,0,2,"スクリップの取引","クラフタースクリップの取引：装備品","クラフタースクリップの取引：秘伝書・素材・雑貨","クラフタースクリップの取引：マテリア","ギャザラースクリップの取引：装備品","ギャザラースクリップの取引：素材・雑貨","ギャザラースクリップの取引：マテリア","","","","","","","","","","","","","","","","","","","","","","","",""
3801095,0,3,"ギャザラースクリップの取引","ギャザラースクリップの取引：装備品","ギャザラースクリップの取引：素材・雑貨","ギャザラースクリップの取引：マテリア","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3801096,0,2,"スクリップの取引","クラフタースクリップの取引：装備品","クラフタースクリップの取引：秘伝書・素材・雑貨","クラフタースクリップの取引：マテリア","ギャザラースクリップの取引：装備品","ギャザラースクリップの取引：素材・雑貨","ギャザラースクリップの取引：マテリア","","","","","","","","","","","","","","","","","","","","","","","",""
3801097,0,2,"スクリップの取引","クラフタースクリップの取引：装備品","クラフタースクリップの取引：秘伝書・素材・雑貨","クラフタースクリップの取引：マテリア","ギャザラースクリップの取引：装備品","ギャザラースクリップの取引：素材・雑貨","ギャザラースクリップの取引：マテリア","","","","","","","","","","","","","","","","","","","","","","","",""
3801098,0,4,"●対人戦績の取引","対人戦績の取引（ファイター用武器）","対人戦績の取引（ソーサラー用武器）","対人戦績の取引（ファイター用防具）","対人戦績の取引（ソーサラー用防具）","対人戦績の取引（その他）","","","","","","","","","","","","","","","","","","","","","","","","",""
3801099,0,5,"","クラフタースクリップの取引：装備品","クラフタースクリップの取引：秘伝書・素材・雑貨","クラフタースクリップの取引：マテリア","ギャザラースクリップの取引：装備品","ギャザラースクリップの取引：素材・雑貨","ギャザラースクリップの取引：マテリア","","","","","","","","","","","","","","","","","","","","","","","",""
3801100,0,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
