key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
int32,bit&01,bit&01,bit&01,bit&01,bit&01,byte,byte,byte,byte,byte,uint32,uint32,uint32,uint32,uint32,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,sbyte,int32,int32,int32,int32,int32,str,str,str,str,str,str,str,str
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"やあ。ギルドリーヴを受けるかい？","駆け出しの冒険者さんですね。一人前になってからおいで。","ご苦労様です！　任務の成功を祈っています。","予備","報酬やで！","まだどのグランドカンパニーにも所属してない","グランドカンパニーのランクが一定以上に達していない","賞金首を討伐した"
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"こちらでギルドリーヴを発行しています。
あなたにぴったりのお仕事をお探ししますよ。","ここでは冒険者ギルドに所属する人たちに、
「ギルドリーヴ」の仕事を発行しているの。
<Unknown17/>あなたが<Switch(IntegerParameter(1))><Case(1)>チャ・モクリ</Case><Case(2)>ゴントラン</Case><Case(3)>ユースタス</Case></Switch>さんから
リーヴの仕事を受けられるようになったら、
働き口を紹介してあげるわ。","さあ、リーヴの任務は任せましたよ。","ここでは冒険者ギルドに所属する人たちに、
「ギルドリーヴ」の仕事を発行しているの。
<Unknown17/>あなたが<Switch(IntegerParameter(1))><Case(1)>チャ・モクリ</Case><Case(2)>ゴントラン</Case><Case(3)>ユースタス</Case></Switch>さんから
リーヴの仕事を受けられるようになったら、
働き口を紹介してあげるわ。","無事に任務を達成されたようですね。
あなたにお仕事をお任せしたのは、正解だったようです。
さぁ、遠慮なさらず、こちらの報酬を受け取って下さい。","0","0","あなたが、賞金首を仕留めたですって？
これは驚いたわね……
えぇ、もちろん報酬は上乗せさせてもらうわ。"
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"近隣の住民たちから寄せられた依頼を、
ギルドリーヴとして発行しております。","お仕事をお探しですか？
ここでは実力ある冒険者の方に
「ギルドリーヴ」の仕事を発行しておりますの。
まずはギルドの世話役である
<Switch(IntegerParameter(1))><Case(1)>バデロン</Case><Case(2)>ミューヌ</Case><Case(3)>モモディ</Case></Switch>さんからの紹介があれば、
その時はお仕事を斡旋させていただきますわ。","任務の成功をお祈りしております。","お仕事をお探しですか？
ここでは実力ある冒険者の方に
「ギルドリーヴ」の仕事を発行しておりますの。
あなたが、この辺りの魔物に
引けを取らぬ実力を身につけたとき、
改めてお仕事を斡旋させていただきますわ。","ギルドリーヴ達成の報告ですね？
お疲れ様でした、約束の報酬はこちらです……。
これで依頼主も満足されることでしょう。","0","0","あら、賞金首を倒してくださったのですか？
それでは報酬を上乗せさせていただきますわ。"
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"やあ。ギルドリーヴに興味はないかな？
いい仕事を斡旋するよ！","僕は冒険者ギルドの一員だよ。
相応の実力がある冒険者に対して、
「ギルドリーヴ」の仕事を発行しているんだ。
君が世話役の<Switch(IntegerParameter(1))><Case(1)>バデロン</Case><Case(2)>ミューヌ</Case><Case(3)>モモディ</Case></Switch>さんに
認められるほどの腕前になったら、
その時は、いい仕事を斡旋してあげるよ！","上手くやってくれよな。帰りを待っているよ。","僕は冒険者ギルドの一員だよ。
相応の実力がある冒険者に対して、
「ギルドリーヴ」の仕事を発行しているんだ。
この辺りの魔物を退治できるくらい強くなったら、
その時は、いい仕事を斡旋してあげるよ！","やあ、もう戻ったのかい？
いやあ、しっかり任務をこなしてくれて助かったよ。
また都合のいいときに、よろしく頼むね。","0","0","なんだって、手配中の賞金首を？
それはお手柄だったね。
もちろん報酬は上乗せさせてもらうよ。"
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"黒衣森の各地から依頼された様々な仕事、
ギルドリーヴを発行しています。","ここは冒険者に仕事を斡旋する
「ギルドリーヴ」発行カウンターです。
<Unknown17/>新米冒険者さんのようですね。
<Switch(IntegerParameter(1))><Case(1)>バデロン</Case><Case(2)>ミューヌ</Case><Case(3)>モモディ</Case></Switch>さんからの紹介があれば、
喜んで任務を回しますよ。","0","ここは冒険者に仕事を斡旋する
「ギルドリーヴ」発行カウンターです。
<Unknown17/>新米冒険者さんのようですね。
<Switch(IntegerParameter(1))><Case(1)>バデロン</Case><Case(2)>ミューヌ</Case><Case(3)>モモディ</Case></Switch>さんからの紹介があれば、
喜んで任務を回しますよ。","ギルドリーヴ報酬の受け取りですね？
この任務を成し遂げるとは……お見事です。
どうぞ、こちらが規定の報酬ですよ。","0","0","すばらしいですね。
手配されていた賞金首まで倒してしまうだなんて。
もちろん報酬にも色を付けておきますよ。"
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"リムサ・ロミンサ都市民をはじめ、
近隣の住民なんかから届いた依頼を
ギルドリーヴとして発行しているよ。","仕事を探しているんなら、良いところに来たね。
ここでは、実力ある冒険者に「ギルドリーヴ」の
仕事を発行しているのさ。
ただし、まずは冒険者ギルドの世話役、
<Switch(IntegerParameter(1))><Case(1)>バデロン</Case><Case(2)>ミューヌ</Case><Case(3)>モモディ</Case></Switch>さんからの紹介を受けるんだね。
そうすれば、いつでも仕事を回させてもらうよ。","それじゃ、気をつけていってらっしゃい！","仕事を探しているんなら、良いところに来たね。
ここでは、実力ある冒険者に「ギルドリーヴ」の
仕事を発行しているのさ。
ただし、まずはこの辺りの魔物を、
ちょちょいと片付けられる実力を付けるんだね。
そうすれば、いつでも仕事を回させてもらうよ。","ギルドリーヴの達成報告だね？
お疲れさま、報酬を受け取ってね。
きっと依頼主も満足してると思うよ～。","0","0","ギルドリーヴの達成報告だね……
って、手配中の賞金首まで仕留めたの？
すごいね、報酬も上乗せしちゃうよ。"
7,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"ウルダハ都市民をはじめ、
さまざまな人々から寄せられた依頼を
ギルドリーヴとして発行しています。","ひょっとして、お仕事をお探しですか？
ここでは、ある程度の経験を持つ冒険者の方に、
「ギルドリーヴ」の仕事を発行しております。
冒険者ギルドの世話役である
<Switch(IntegerParameter(1))><Case(1)>バデロン氏</Case><Case(2)>ミューヌ女史</Case><Case(3)>モモディ女史</Case></Switch>からの紹介がありましたら、
是非とも、リーヴを依頼させていただきたく思います。","さあ、頑張ってください。
吉報をお待ちしておりますよ。","ひょっとして、お仕事をお探しですか？
ここでは、ある程度の経験を持つ冒険者の方に、
「ギルドリーヴ」の仕事を発行しております。
あなたに、この近辺の魔物を
容易く倒せるほどの実力が身についたときには、
是非とも、リーヴを依頼させていただきたく思います。","お帰りなさいませ。
どうやら、無事に任務を達成された様子……
ご苦労様でした。報酬をお受け取りください。","0","0","賞金首まで倒してしまうだなんて、驚きましたよ。
さぞかし苦労なされたことでしょう。
是非とも、この報酬をお受け取りください。"
