Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？,13:？
0,0,0,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,45.0
1,1,101,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,45.0
2,1,201,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,40.0,40.0
3,1,301,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,45.0
4,1,401,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,40.0,40.0
5,1,501,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,40.0,40.0
6,1,601,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,45.0
7,1,701,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,45.0
8,1,801,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,40.0,40.0
9,1,901,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,40.0,45.0
10,1,1001,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,40.0
11,1,1101,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,30.0,43.0
12,1,1201,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,30.0,43.0
13,1,1301,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,45.0
14,1,1401,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,45.0,45.0
15,1,104,1.2999999523162842,5.0,0.6000000238418579,4.0,2.0,5.0,0.0,0.0,30.0,40.0,40.0,40.0
16,1,204,1.2999999523162842,5.0,0.6000000238418579,4.0,2.0,5.0,0.0,0.0,30.0,40.0,40.0,40.0
17,1,504,1.2999999523162842,5.0,0.6000000238418579,4.0,2.0,5.0,0.0,0.0,30.0,40.0,40.0,40.0
18,1,604,1.2999999523162842,5.0,0.6000000238418579,4.0,2.0,5.0,0.0,0.0,30.0,40.0,40.0,40.0
19,1,804,1.2999999523162842,5.0,0.6000000238418579,4.0,2.0,5.0,0.0,0.0,30.0,40.0,40.0,40.0
20,1,9104,1.2999999523162842,5.0,0.6000000238418579,4.0,2.0,5.0,0.0,0.0,30.0,40.0,40.0,40.0
21,1,9204,1.2999999523162842,5.0,0.6000000238418579,4.0,2.0,5.0,0.0,0.0,30.0,40.0,40.0,40.0
22,1,1501,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,40.0,45.0
23,1,1801,2.0,5.0,0.6000000238418579,4.0,2.0,5.0,8.0,7.0,30.0,30.0,40.0,40.0
