Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？,13:？,14:？,15:？,16:？,17:？,18:？
1,60.0,60.0,30.0,30.0,60.0,0.0,30.0,30.0,30.0,30.0,60.0,0.0,False,0.30000001192092896,0.30000001192092896,0,0,0,False
2,60.0,60.0,30.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.30000001192092896,0.800000011920929,0,2,2,False
3,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,True,0.0,0.30000001192092896,0,0,2,False
4,60.0,60.0,30.0,0.0,60.0,0.0,60.0,30.0,0.0,0.0,60.0,0.0,True,0.4000000059604645,0.6000000238418579,0,0,1,True
5,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,True,0.0,0.30000001192092896,0,0,1,True
6,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,True,0.0,0.30000001192092896,0,0,1,True
7,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.10000000149011612,0,2,2,False
8,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0,2,2,False
9,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.10000000149011612,0.30000001192092896,0,2,2,False
10,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.30000001192092896,0.30000001192092896,0,2,2,False
11,60.0,60.0,30.0,30.0,60.0,0.0,30.0,30.0,30.0,30.0,60.0,0.0,False,0.30000001192092896,0.30000001192092896,0,0,0,False
12,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.30000001192092896,0.30000001192092896,0,2,2,False
13,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.30000001192092896,0.30000001192092896,0,2,2,False
14,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.30000001192092896,0,2,2,False
15,60.0,60.0,30.0,0.0,60.0,0.0,30.0,30.0,0.0,0.0,60.0,0.0,True,0.10000000149011612,0.30000001192092896,0,1,1,True
16,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.10000000149011612,0.30000001192092896,0,2,2,False
17,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.10000000149011612,0.30000001192092896,0,2,2,False
18,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.10000000149011612,0.30000001192092896,0,2,2,False
19,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.10000000149011612,0.30000001192092896,0,2,2,False
20,60.0,60.0,30.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.10000000149011612,0.30000001192092896,0,2,2,False
