key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#,Name,Description,Objective,StatusText[0],StatusText[1],StatusText[2],EurekaFate,Rule,FateRuleEx,Location,ClassJobLevel,ClassJobLevel{Max},EventItem,TypeToDoValue[0],TypeToDoValue[1],TypeToDoValue[2],Icon{Objective},Icon{Map},IconInactive{Map},Music,LGBGuardNPCLocation,ScreenImage{Accept},ScreenImage{Complete},ScreenImage{Failed},,RequiredQuest,SpecialFate,,GivenStatus,,AdventEvent,MoonFaireEvent,,FATEChain,,,ArrayIndex,,ReqEventItem,TurnInEventItem,,,,ObjectiveIcon[0],ObjectiveIcon[1],ObjectiveIcon[2],ObjectiveIcon[3],ObjectiveIcon[4],ObjectiveIcon[5],ObjectiveIcon[6],ObjectiveIcon[7],,
int32,str,str,str,str,str,str,byte,byte,FateRuleEx,uint32,byte,byte,EventItem,byte,byte,byte,Image,Image,Image,BGM,uint32,ScreenImage,ScreenImage,ScreenImage,byte,Quest,bit&01,bit&02,Status,uint16,bit&04,bit&08,bit&10,uint32,byte,uint16,ArrayEventHandler,uint32,EventItem,EventItem,uint32,uint32,uint32,Image,Image,Image,Image,Image,Image,Image,Image,uint16,uint16
0,"","","","","","",0,0,"FateRuleEx#0",0,1,1,,0,0,0,,,,"",0,"ScreenImage#33","ScreenImage#34","ScreenImage#35",2,,False,False,"",0,False,False,False,0,34,0,,0,,,0,0,0,,,,,,,,,0,0
1,"","","","","","",0,0,"FateRuleEx#0",0,0,0,,0,0,0,,,,"",0,"ScreenImage#0","ScreenImage#0","ScreenImage#0",0,,False,False,"",0,False,False,False,0,0,0,,0,,,0,0,0,,,,,,,,,0,0
2,"","","","","","",0,0,"FateRuleEx#0",0,0,0,,0,0,0,,,,"",0,"ScreenImage#0","ScreenImage#0","ScreenImage#0",0,,False,False,"",0,False,False,False,0,0,0,,0,,,0,0,0,,,,,,,,,0,0
3,"","","","","","",0,0,"FateRuleEx#0",0,0,0,,0,0,0,,,,"",0,"ScreenImage#0","ScreenImage#0","ScreenImage#0",0,,False,False,"",0,False,False,False,0,0,0,,0,,,0,0,0,,,,,,,,,0,0
4,"","","","","","",0,0,"FateRuleEx#0",0,0,0,,0,0,0,,,,"",0,"ScreenImage#0","ScreenImage#0","ScreenImage#0",0,,False,False,"",0,False,False,False,0,0,0,,0,,,0,0,0,,,,,,,,,0,0
5,"","","","","","",0,0,"FateRuleEx#0",0,0,0,,0,0,0,,,,"",0,"ScreenImage#0","ScreenImage#0","ScreenImage#0",0,,False,False,"",0,False,False,False,0,0,0,,0,,,0,0,0,,,,,,,,,0,0
6,"","","","","","",0,0,"FateRuleEx#0",0,0,0,,0,0,0,,,,"",0,"ScreenImage#0","ScreenImage#0","ScreenImage#0",0,,False,False,"",0,False,False,False,0,0,0,,0,,,0,0,0,,,,,,,,,0,0
7,"","","","","","",0,0,"FateRuleEx#0",0,0,0,,0,0,0,,,,"",0,"ScreenImage#0","ScreenImage#0","ScreenImage#0",0,,False,False,"",0,False,False,False,0,0,0,,0,,,0,0,0,,,,,,,,,0,0
