key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,,MinLevel,BeastRankBonus,Icon{Reputation},Icon,MaxRank,Expansion,CurrencyItem,DisplayOrder,Name,Adjective,Plural,PossessivePronoun,StartsWithVowel,Pronoun,Article,DEF,Name{Relation}
int32,bit&01,byte,BeastRankBonus,Image,Image,byte,ExVersion,Item,byte,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str
0,False,0,"BeastRankBonus#0",,,0,"新生エオルゼア","",0,"",0,"",0,0,0,0,0,""
1,True,0,"BeastRankBonus#0","ui/icon/061000/061901.tex","ui/icon/065000/065016.tex",4,"新生エオルゼア","アマルジャ鋼鉄刀貨",1,"アマルジャ族：灰の一党",0,"",0,0,0,0,0,"アマルジャ族友好度"
2,True,0,"BeastRankBonus#0","ui/icon/061000/061902.tex","ui/icon/065000/065017.tex",4,"新生エオルゼア","シルフ金葉貨",2,"シルフ族：仮宿のシルフ",0,"",0,0,0,0,0,"シルフ族友好度"
3,True,0,"BeastRankBonus#0","ui/icon/061000/061904.tex","ui/icon/065000/065019.tex",4,"新生エオルゼア","コボルド鏡鉄錘貨",3,"コボルド族：第789洞穴団",0,"",0,0,0,0,0,"コボルド族友好度"
4,True,0,"BeastRankBonus#0","ui/icon/061000/061905.tex","ui/icon/065000/065020.tex",4,"新生エオルゼア","サハギン虹貝貨",4,"サハギン族：ノォヴ一味",0,"",0,0,0,0,0,"サハギン族友好度"
5,False,50,"BeastRankBonus#0","ui/icon/061000/061903.tex","ui/icon/065000/065018.tex",7,"新生エオルゼア","イクサル樫木貨",5,"イクサル族：エカトル空力団",0,"",0,0,0,0,0,"イクサル族友好度"
6,False,0,"BeastRankBonus#1","ui/icon/061000/061906.tex","ui/icon/065000/065036.tex",8,"蒼天のイシュガルド","バヌバヌ白骨貨",1,"バヌバヌ族：鮮やかなグンド",0,"",0,0,0,0,0,"バヌバヌ族友好度"
7,False,0,"BeastRankBonus#1","ui/icon/061000/061907.tex","ui/icon/065000/065037.tex",8,"蒼天のイシュガルド","グナース偽黒銅貨",2,"グナース族：分かたれし者たち",0,"",0,0,0,0,0,"グナース族友好度"
8,False,60,"BeastRankBonus#2","ui/icon/061000/061908.tex","ui/icon/065000/065039.tex",8,"蒼天のイシュガルド","飾りクポの実",3,"モーグリ族：モグモグ修復団",0,"",0,0,0,0,0,"モーグリ族友好度"
9,False,0,"BeastRankBonus#3","ui/icon/061000/061910.tex","ui/icon/065000/065048.tex",8,"紅蓮のリベレーター","コウジン珊瑚貨",1,"コウジン族：碧甲羅",0,"",0,0,0,0,0,"コウジン族友好度"
10,False,0,"BeastRankBonus#3","ui/icon/061000/061909.tex","ui/icon/065000/065047.tex",8,"紅蓮のリベレーター","アナンタ魔金錫貨",2,"アナンタ族：アルパ国境警備隊",0,"",0,0,0,0,0,"アナンタ族友好度"
11,False,70,"BeastRankBonus#4","ui/icon/061000/061911.tex","ui/icon/065000/065063.tex",8,"紅蓮のリベレーター","ナマズオ小判",3,"ナマズオ族：大鯰大祭実行委員会",0,"",0,0,0,0,0,"ナマズオ族友好度"
12,False,0,"BeastRankBonus#5","ui/icon/061000/061912.tex","ui/icon/065000/065072.tex",8,"漆黒のヴィランズ","ピクシー幻晶貨",1,"ピクシー族：夢の園の妖精",0,"",0,0,0,0,0,"ピクシー族友好度"
13,False,80,"BeastRankBonus#6","ui/icon/061000/061913.tex","ui/icon/065000/065076.tex",8,"漆黒のヴィランズ","キタリ団栗貨",2,"キタリ族：ルリの発掘隊",0,"",0,0,0,0,0,"キタリ族友好度"
14,False,80,"BeastRankBonus#7","ui/icon/061000/061914.tex","ui/icon/065000/065079.tex",8,"漆黒のヴィランズ","ドワーフ緑硬貨",3,"ドワーフ族：ワッツハンマー・ガレージ",0,"",0,0,0,0,0,"ドワーフ族友好度"
15,False,0,"BeastRankBonus#8","ui/icon/061000/061915.tex","ui/icon/065000/065092.tex",8,"暁月のフィナーレ","アルカソーダラ星鈷貨",2,"アルカソーダラ族：ヒッポライダーズ",0,"",0,0,0,0,0,"アルカソーダラ族友好度"
16,False,90,"BeastRankBonus#9","ui/icon/061000/061916.tex","ui/icon/065000/065093.tex",8,"暁月のフィナーレ","オミクロン暗号貨",1,"オミクロン族：カフェ「ラストレムナント」",0,"",0,0,0,0,0,"オミクロン族友好度"
