key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,Weather[0],Weather[1],Weather[2],Weather[3],Weather[4],Weather[5],,,,,,,,,,Quest[0],Quest[1],Quest[2],Quest[3],Quest[4],Quest[5],,,,,,,
int32,Weather,Weather,Weather,Weather,Weather,Weather,byte,byte,byte,byte,byte,byte,byte,byte,uint32,Quest,Quest,Quest,Quest,Quest,Quest,uint32,uint32,uint32,uint32,uint32,uint32,uint32
0,"","","","","","",0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0
1,"無尽光","","無尽光","","流星雨","",0,1,3,2,3,3,3,0,0,"大罪喰い","光をもたらす者","漆黒のヴィランズ","稀なるつわもの","始まりと終わりの光",,0,5,0,11,3,3,0
2,"無尽光","","流星雨","","","",0,1,3,3,3,0,0,0,0,"漆黒のヴィランズ","稀なるつわもの","始まりと終わりの光",,,,0,11,3,3,0,0,0
3,"無尽光","","無尽光","","流星雨","",0,1,3,2,3,3,3,0,0,"私はここに眠る","光をもたらす者","漆黒のヴィランズ","稀なるつわもの","始まりと終わりの光",,0,3,0,11,3,3,0
4,"無尽光","無尽光","","無尽光","","流星雨",0,1,3,3,2,3,3,3,0,"真実を顕すは","アクトラ・オルワ・イン","光をもたらす者","漆黒のヴィランズ","稀なるつわもの","始まりと終わりの光",0,4,3,0,11,3,3
5,"無尽光","","無尽光","","流星雨","",0,1,3,2,3,3,3,0,0,"キタンナ神影洞","光をもたらす者","漆黒のヴィランズ","稀なるつわもの","始まりと終わりの光",,0,3,0,11,3,3,0
6,"無尽光","","流星雨","","","",0,1,3,3,3,0,0,0,0,"漆黒のヴィランズ","稀なるつわもの","始まりと終わりの光",,,,0,11,3,3,0,0,0
7,"","雨","","","","",0,3,2,2,0,0,0,0,0,"焔嵐、再転","氷晶、再会",,,,,0,0,0,0,0,0,0
8,"","終末","","","","",0,3,3,3,0,0,0,0,0,"燃える空","暁月のフィナーレ",,,,,0,2,7,0,0,0,0
9,"","終末","","","","",0,3,3,3,0,0,0,0,0,"燃える空","暁月のフィナーレ",,,,,0,2,7,0,0,0,0
10,"","終末","","","","",0,3,3,3,0,0,0,0,0,"拡がる終末","暁月のフィナーレ",,,,,0,1,7,0,0,0,0
