Index,0:？,1:？,2:？
0,False,0,0.0
1,False,0,2.4000000953674316
2,True,0,6.0
3,False,1,2.4000000953674316
4,True,1,6.0
5,False,2,2.4000000953674316
6,True,2,6.0
7,False,3,2.4000000953674316
8,True,3,6.0
9,False,4,2.4000000953674316
10,True,4,6.0
11,False,5,2.4000000953674316
12,True,5,6.0
13,False,6,2.4000000953674316
14,True,6,6.0
15,False,0,1.2000000476837158
16,False,2,1.2000000476837158
17,False,5,1.2000000476837158
18,False,0,1.2999999523162842
19,False,2,1.2999999523162842
20,False,5,1.2999999523162842
21,False,0,2.0
22,False,2,2.0
23,False,5,2.0
