Index,Sub_Index,0:？,1:？,2:？,3:？,4:？
339,1,-72.23560333251953,47.59429931640625,-107.70099639892578,16.5,72
339,2,-144.0919952392578,47.921199798583984,-99.92729949951172,20.5,72
339,3,-96.00499725341797,38.424198150634766,-59.92639923095703,12.5,72
339,4,-91.98100280761719,25.83930015563965,-11.767999649047852,16.5,72
339,5,-147.96099853515625,31.46929931640625,28.106300354003906,24.5,72
339,6,-35.73809814453125,22.707500457763672,-3.9330101013183594,16.5,72
339,7,-39.91350173950195,30.96190071105957,-56.092498779296875,16.5,72
339,8,-12.023699760437012,43.322601318359375,-91.89779663085938,12.5,72
339,9,40.04819869995117,45.31420135498047,-99.96109771728516,12.0,72
339,10,63.99789810180664,50.974098205566406,-124.04100036621094,12.0,72
339,11,3.916490077972412,30.743200302124023,-56.02799987792969,12.5,72
339,12,47.987098693847656,31.91629981994629,-60.00579833984375,12.5,72
339,13,64.04940032958984,26.135299682617188,-32.005699157714844,12.5,72
339,14,83.60440063476562,36.308799743652344,-63.17639923095703,16.1200008392334,72
339,15,148.0469970703125,57.60929870605469,-104.03299713134766,24.5,72
339,16,135.92100524902344,34.61520004272461,-33.93939971923828,12.050000190734863,72
339,17,111.98999786376953,27.119800567626953,-20.024099349975586,12.050000190734863,72
339,18,71.86920166015625,24.980899810791016,3.8833398818969727,12.5,72
339,19,42.01279830932617,15.071999549865723,23.972999572753906,12.300000190734863,72
339,20,66.14179992675781,14.189599990844727,35.84379959106445,12.5,72
339,21,88.09380340576172,13.093000411987305,51.984798431396484,12.5,72
339,22,119.87100219726562,24.324800491333008,55.98619842529297,12.5,72
339,23,111.91000366210938,24.96380043029785,27.880399703979492,12.5,72
339,24,150.0780029296875,29.873600006103516,-6.007440090179443,12.5,72
339,25,161.94500732421875,39.002601623535156,23.992300033569336,12.5,72
339,26,167.81700134277344,35.859500885009766,56.11970138549805,12.100000381469727,72
339,27,186.03199768066406,42.14189910888672,-5.963099956512451,12.5,72
339,28,195.947998046875,47.39550018310547,23.977399826049805,12.5,72
339,29,195.9980010986328,45.553001403808594,63.90700149536133,16.0,72
339,30,140.16099548339844,28.155899047851562,99.97339630126953,16.5,72
339,31,-596.2990112304688,47.59429931640625,-776.2360229492188,16.5,192
339,32,-604.072998046875,47.921199798583984,-848.0919799804688,20.5,192
339,33,-644.072998046875,38.424198150634766,-800.0050048828125,12.5,192
339,34,-692.2319946289062,25.83930015563965,-795.9810180664062,16.5,192
339,35,-732.1060180664062,31.46929931640625,-851.9609985351562,24.5,192
339,36,-700.0670166015625,22.707500457763672,-739.7379760742188,16.5,192
339,37,-647.906982421875,30.96190071105957,-743.9140014648438,16.5,192
339,38,-612.1019897460938,43.322601318359375,-716.0239868164062,12.5,192
339,39,-604.0390014648438,45.31420135498047,-663.9520263671875,12.0,192
339,40,-579.958984375,50.974098205566406,-640.0020141601562,12.0,192
339,41,-647.9719848632812,30.743200302124023,-700.0830078125,12.5,192
339,42,-643.9940185546875,31.91629981994629,-656.0130004882812,12.5,192
339,43,-671.9940185546875,26.135299682617188,-639.9509887695312,12.5,192
339,44,-640.822998046875,36.308799743652344,-620.39599609375,16.1200008392334,192
339,45,-599.9669799804688,57.60929870605469,-555.9530029296875,24.5,192
339,46,-670.0609741210938,34.61520004272461,-568.0789794921875,12.050000190734863,192
339,47,-683.9760131835938,27.119800567626953,-592.010009765625,12.050000190734863,192
339,48,-707.8829956054688,24.980899810791016,-632.1309814453125,12.5,192
339,49,-727.9730224609375,15.071999549865723,-661.9869995117188,12.300000190734863,192
339,50,-739.843994140625,14.189599990844727,-637.8579711914062,12.5,192
339,51,-755.9849853515625,13.093000411987305,-615.906005859375,12.5,192
339,52,-759.9860229492188,24.324800491333008,-584.1290283203125,12.5,192
339,53,-731.8800048828125,24.96380043029785,-592.0900268554688,12.5,192
339,54,-697.9929809570312,29.873600006103516,-553.9219970703125,12.5,192
339,55,-727.9920043945312,39.002601623535156,-542.0549926757812,12.5,192
339,56,-760.1199951171875,35.859500885009766,-536.1829833984375,12.100000381469727,192
339,57,-698.0369873046875,42.14189910888672,-517.968017578125,12.5,192
339,58,-727.9769897460938,47.39550018310547,-508.052001953125,12.5,192
