Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？,13:？,14:？,15:？,16:？
0,0.5,1.0,1.0,240,600,66,300,66,300,0,0,3.0,3.0,0,0,False,0
1,1.2000000476837158,1.0,1.0,200,500,66,143,66,143,0,0,3.0,3.0,0,0,False,1
2,0.30000001192092896,0.699999988079071,0.5,120,370,66,167,66,135,0,0,3.0,3.0,0,0,False,1
3,0.30000001192092896,0.75,0.5,200,400,66,67,66,83,0,0,3.0,3.0,0,0,False,1
4,0.699999988079071,0.800000011920929,0.800000011920929,150,450,66,111,66,93,0,0,3.0,3.0,0,0,False,1
5,1.600000023841858,1.5,1.2999999523162842,200,500,66,200,66,200,0,0,3.0,3.0,0,0,False,1
6,0.4000000059604645,0.699999988079071,0.30000001192092896,100,400,66,200,66,125,0,0,3.0,3.0,0,0,False,1
7,0.6000000238418579,0.800000011920929,1.0,250,550,100,100,100,100,110,150,8.0,3.0,0,1,False,1
8,2.0,1.7999999523162842,1.5,200,600,66,111,66,93,0,0,3.0,3.0,0,1,False,1
9,0.4000000059604645,0.800000011920929,0.800000011920929,200,450,66,100,66,111,0,0,3.0,3.0,0,0,False,1
10,0.4000000059604645,0.699999988079071,0.5,200,400,66,200,66,250,0,0,3.0,3.0,0,0,False,1
11,0.6000000238418579,0.8999999761581421,1.0,200,500,100,100,100,100,20,60,8.0,3.0,0,1,True,1
12,0.6000000238418579,1.0,1.0,200,600,100,100,100,100,120,150,8.0,3.0,0,1,True,1
13,0.30000001192092896,0.6000000238418579,0.20000000298023224,150,400,66,67,66,100,0,0,3.0,3.0,0,0,False,1
14,0.4000000059604645,0.699999988079071,1.0,200,450,100,100,100,100,130,170,8.0,3.0,0,1,True,1
15,1.2999999523162842,1.2999999523162842,1.0,200,500,66,100,66,100,0,0,3.0,3.0,0,0,False,1
16,0.30000001192092896,0.699999988079071,1.0,250,550,100,100,100,100,120,150,8.0,3.0,0,1,False,1
17,2.0999999046325684,1.5,2.0,250,800,66,100,66,78,0,0,3.0,3.0,0,1,False,1
18,1.2999999523162842,1.7999999523162842,1.5,200,500,66,100,66,100,0,0,3.0,3.0,0,0,True,2
19,1.2999999523162842,1.0,0.5,500,500,66,100,66,100,0,0,3.0,3.0,0,0,False,1
20,0.20000000298023224,0.699999988079071,1.0,200,500,100,100,100,100,150,190,2.0,3.0,0,1,True,1
