key,0,1,2,3,4,5,6,7
#,Helmet,Top,Glove,Down,Shoes,Weapon,SubWeapon,Class
int32,int64,int64,int64,int64,int64,int64,int64,ClassJob
0,"42, 1, 0, 0","42, 1, 0, 0","42, 1, 0, 0","42, 1, 0, 0","42, 1, 0, 0","201, 10, 1, 0","101, 11, 1, 0","gladiator"
1,"44, 1, 0, 0","44, 1, 0, 0","44, 1, 0, 0","44, 1, 0, 0","44, 1, 0, 0","304, 1, 1, 0","354, 1, 1, 0","pugilist"
2,"37, 1, 0, 0","37, 1, 0, 0","37, 1, 0, 0","37, 1, 0, 0","37, 1, 0, 0","401, 7, 1, 0","0, 0, 0, 0","marauder"
3,"36, 1, 0, 0","36, 1, 0, 0","36, 1, 0, 0","36, 1, 0, 0","36, 1, 0, 0","504, 1, 1, 0","0, 0, 0, 0","lancer"
4,"41, 1, 0, 0","41, 1, 0, 0","41, 1, 0, 0","41, 1, 0, 0","41, 1, 0, 0","603, 1, 1, 0","698, 4, 1, 0","archer"
5,"39, 1, 0, 0","39, 1, 0, 0","39, 1, 0, 0","39, 1, 0, 0","39, 1, 0, 0","801, 6, 1, 0","0, 0, 0, 0","conjurer"
6,"40, 1, 0, 0","40, 1, 0, 0","40, 1, 0, 0","40, 1, 0, 0","40, 1, 0, 0","1001, 2, 1, 0","0, 0, 0, 0","thaumaturge"
7,"132, 1, 0, 0","132, 1, 0, 0","132, 1, 0, 0","132, 1, 0, 0","132, 1, 0, 0","1705, 1, 1, 0","0, 0, 0, 0","arcanist"
