key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,Race,Gender,BodyType,Height,Tribe,Face,HairStyle,HairHighlight,SkinColor,EyeHeterochromia,HairColor,HairHighlightColor,FacialFeature,FacialFeatureColor,Eyebrows,EyeColor,EyeShape,Nose,Jaw,Mouth,LipColor,BustOrTone1,ExtraFeature1,ExtraFeature2OrBust,FacePaint,FacePaintColor
int32,Race,byte,byte,byte,Tribe,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,"",0,0,0,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Hyur",0,0,0,"Midlander",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Hyur",0,1,50,"Midlander",1,4,1,17,5,6,0,0,0,5,5,5,2,3,0,0,50,0,100,0,0
3,"Elezen",0,1,50,"Duskwight",2,3,1,58,138,54,0,0,0,1,138,1,5,3,0,0,50,1,50,0,0
4,"Elezen",0,1,50,"Duskwight",1,7,1,34,78,6,0,0,0,2,78,1,2,3,2,0,50,1,50,0,0
5,"Elezen",0,1,50,"Duskwight",3,4,1,40,38,5,0,0,0,2,38,133,1,1,2,0,50,1,50,0,0
6,"Elezen",0,1,50,"Duskwight",2,5,1,113,69,15,0,0,0,1,69,129,1,3,2,0,50,1,25,0,0
7,"Elezen",0,1,50,"Duskwight",4,4,1,58,69,5,0,0,0,2,69,133,1,1,2,0,50,1,50,0,0
8,"Elezen",0,1,50,"Duskwight",2,5,1,113,69,15,0,0,0,1,69,129,1,3,2,0,50,1,25,0,0
9,"Miqo'te",1,1,50,"Keeper of the Moon",3,4,1,111,12,13,0,0,0,0,12,0,0,0,0,0,50,1,0,0,0
10,"Miqo'te",1,1,50,"Keeper of the Moon",3,2,1,21,12,5,0,0,0,0,12,0,0,0,0,0,50,1,0,0,0
11,"Miqo'te",1,1,50,"Keeper of the Moon",2,4,1,137,36,30,0,0,0,3,36,3,4,3,1,0,50,1,50,0,0
12,"Miqo'te",1,1,50,"Keeper of the Moon",3,1,1,74,12,30,0,0,0,0,12,0,0,0,0,0,50,1,0,0,0
13,"Hyur",0,1,75,"Midlander",1,1,1,152,57,4,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
14,"Hyur",0,1,75,"Midlander",2,1,1,17,15,5,0,0,0,2,15,2,2,2,3,0,25,0,75,0,0
15,"Elezen",0,1,75,"Wildwood",1,8,1,13,4,6,0,0,0,1,4,0,0,1,3,0,50,1,50,0,0
16,"Elezen",0,1,50,"Duskwight",1,2,1,58,138,6,0,0,0,2,138,2,0,3,2,0,50,1,50,0,0
17,"Elezen",0,1,50,"Duskwight",2,3,1,58,138,54,0,0,0,1,138,1,5,3,0,0,50,1,50,0,0
18,"Elezen",0,1,50,"Duskwight",1,7,1,34,78,6,0,0,0,2,78,1,2,3,2,0,50,1,50,0,0
19,"Elezen",0,1,50,"Duskwight",3,4,1,40,38,5,0,0,0,2,38,133,1,1,2,0,50,1,50,0,0
20,"Elezen",0,1,50,"Duskwight",2,5,1,113,69,15,0,0,0,1,69,129,1,3,2,0,50,1,25,0,0
21,"Hyur",0,1,50,"Midlander",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
22,"Hyur",0,1,50,"Midlander",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
23,"Hyur",0,1,50,"Midlander",1,4,1,17,5,6,0,0,0,5,5,5,2,3,0,0,50,0,50,0,0
24,"Hyur",0,1,50,"Midlander",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
25,"Hyur",0,1,50,"Midlander",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
26,"Elezen",0,1,100,"Duskwight",1,9,129,34,66,70,135,0,0,0,66,0,0,0,0,0,50,1,50,0,7
27,"Elezen",1,1,75,"Duskwight",2,3,1,58,138,54,0,0,0,1,138,1,5,3,0,0,50,1,50,0,0
28,"Elezen",1,1,75,"Duskwight",1,7,1,34,78,6,0,0,0,2,78,1,2,3,2,0,50,1,50,0,0
29,"Elezen",0,1,50,"Duskwight",2,3,1,58,138,54,0,0,0,1,138,1,5,3,0,0,50,1,50,0,0
30,"Elezen",1,1,50,"Duskwight",1,1,1,34,76,36,0,0,0,0,76,0,0,0,0,0,50,1,0,0,0
31,"Elezen",0,1,75,"Duskwight",2,5,129,40,76,4,0,30,0,2,76,130,1,1,1,0,50,1,50,16,54
32,"Elezen",0,1,50,"Duskwight",3,4,1,40,38,5,0,0,0,2,38,133,1,1,2,0,50,1,50,0,0
33,"Elezen",0,1,50,"Duskwight",2,5,1,113,69,15,0,0,0,1,69,129,1,3,2,0,50,1,25,0,0
34,"Hyur",0,1,75,"Midlander",1,3,1,152,59,55,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0
35,"Miqo'te",1,1,75,"Keeper of the Moon",3,6,129,97,12,31,147,0,0,0,12,0,0,0,0,0,50,1,50,0,0
36,"Hyur",0,1,50,"Midlander",2,4,1,17,5,5,0,0,0,3,5,128,4,1,1,0,25,0,50,0,0
37,"Hyur",0,1,50,"Midlander",1,2,1,170,146,6,0,0,0,2,146,2,0,3,2,0,50,0,50,0,7
38,"Elezen",0,1,50,"Wildwood",2,3,1,60,146,54,0,0,0,1,146,1,5,3,0,0,50,1,50,0,7
