key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,Item[0],Count[0],HQ[0],Item[1],Count[1],HQ[1],Item[2],Count[2],HQ[2],Item[3],Count[3],HQ[3],Item[4],Count[4],HQ[4],Item[5],Count[5],HQ[5],Item[6],Count[6],HQ[6],Item[7],Count[7],HQ[7],Item[8],Count[8],HQ[8]
int32,Item,byte,bool,Item,byte,bool,Item,byte,bool,Item,byte,bool,Item,byte,bool,Item,byte,bool,Item,byte,bool,Item,byte,bool,Item,byte,bool
0,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
1,"Wind Shard",3,False,"Ice Shard",3,False,"Maple Log",2,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
2,"Wind Shard",7,False,"Ice Shard",7,False,"Maple Log",5,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
3,"Wind Shard",24,False,"Ice Shard",24,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
4,"Wind Shard",3,False,"Ice Shard",3,False,"Maple Log",2,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
5,"Wind Shard",8,False,"Ice Shard",8,False,"Maple Log",6,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
6,"Wind Shard",28,False,"Ice Shard",28,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
7,"Wind Shard",4,False,"Ice Shard",4,False,"Ash Log",3,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
8,"Wind Shard",10,False,"Ice Shard",10,False,"Ash Log",7,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
9,"Wind Shard",32,False,"Ice Shard",32,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
10,"Wind Shard",4,False,"Ice Shard",4,False,"Elm Log",3,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
11,"Wind Shard",11,False,"Ice Shard",11,False,"Elm Log",8,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
12,"Wind Shard",36,False,"Ice Shard",36,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
13,"Wind Shard",5,False,"Ice Shard",5,False,"Yew Log",4,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
14,"Wind Shard",12,False,"Ice Shard",12,False,"Yew Log",10,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
15,"Wind Shard",40,False,"Ice Shard",40,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
16,"Wind Shard",5,False,"Ice Shard",5,False,"Walnut Log",4,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
17,"Wind Shard",13,False,"Ice Shard",13,False,"Walnut Log",11,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
18,"Wind Shard",44,False,"Ice Shard",44,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False,"",0,False
