Index,0:？
0,
1,到达了阿巴拉提亚云海的未知区域，即将向“<AirshipExplorationPoint:<var:1>:0>”调整航线。
2,初次到达“<AirshipExplorationPoint:<var:1>:0>”，即将开始探索。
3,到达“<AirshipExplorationPoint:<var:1>:0>”，即将开始探索。
4,气流安定，<input:1>的“<AirshipExplorationParamType:<var:2>:0>”满足出发探索的要求。
5,检测到强风，“<AirshipExplorationParamType:<var:2>:0>”虽然满足探索的要求，但会受到一定的影响。
6,检测到强烈的湍流，“<AirshipExplorationParamType:<var:2>:0>”虽然满足探索的要求，但当前天气进行探索十分困难。
7,气流安定，“<AirshipExplorationParamType:<var:2>:0>”没有任何问题。
8,检测到强风，“<AirshipExplorationParamType:<var:2>:0>”虽然满足探索的要求，但当前天气进行探索十分困难。
9,“<AirshipExplorationParamType:<var:2>:0>”处于不安定的状态，不过仍然可以强行探索。
10,发现了包含优质成分的“<Item:<var:1>:0>”，即将开始挑选回收对象。
11,发现了包含优质成分的“<Item:<var:1>:0>”，即将开始进行回收。
12,检测到“<Item:<var:1>:0>”，即将开始进行回收。
13,检测到“<Item:<var:1>:0>”，即将开始进行回收。
14,充分利用了“<AirshipExplorationParamType:<var:2>:0>”，回收量令人非常满意！
15,利用了“<AirshipExplorationParamType:<var:2>:0>”，回收量结果还算过得去。
16,以当前“<AirshipExplorationParamType:<var:2>:0>”来说回收量有些令人不太满意……
17,考虑到“<AirshipExplorationParamType:<var:2>:0>”，回收量已经算还可以了。
18,以当前“<AirshipExplorationParamType:<var:2>:0>”来说回收量令人相当不满意……
19,考虑到“<AirshipExplorationParamType:<var:2>:0>”，回收量基本没有多少指望……
20,{{color|id=500|获得了<var:2>个“<Item:<var:1>:0>”！}}
21,有一些额外的发现，探索继续进行。
22,有一些额外的发现，不过还是先返航了。
23,有一些额外的发现……不过又不见了。
24,又观察了一下周围的情况，可是没有任何发现。
25,“<AirshipExplorationPoint:<var:1>:0>”探索完成！　发挥出了<input:2>的最大性能，取得了十分喜人的成果！
26,“<AirshipExplorationPoint:<var:1>:0>”探索完成！　发挥出了<input:2>的性能，取得了不错的成果！
27,“<AirshipExplorationPoint:<var:1>:0>”探索完成！　虽然成果还不错，但下次还要再继续提高！
28,“<AirshipExplorationPoint:<var:1>:0>”探索完成！　成果还算过得去，或许有必要考虑一下调整飞空艇的配件了。
29,“<AirshipExplorationPoint:<var:1>:0>”探索完成！　结果十分不理想……
30,{{color|id=502|<input:1>获得了<var:2><if (<var:3> == 0) {  } else { (+<var:3>%) }>点经验值！}}
31,即将转向下一个目的地“<AirshipExplorationPoint:<var:1>:0>”。
32,所有目的地都探索完成！　即将返航！［探索完成］
33,{{color|id=502|在航行中发现了“<AirshipExplorationPoint:<var:1>:0>”！}}
34,{{color|id=502|探索的成果得到了认可，可以登记新的飞空艇了！}}
