key,0,1,2,3,4,5,6,7,8,9,10,11
#,Icon,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Name,Tooltip,Action
int32,Image,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,Action
0,,"",0,"",0,0,1,0,0,"","",""
1,"ui/icon/027000/027976.tex","",0,"",0,0,1,0,0,"魔陶器：咒印解除","清除本层所有陷阱","魔陶器：咒印解除"
2,"ui/icon/027000/027977.tex","",0,"",0,0,1,0,0,"魔陶器：全景","点亮本层所有地图，可看到本层所有陷阱","魔陶器：全景"
3,"ui/icon/027000/027978.tex","",0,"",0,0,1,0,0,"魔陶器：强化自身","自身攻击造成的伤害及治疗魔法的治疗量提高30%","魔陶器：强化自身"
4,"ui/icon/027000/027979.tex","",0,"",0,0,1,0,0,"魔陶器：强化防御","自身受到的伤害减轻40%","魔陶器：强化防御"
5,"ui/icon/027000/027980.tex","",0,"",0,0,1,0,0,"魔陶器：宝箱增加","增加下一层的宝箱","魔陶器：宝箱增加"
6,"ui/icon/027000/027981.tex","",0,"",0,0,1,0,0,"魔陶器：减少敌人","减少下一层的敌人","魔陶器：减少敌人"
7,"ui/icon/027000/027982.tex","",0,"",0,0,1,0,0,"魔陶器：改变敌人","将下一层随机一个房间的敌人变化为拟态怪或蔓德拉","魔陶器：改变敌人"
8,"ui/icon/027000/027983.tex","",0,"",0,0,1,0,0,"魔陶器：解咒","解除诅咒状态",""
9,"ui/icon/027000/027984.tex","",0,"",0,0,1,0,0,"魔陶器：运气上升","在本层击败敌人时宝箱出现率上升","魔陶器：运气上升"
10,"ui/icon/027000/027985.tex","",0,"",0,0,1,0,0,"魔陶器：形态变化","令进入以自身为中心一定范围内的目标变为青蛙、河童、小鸡","魔陶器：形态变化"
11,"ui/icon/027000/027986.tex","",0,"",0,0,1,0,0,"魔陶器：魔法效果解除","消除本层所有魔法效果","魔陶器：魔法效果解除"
12,"ui/icon/027000/027987.tex","",0,"",0,0,1,0,0,"魔陶器：曼提克化","自身变为曼提克形态","魔陶器：曼提克化"
13,"ui/icon/027000/027988.tex","",0,"",0,0,1,0,0,"魔陶器：梦魔化","自身变为梦魔形态","魔陶器：梦魔化"
14,"ui/icon/027000/027991.tex","",0,"",0,0,1,0,0,"魔陶器：感知宝藏","显示埋藏的宝藏的所在位置，效果将持续到发现埋藏的宝藏为止","魔陶器：感知宝藏"
15,"ui/icon/027000/027989.tex","",0,"",0,0,1,0,0,"魔陶器：重生","复活第一个陷入无法战斗状态的小队队员","魔陶器：重生"
16,"ui/icon/027000/027990.tex","",0,"",0,0,1,0,0,"魔陶器：基路伯化","自身变为基路伯形态","魔陶器：基路伯化"
