key,0,1
#,Action,Rank
int32,Action,byte
0,"",0
1,"鼻息",4
2,"4星吨",4
3,"水炮",1
4,"苦闷之歌",2
5,"高压电流",4
6,"臭气",3
7,"狂乱",3
8,"水流吐息",4
9,"平原震裂",2
10,"橡果炸弹",1
11,"怒发冲冠",2
12,"精神冲击",1
13,"吸血",1
14,"投弹",2
15,"千针刺",4
16,"钻头炮",2
17,"诡异视线",2
18,"锋利菜刀",4
19,"若隐若现",1
20,"火炎放射",4
21,"拍掌",3
22,"怒视",4
23,"导弹",4
24,"白风",3
25,"终极针",2
26,"自爆",1
27,"融合",2
28,"油性分泌物",3
29,"破防",2
30,"滑舌",4
31,"螺旋尾",4
32,"5级石化",2
33,"月之笛",1
34,"死亡宣告",4
35,"强力守护",4
36,"冰棘屏障",1
37,"寒冰咆哮",2
38,"雷电咆哮",2
39,"惊奇光",2
40,"喷墨",3
41,"投掷沙丁鱼",1
42,"超硬化",4
43,"火投枪",3
44,"飞翎雨",5
45,"地火喷发",5
46,"山崩",5
47,"轰雷",5
48,"冰雪乱舞",5
49,"水神的面纱",5
50,"高山气流",2
51,"万变水波",3
52,"狂风暴雪",4
53,"生物电",2
54,"寒光",2
55,"深渊贯穿",4
56,"唧唧咋咋",1
57,"怪音波",2
58,"绒绒治疗",3
59,"哥布防御",4
60,"魔法锤",2
61,"防御指示",1
62,"蛙腿",1
63,"音爆",4
64,"口笛",3
65,"白骑士之旅",2
66,"黑骑士之旅",2
67,"5级即死",4
68,"火箭炮",2
69,"永恒射线",4
70,"仙人盾",1
71,"复仇冲击",2
72,"天使低语",4
73,"蜕皮",2
74,"逆流",3
75,"捕食",1
76,"小侦测",3
77,"以太复制",4
78,"穿甲散弹",5
79,"类星体",5
80,"正义飞踢",5
81,"渔叉三段",1
82,"哔哩哔哩",2
83,"掀地板之术",3
84,"彻骨雾寒",4
85,"赞歌",2
86,"圣光射线",2
87,"污泥泼洒",1
88,"天使的点心",3
89,"玄结界",4
90,"斗灵弹",2
91,"斗争本能",2
92,"超振动",1
93,"冰焰",2
94,"芥末爆弹",4
95,"龙之力",3
96,"以太火花",1
97,"水力吸引",4
98,"水脉诅咒",2
99,"陆行鸟陨石",1
100,"马特拉魔术",3
101,"生成外设",4
102,"如意大旋风",5
103,"鬼宿脚",5
104,"月下彼岸花",5
