Index,0:？,1:？,2:？
0,0,{{color|#cccccc|<input:2>}},False
1,0,{{color|#cccccc|<input:2>}},False
2,0,{{color|#ff7f7f|<input:2>}},False
3,0,{{color|#b38cff|<input:2>}},False
4,0,,False
5,0,,False
6,0,,False
7,0,,False
8,0,,False
9,0,,False
10,0,{{color|14|t=233|<input:1>：<input:2>}},True
11,0,{{color|15|t=233|<input:1>：<input:2>}},True
12,0,{{color|16|t=233|>><input:1>：<input:2>}},False
13,0,{{color|16|t=233|<input:1> >> <input:2>}},True
14,0,{{color|17|t=233|(<input:1>) <input:2>}},True
15,0,{{color|18|t=233|(<input:1>) <input:2>}},True
16,0,{{color|19|t=233|[1]<<input:1>> <input:2>}},True
17,0,{{color|20|t=233|[2]<<input:1>> <input:2>}},True
18,0,{{color|21|t=233|[3]<<input:1>> <input:2>}},True
19,0,{{color|22|t=233|[4]<<input:1>> <input:2>}},True
20,0,{{color|23|t=233|[5]<<input:1>> <input:2>}},True
21,0,{{color|24|t=233|[6]<<input:1>> <input:2>}},True
22,0,{{color|25|t=233|[7]<<input:1>> <input:2>}},True
23,0,{{color|26|t=233|[8]<<input:1>> <input:2>}},True
24,0,{{color|27|t=233|[部队]<<input:1>> <input:2>}},True
25,0,,False
26,0,,False
27,0,{{color|30|t=233|[新人]<input:1> : <input:2>}},True
28,0,{{color|31|t=233|<input:1><input:2>}},False
29,50,{{color|32|t=233|<input:2>}},False
30,0,{{color|33|t=233|<input:1>：<input:2>}},True
31,0,{{color|17|t=233|(<input:1>) <input:2>}},False
32,0,{{color|17|t=233|(<input:1>) <input:2>}},False
33,0,,False
34,0,,False
35,0,,False
36,0,{{color|28|t=233|[对战]<<input:1>> <input:2>}},True
37,0,{{color|36|t=233|[跨服贝1]<<input:1>> <input:2>}},True
38,0,,False
39,0,,False
40,0,,False
41,50,{{color|37|t=233|<input:2>}},False
42,50,{{color|38|t=233|<input:2>}},False
43,50,{{color|39|t=233|<input:2>}},False
44,50,{{color|40|t=233|<input:2>}},False
45,50,{{color|41|t=233|<input:2>}},False
46,50,{{color|42|t=233|<input:2>}},False
47,50,{{color|43|t=233|<input:2>}},False
48,50,{{color|42|t=233|<input:2>}},False
49,50,{{color|43|t=233|<input:2>}},False
50,0,,False
51,0,,False
52,0,,False
53,0,,False
54,0,,False
55,0,{{color|45|t=233|<input:2>}},False
56,0,{{color|44|t=233|<input:2>}},False
57,0,{{color|45|t=233|<input:2>}},False
58,50,{{color|58|t=233|<input:2>}},False
59,0,{{color|59|t=233|<input:2>}},False
60,0,{{color|60|t=233|<input:2>}},False
61,0,{{color|61|t=233|<input:1> : <input:2>}},False
62,0,{{color|62|t=233|<input:2>}},False
63,0,,False
64,50,{{color|63|t=233|<input:2>}},False
65,0,{{color|64|t=233|<input:2>}},False
66,50,{{color|65|t=233|<input:2>}},False
67,50,{{color|66|t=233|<input:2>}},False
68,0,{{color|61|t=233|<input:1>：<input:2>}},False
69,0,{{color|34|t=233|<input:2>}},False
70,0,{{color|34|t=233|<input:2>}},False
71,0,{{color|45|t=233|<input:2>}},False
72,0,{{color|45|t=233|<input:2>}},False
73,0,{{color|45|t=233|<input:2>}},False
74,0,{{color|64|t=233|<input:2>}},False
75,0,{{color|35|t=233|<input:2>}},False
76,0,{{color|45|t=233|<input:2>}},False
77,0,{{color|29|t=233|<input:2>}},False
78,0,{{color|29|t=233|<input:2>}},False
79,0,{{color|45|t=233|<input:2>}},False
80,0,{{color|16|t=233|[游戏管理员]<input:1> >> <input:2>}},True
81,0,{{color|14|t=233|[游戏管理员]<input:1>：<input:2>}},True
82,0,{{color|15|t=233|[游戏管理员]<input:1>：<input:2>}},True
83,0,{{color|33|t=233|[游戏管理员]<input:1>：<input:2>}},True
84,0,{{color|17|t=233|([游戏管理员]<input:1>) <input:2>}},True
85,0,{{color|27|t=233|[部队]<[游戏管理员]<input:1>> <input:2>}},True
86,0,{{color|19|t=233|[1]<[游戏管理员]<input:1>> <input:2>}},True
87,0,{{color|20|t=233|[2]<[游戏管理员]<input:1>> <input:2>}},True
88,0,{{color|21|t=233|[3]<[游戏管理员]<input:1>> <input:2>}},True
89,0,{{color|22|t=233|[4]<[游戏管理员]<input:1>> <input:2>}},True
90,0,{{color|23|t=233|[5]<[游戏管理员]<input:1>> <input:2>}},True
91,0,{{color|24|t=233|[6]<[游戏管理员]<input:1>> <input:2>}},True
92,0,{{color|25|t=233|[7]<[游戏管理员]<input:1>> <input:2>}},True
93,0,{{color|26|t=233|[8]<[游戏管理员]<input:1>> <input:2>}},True
94,0,{{color|30|t=233|[新人][游戏管理员]<<input:1>> : <input:2>}},True
95,0,,False
96,0,,False
97,0,,False
98,0,,False
99,0,,False
100,0,,False
101,0,{{color|85|t=233|[跨服贝2]<<input:1>> <input:2>}},True
102,0,{{color|86|t=233|[跨服贝3]<<input:1>> <input:2>}},True
103,0,{{color|87|t=233|[跨服贝4]<<input:1>> <input:2>}},True
104,0,{{color|88|t=233|[跨服贝5]<<input:1>> <input:2>}},True
105,0,{{color|89|t=233|[跨服贝6]<<input:1>> <input:2>}},True
106,0,{{color|90|t=233|[跨服贝7]<<input:1>> <input:2>}},True
107,0,{{color|91|t=233|[跨服贝8]<<input:1>> <input:2>}},True
108,0,,False
109,0,,False
110,0,,False
