key,0,1,2,3,4,5,6,7,8,9
#,SGB[0],SGB[1],SGB[2],,,,,,,
int32,ExportedSG,ExportedSG,ExportedSG,uint16,uint16,uint32,uint32,uint32,uint32,uint32
0,,,,0,0,0,0,0,0,0
1,"bg/ffxiv/hou_xx/shared/for_bg/are_t1_m0001.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t2_m0001.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t3_m0001.sgb",32640,34887,11,12,13,0,0
2,"bg/ffxiv/hou_xx/shared/for_bg/are_t1_m0002.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t2_m0002.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t3_m0002.sgb",32694,35030,11,12,13,0,0
3,"bg/ffxiv/hou_xx/shared/for_bg/are_t1_m0003.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t2_m0003.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t3_m0003.sgb",32799,35037,11,12,13,0,0
4,"bg/ffxiv/hou_xx/shared/for_bg/are_t1_m0004.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t2_m0004.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t3_m0004.sgb",32837,35041,11,12,13,0,0
5,"bg/ffxiv/hou_xx/shared/for_bg/are_t1_m0005.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t2_m0005.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t3_m0005.sgb",32918,35044,11,12,13,0,0
6,"bg/ffxiv/hou_xx/shared/for_bg/rod_t1_m0001.sgb","bg/ffxiv/hou_xx/shared/for_bg/rod_t2_m0001.sgb","bg/ffxiv/hou_xx/shared/for_bg/rod_t3_m0001.sgb",32641,34984,14,15,16,0,0
7,"bg/ffxiv/hou_xx/shared/for_bg/rod_t1_m0002.sgb","bg/ffxiv/hou_xx/shared/for_bg/rod_t2_m0002.sgb","bg/ffxiv/hou_xx/shared/for_bg/rod_t3_m0002.sgb",32693,35017,14,15,16,0,0
8,"bg/ffxiv/hou_xx/shared/for_bg/rod_t1_m0003.sgb","bg/ffxiv/hou_xx/shared/for_bg/rod_t2_m0003.sgb","bg/ffxiv/hou_xx/shared/for_bg/rod_t3_m0003.sgb",32871,35042,14,15,16,0,0
9,"bg/ffxiv/hou_xx/shared/for_bg/slp_t1_m0001.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t2_m0001.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t3_m0001.sgb",32728,35022,17,18,19,0,0
10,"bg/ffxiv/hou_xx/shared/for_bg/slp_t1_m0002.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t2_m0002.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t3_m0002.sgb",32698,35036,17,18,19,0,0
11,"bg/ffxiv/hou_xx/shared/for_bg/slp_t1_m0003.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t2_m0003.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t3_m0003.sgb",32834,35038,17,18,19,0,0
12,"bg/ffxiv/hou_xx/shared/for_bg/slp_t1_m0004.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t2_m0004.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t3_m0004.sgb",32861,35043,17,18,19,0,0
13,"bg/ffxiv/hou_xx/shared/for_bg/are_t1_m0006.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t2_m0006.sgb","bg/ffxiv/hou_xx/shared/for_bg/are_t3_m0006.sgb",32920,35045,0,0,0,0,0
14,"bg/ffxiv/hou_xx/shared/for_bg/slp_t1_m0005.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t2_m0005.sgb","bg/ffxiv/hou_xx/shared/for_bg/slp_t3_m0005.sgb",32913,35046,0,0,0,0,0
