key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
#,,,,SGB[0],SGB[1],SGB[2],,SGB[3],,SGB[4],,SGB[5],,SGB[6],,,,,,,Material[0],Material[1],Material[2],Material[3],Material[4],Amount[0],Amount[1],Amount[2],Amount[3],Amount[4],Name,,Icon
int32,byte,byte,uint16,ExportedSG,ExportedSG,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,ExportedSG,byte,byte,byte,byte,byte,byte,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,MJIItemPouch,byte,byte,byte,byte,byte,MJIText,uint16,Image
0,0,0,0,,,,0,,0,,0,,0,,0,0,0,0,0,0,,,,,,0,0,0,0,0,"",0,
1,2,0,0,"bgcommon/mji/buil/02/0002/asset/mon_t4_m0002.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0002.sgb",31,"bgcommon/mji/buil/02/0002/asset/mon_t1_m0002.sgb",27,"bgcommon/mji/buil/02/0002/asset/mon_t2_m0002.sgb",28,"bgcommon/mji/buil/02/0002/asset/mon_t3_m0002.sgb",29,"bgcommon/mji/buil/02/0002/asset/mon_t4_m0002.sgb",30,12,10,4,0,12,"無人島の原木","無人島の石灰岩","無人島のパーム原木","無人島のつる","無人島の銅鉱",15,15,10,5,5,"風車",57,"ui/icon/053000/053914.tex"
2,2,0,0,"bgcommon/mji/buil/02/0005/asset/mon_t4_m0005.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0002.sgb",36,"bgcommon/mji/buil/02/0005/asset/mon_t1_m0005.sgb",32,"bgcommon/mji/buil/02/0005/asset/mon_t2_m0005.sgb",33,"bgcommon/mji/buil/02/0005/asset/mon_t3_m0005.sgb",34,"bgcommon/mji/buil/02/0005/asset/mon_t4_m0005.sgb",35,12,10,4,0,12,"無人島のパーム原木","無人島の原木","無人島の石灰岩","無人島の草葉","無人島のつる",15,15,10,5,5,"ツリーハウス",58,"ui/icon/053000/053911.tex"
3,3,0,0,"bgcommon/mji/buil/02/0004/asset/mon_t4_m0004.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0002.sgb",41,"bgcommon/mji/buil/02/0004/asset/mon_t1_m0004.sgb",37,"bgcommon/mji/buil/02/0004/asset/mon_t2_m0004.sgb",38,"bgcommon/mji/buil/02/0004/asset/mon_t3_m0004.sgb",39,"bgcommon/mji/buil/02/0004/asset/mon_t4_m0004.sgb",40,12,10,4,0,12,"無人島の原木","無人島の石灰岩","無人島の粘土","無人島のパームリーフ","無人島の二枚貝",15,15,10,10,3,"温泉小屋",59,"ui/icon/053000/053910.tex"
4,5,0,0,"bgcommon/mji/buil/02/0003/asset/mon_t4_m0003.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0002.sgb",46,"bgcommon/mji/buil/02/0003/asset/mon_t1_m0003.sgb",42,"bgcommon/mji/buil/02/0003/asset/mon_t2_m0003.sgb",43,"bgcommon/mji/buil/02/0003/asset/mon_t3_m0003.sgb",44,"bgcommon/mji/buil/02/0003/asset/mon_t4_m0003.sgb",45,12,10,4,0,12,"無人島の花崗岩","無人島の麻","無人島の原木","無人島の粘土","無人島の銀鉱",20,10,10,10,3,"灯台",60,"ui/icon/053000/053913.tex"
5,5,0,326,"bgcommon/mji/buil/02/0001/asset/mon_t4_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0002.sgb",51,"bgcommon/mji/buil/02/0001/asset/mon_t1_m0001.sgb",47,"bgcommon/mji/buil/02/0001/asset/mon_t2_m0001.sgb",48,"bgcommon/mji/buil/02/0001/asset/mon_t3_m0001.sgb",49,"bgcommon/mji/buil/02/0001/asset/mon_t4_m0001.sgb",50,12,10,4,0,12,"無人島の花崗岩","無人島の石灰岩","無人島の粘土","無人島の草葉","無人島のアリッサム",15,15,10,10,3,"ウソウソの泉",61,"ui/icon/053000/053912.tex"
6,0,12,0,"bgcommon/mji/buil/02/0006/asset/mon_t4_m0006.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0002.sgb",96,"bgcommon/mji/buil/02/0006/asset/mon_t1_m0006.sgb",92,"bgcommon/mji/buil/02/0006/asset/mon_t2_m0006.sgb",93,"bgcommon/mji/buil/02/0006/asset/mon_t3_m0006.sgb",94,"bgcommon/mji/buil/02/0006/asset/mon_t4_m0006.sgb",95,12,10,4,0,12,"無人島の原木","無人島の極彩色の花","無人島の花崗岩","無人島のつる","無人島のアリッサム",20,10,10,10,5,"アイランドガーデン",68,"ui/icon/053000/053927.tex"
7,6,0,462,"bgcommon/mji/buil/02/0007/asset/mon_t4_m0007.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0001.sgb","bgcommon/mji/buil/common/asset/kmb_t0_m0002.sgb",101,"bgcommon/mji/buil/02/0007/asset/mon_t1_m0007.sgb",102,"bgcommon/mji/buil/02/0007/asset/mon_t2_m0007.sgb",98,"bgcommon/mji/buil/02/0007/asset/mon_t3_m0007.sgb",99,"bgcommon/mji/buil/02/0007/asset/mon_t4_m0007.sgb",100,12,10,4,0,12,"無人島のパーム原木","無人島の鉄鉱","無人島の綿花","無人島のつる","無人島のテナガエビ",20,10,10,10,5,"アイランドアスレチックシップ",81,"ui/icon/053000/053931.tex"
