key,0,1
#,Action,MaxUses
int32,Action,byte
0,"",0
1,"Wisdom of the Aetherweaver",3
2,"Wisdom of the Martialist",3
3,"Wisdom of the Platebearer",3
4,"Wisdom of the Guardian",3
5,"Wisdom of the Ordained",3
6,"Wisdom of the Skirmisher",3
7,"Wisdom of the Watcher",3
8,"Wisdom of the Templar",3
9,"Wisdom of the Irregular",3
10,"Wisdom of the Breathtaker",3
11,"Spirit of the Remembered",1
12,"Protect L",0
13,"Shell L",0
14,"Death L",30
15,"Focus L",99
16,"Paralyze L",99
17,"Paralyze L III",99
18,"Swift L",20
19,"Featherfoot L",50
20,"Spirit Dart L",50
21,"Catastrophe L",3
22,"Dispel L",0
23,"Feint L",0
24,"Stealth L",50
25,"Aetherial Manipulation L",99
26,"Backstep L",99
27,"Tranquilizer L",50
28,"Bloodbath L",30
29,"Rejuvenate L",50
30,"Haymaker L",50
31,"Rapid Recast L",50
32,"Cure L",0
33,"Cure L II",50
34,"Stoneskin L",99
35,"Cure L III",50
36,"Regen L",99
37,"Esuna L",0
38,"Incense L",0
39,"Raise L",99
40,"Bravery L",99
41,"Solid Shield L",30
42,"Spell Shield L",30
43,"Reflect L",99
44,"Smite L",30
45,"Refresh L",99
46,"Banish L",99
47,"Banish L III",50
48,"Magic Burst L",10
49,"Double Edge L",10
50,"Eagle Eye Shot L",30
51,"Perception L",99
52,"Wisdom of the Elder",3
53,"Wisdom of the Duelist",3
54,"Wisdom of the Fiendhunter",3
55,"Wisdom of the Indomitable",3
56,"Sacrifice L",10
