key,0,1
#,,Expac
int32,byte,str
0,0,""
1,2,"蒼天のイシュガルド"
2,3,"紅蓮のリベレーター"
3,4,"漆黒のヴィランズ"
4,1,"レイド"
5,2,"アライアンスレイド"
6,3,"討伐・討滅戦"
7,1,"ヒルディブランド"
8,3,"聖アンダリム神学院記"
9,2,"メインクエスト番外編"
10,1,"木工師"
11,2,"鍛冶師"
12,3,"甲冑師"
13,4,"彫金師"
14,5,"革細工師"
15,6,"裁縫師"
16,7,"錬金術師"
17,8,"調理師"
18,1,"採掘師"
19,2,"園芸師"
20,3,"漁師"
21,1,"剣術士　ナイト"
22,2,"斧術士　戦士"
23,1,"幻術士　白魔道士"
24,22,"巴術士　召喚士"
25,1,"格闘士　モンク"
26,2,"槍術士　竜騎士"
27,3,"双剣士　忍者"
28,11,"弓術士　吟遊詩人"
29,21,"呪術士　黒魔道士"
30,1,"新生エオルゼア"
31,3,"暗黒騎士"
32,4,"ガンブレイカー"
33,2,"学者"
34,3,"占星術師"
35,4,"侍"
36,12,"機工士"
37,13,"踊り子"
38,0,""
39,23,"赤魔道士"
40,99,"青魔道士　(リミテッドジョブ)"
41,0,"TANK"
42,0,"HEALER"
43,0,"DPS"
44,4,"ロールエクストラストーリー"
45,5,"ヴォイド再生計画"
46,5,"暁月のフィナーレ"
47,4,"賢者"
48,5,"リーパー"
49,0,""
