Index,0:？
0,
1,确定要撤除吗？<br>撤除该物品会{{color|id=508|导致物品损坏无法回收}}。
2,确定要解雇<ENpcResident:<var:1>:0>吗？<br>{{color|id=508|解雇后，已设置的外貌信息将清除，契约会重新回收至背包中。}}
3,确定要让雇员离开吗？<br>{{color|id=508|雇员离开后，已设置的外貌信息将清除，营业证书会重新回收至背包中。}}
4,还能够品尝<var:1>次。<br>确定要将道具撤走吗？{{color|id=508|一旦撤走便会直接废弃，无法回收。}}
5,确定要撤除吗？<br>{{color|id=508|※插在里面的道具将会撤除且无法回收。}}
6,确定要撤除吗？<br>水族箱内的道具也会一并撤除且无法回收。
7,确定要撤除吗？<br>{{color|id=508|※画框中的作品将会撤除且无法回收。}}
8,确定要撤除吗？<br>{{color|id=508|※壁纸将会撤除且无法回收。}}
9,确定要回收为契约，并从仓库中转移至背包中吗？<br>{{color|id=508|转移后，已设置的外貌信息将清除。}}
10,确定要将雇员<input:1>回收为营业证书，并从仓库中转移至背包中吗？<br>{{color|id=508|转移后，已设置的外貌信息将清除。}}
11,还能够品尝<var:1>次。<br>确定要将道具从仓库中取出吗？{{color|id=508|一旦取出便会直接废弃，无法回收。}}
12,确定要从仓库中转移至背包中吗？<br>{{color|id=508|※插在里面的道具将会撤除且无法回收。}}
13,确定要将水族箱从仓库中取出吗？<br>水族箱内的道具将会撤除且无法回收。
14,确定要从仓库中转移至背包中吗？<br>{{color|id=508|※画框中的作品将会撤除且无法回收。}}
15,确定要从仓库中转移至背包中吗？<br>{{color|id=508|※壁纸将会撤除且无法回收。}}
16,确定要解雇<ENpcResident:<var:1>:0>吗？<br>{{color|id=508|解雇后，已设置的外貌信息将清除，契约会重新回收至背包中。}}
