key,0,1,2,3
#,BGMSystemDefine,Quest,,BGM
int32,BGMSystemDefine,Quest,byte,Row
50000.0,"0",,0,""
50001.0,"0.5",,0,"BGMSituation#1202"
50001.1,"80","別れと帰還",0,"BGMSituation#1202"
50001.2,"80","紅蓮の炎",0,"BGMSituation#1232"
50001.3,"0","紅蓮の炎",2,"BGMSituation#1232"
50002.0,"0.5",,0,"BGMSituation#1222"
50002.1,"80","紅蓮のリベレーター",0,"BGMSituation#1234"
50003.0,"0.5",,0,"BGMSituation#1222"
50003.1,"80","紅蓮のリベレーター",0,"BGMSituation#1236"
50004.0,"0.5",,0,"music/ffxiv/BGM_Con_Teikoku_01_Sido.scd"
50004.1,"80","志ある者たち",0,"music/ex2/BGM_EX2_Event_03.scd"
50004.2,"80","英雄の帰還",0,"music/ex2/BGM_EX2_Event_02.scd"
50004.3,"0","英雄の帰還",4,"music/ex2/BGM_EX2_Event_02.scd"
50005.0,"0.5",,0,"BGMSituation#1204"
50005.1,"80"," 新たな仲間は光の戦士",0,"BGMSituation#1242"
50006.0,"0.5",,0,"BGMSituation#1222"
50006.1,"80","十六夜の月",0,"BGMSituation#1247"
50007.0,"0.5",,0,"BGMSituation#1209"
50007.1,"80"," 祭れよナマズ",0,"BGMSituation#1248"
50008.0,"0.5",,0,"music/ex2/BGM_EX2_Ban_16.scd"
50008.1,"0","十六夜の月",4,"music/ex2/BGM_EX2_Event_03.scd"
50009.0,"0.5",,0,"music/ex3/BGM_EX3_Town_C_Day.scd"
50009.1,"80","始まりと終わりの光",0,"BGMSituation#1259"
50009.2,"0","始まりと終わりの光",255,"BGMSituation#1259"
50009.3,"80","稀なるつわもの",0,"BGMSituation#1308"
50009.4,"0","稀なるつわもの",5,"BGMSituation#1308"
50009.5,"0","稀なるつわもの",3,"BGMSituation#1302"
50009.6,"80","漆黒のヴィランズ",0,"BGMSituation#1259"
50009.7,"0","漆黒のヴィランズ",11,"BGMSituation#1259"
50009.8,"80","消えることなき希望の唄",0,"music/ex3/BGM_EX3_Town_C_Day.scd"
50009.9,"0","消えることなき希望の唄",2,"music/ex3/BGM_EX3_Town_C_Day.scd"
50009.10,"80","光をもたらす者",0,"music/ex3/BGM_EX3_Event_04.scd"
50009.11,"80","秘めた覚悟",0,"BGMSituation#1259"
50009.12,"80","激動のレイクランド",0,"music/ex3/BGM_EX3_Event_04.scd"
50009.13,"0","激動のレイクランド",255,"music/ex3/BGM_EX3_Event_04.scd"
50009.14,"80","彼方へと祈って",0,"music/ex2/BGM_EX2_Event_36.scd"
50009.15,"80","大罪喰い",0,"BGMSituation#1259"
50009.16,"0","大罪喰い",5,"BGMSituation#1259"
50009.17,"80","予感",0,"music/ex3/BGM_EX3_Town_C_Day.scd"
50009.18,"0","予感",255,"music/ex3/BGM_EX3_Town_C_Day.scd"
50009.19,"0","予感",5,"music/ffxiv/BGM_Null.scd"
50010.0,"0.5",,0,"music/ex3/BGM_EX3_Town_Y_Day2.scd"
50010.1,"80","始まりと終わりの光",0,"BGMSituation#1258"
50010.2,"0","始まりと終わりの光",255,"BGMSituation#1258"
50010.3,"80","稀なるつわもの",0,"BGMSituation#1301"
50010.4,"0","稀なるつわもの",3,"BGMSituation#1301"
50010.5,"80","漆黒のヴィランズ",0,"BGMSituation#1258"
