Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？,13:？,14:？,15:？
0,标准,1,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,回溯过去,60,0.0,-0.20000000298023224,False,-0.20000000298023224,0.0,0.0,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,棕色1,5,0.0,0.0,False,-0.30000001192092896,0.0,0.0,1.0,-0.20000000298023224,0.0,0.0,0.0,0.0,0.10000000149011612,0.8999999761581421
4,黑白1,10,0.0,0.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,鲜艳1,15,0.0,0.0,False,0.0,0.0,-0.20000000298023224,0.0,-0.20000000298023224,0.10000000149011612,0.0,0.10000000149011612,0.0,0.0,1.0
7,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,色调分离1,20,0.0,0.0,False,0.0,0.0,0.5,0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.5,0.5
11,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,色调分离2,21,0.0,0.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999761581421,0.0
13,彩色铅笔,30,0.0,0.0,False,0.10000000149011612,-0.30000001192092896,-0.10000000149011612,0.20000000298023224,0.0,0.0,0.0,0.0,-0.20000000298023224,0.4000000059604645,0.6000000238418579
14,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,色粉画1,50,0.0,0.0,False,0.10000000149011612,-0.30000001192092896,0.0,0.20000000298023224,-0.10000000149011612,0.6000000238418579,0.6000000238418579,0.6000000238418579,-0.20000000298023224,0.10000000149011612,0.4000000059604645
16,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,以太成像,61,0.0,0.0,False,0.0,0.0,-1.0,-0.800000011920929,1.0,1.0,0.699999988079071,0.30000001192092896,1.0,0.30000001192092896,1.0
22,,0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,鲜艳3,17,0.0,0.20000000298023224,False,-0.10000000149011612,0.0,0.20000000298023224,0.0,0.4000000059604645,0.800000011920929,0.800000011920929,1.0,0.0,0.20000000298023224,0.800000011920929
24,棕色2,6,0.0,-1.0,False,0.0,0.10000000149011612,-0.20000000298023224,0.0,0.20000000298023224,0.8999999761581421,0.30000001192092896,0.0,0.0,0.20000000298023224,0.800000011920929
25,黑白2,11,0.0,0.0,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0
26,色粉画2,51,0.0,-0.4000000059604645,True,0.0,-0.20000000298023224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000000149011612,0.30000001192092896
