key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
#,LGB{SharedGroup},,Quest[0],Seq[0],,,Quest[1],Seq[1],,,Quest[2],Seq[2],,,Quest[3],Seq[3],,,Quest[4],Seq[4],,,Quest[5],Seq[5],,,,,
int32,uint32,byte,Quest,uint32,bool,byte,Quest,uint32,bool,byte,Quest,uint32,bool,byte,Quest,uint32,bool,byte,Quest,uint32,bool,byte,Quest,uint32,bool,byte,uint32,uint32,bool
0.0,0,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.0,5421598,2,"信赖导航",3,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.1,5421599,2,"信赖导航",3,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.2,5421600,2,"合成兽之岛",255,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.3,5421601,2,"合成兽之岛",255,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.4,5421603,2,"蓝色铠甲的猛将",255,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.5,5421604,2,"蓝色铠甲的猛将",255,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.6,5887469,1,"亚拉戈的遗产",0,True,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.7,5887470,2,"苍穹之禁城",3,True,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.8,6069137,1,"苍穹之禁城",0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
1.9,8702264,2,"再度翱翔",255,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
2.0,5529190,2,"翻越灵峰",3,True,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
2.1,5912744,2,"田园郡",1,True,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
2.2,6209260,1," 没有名字的骨颌族",0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
2.3,6215627,1," 最初的冒险",0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
2.4,6215629,1," 需求与供给",0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
2.5,6207601,1," 来自天敌的考验",0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
2.6,8468226,1,"威尔布兰德扬帆起航",0,False,2,"月亮的囚徒",3,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
3.0,5889398,2,"玛托雅的洞穴",255,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
3.1,5889399,2,"田园郡",1,True,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,,0,False,0,0,0,False
3.2,5472828,1,"苍穹之禁城",0,False,1,"死斗的终焉",0,False,2,"小小世界的大事件",4,False,2,"因果的分割线",2,False,2,"加速的危机",4,False,2,"神圣审判",4,False,0,0,0,False
