key,0,1,2,3,4,5,6,7,8,9
#,,,,,Exp,Gil,Reward{Tank},Reward{Melee},Reward{Ranged},Objective
int32,byte,byte,byte,byte,uint32,uint32,Item,Item,Item,InstanceContentTextData
0,0,0,0,0,0,0,"","","",""
1,0,1,0,0,1440,200,"初学者手铠","初学者手套","初学者半指手套","持续避开敌人的攻击！"
2,1,2,3,4,1440,200,"","","","使用教官命令的连击攻击木人！"
3,1,5,5,5,1440,200,"初学者铠靴","","","打倒陪练斧术师！"
4,1,6,7,8,1440,200,"","","","同时攻击3个木人
将仇恨集中到自己身上！"
5,1,9,10,11,1440,200,"初学者软甲裤","","","将仇恨集中到自己身上，
与多个敌人战斗！"
6,1,12,13,14,1440,200,"","","","从远距离吸引敌人的同时将其消灭！"
7,1,15,15,15,1440,200,"初学者胸甲","","","警戒援军的同时消灭敌人"
8,2,16,0,0,1440,200,"","初学者长靴","初学者高筒靴","讨伐陪练斧术师！"
9,2,17,0,0,1440,200,"","","","与队友协作消灭敌人！"
10,2,18,0,0,1440,200,"","初学者短裙","初学者皮裙","避开攻击的同时消灭敌人！"
11,2,19,0,0,1440,200,"","","","警惕援军的同时消灭敌人！"
12,2,20,0,0,1440,200,"","初学者罩衣","初学者外套","利用战场的机关消灭敌人！"
13,3,21,0,0,1440,200,"","","初学者高筒靴","恢复队友体力的同时讨伐陪练斧术师！ "
14,3,22,0,0,1440,200,"","","初学者皮裙","恢复队友体力的同时消灭敌人！"
15,3,23,0,0,1440,200,"","","初学者外套","避开攻击的同时恢复队友、消灭敌人！"
16,0,24,0,0,2320,300,"初学者指环","初学者指环","初学者指环",""
