key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
#,FinalQuest,,,Chapter,Quest[0],Quest[1],Quest[2],Quest[3],Quest[4],Quest[5],Quest[6],Quest[7],Quest[8],Quest[9],Quest[10],Quest[11],Quest[12],Quest[13],Quest[14],Quest[15],Quest[16],Quest[17],Quest[18],Quest[19],Quest[20],Quest[21],Quest[22],Quest[23],Quest[24],Quest[25],Quest[26],Quest[27],Quest[28],Quest[29],Quest[30],Quest[31],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,Quest,uint32,byte,QuestRedoChapter,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,Quest,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,,0,0,"QuestRedoChapter#0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"究極幻想アルテマウェポン",0,4,"QuestRedoChapter#1","サマーフォード庄へ","猛者の風格","シーソング石窟に潜む者","陸にあがった海賊","横流し疑惑","芳しき陸の勇者","元海賊を笑う海賊","裏切りの代償","スカイリフトへ","すべてを奪われた地","ブルワーズ灯台の異変","モラビー造船廠へ","帰らぬ造船師","消えた造船師","造船廠を刺す眼光","ヴィクトリー号炎上","蒼き刺青の男たち","スウィフトパーチで蠢く闇","紳士淑女の嗜み","ミズンマストの晩餐会","森都と砂都と",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"究極幻想アルテマウェポン",0,4,"QuestRedoChapter#1","バノック練兵所へ","傭兵の身構え","不審者を追って","チゴーの卵袋","測量機材を探して","森を脅かすものたち","ウォーレン牢獄の影","ベントブランチ牧場への誘い","侵入者に制裁を！","アオツキダケの脅威","牧場に忍び寄る影","伝令文の回覧","飛ぶ魔物の調査","ひそやかな警鐘","取り残された届け物","守るべきぬくもり","不穏な報せ","大樹で蠢く闇の鼓動","祭りの準備","大御霊祭り","海都と砂都と",,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"究極幻想アルテマウェポン",0,5,"QuestRedoChapter#1","ウルダハ操車庫へ","美味しい差し入れ","ササガン大王樹の下で","御礼品は予約品","戦場の備え","迷惑な鉱石マニア","成功の表と裏","ホライズンへ","宝石商の憂鬱","ナナシャマラカイトを取り戻せ！","五月蝿いヤツら","貧民街の連隊長","その男、サー・キヴロン","受け継がれる護身刀","足跡の谷へ","酒のサカナ求む","正義を銅の刃に宿し","落日の銀冑団","至宝の影で蠢く闇","晩餐会に備えて","王宮の晩餐会","海都と森都と",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,,0,0,"QuestRedoChapter#1","海都で待つ仕事",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,0,0,"QuestRedoChapter#1","海都で待つ仕事",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"究極幻想アルテマウェポン",0,7,"QuestRedoChapter#2","サスタシャに挑む者","森都で待つ仕事","タムタラの仄暗い底で","砂都で待つ仕事","カッパーベルで消える夢","暁の血盟","キャンプ・ドライボーンへ","干からびた骨","貧しき者の考え","すがりし光は","共謀者の影","虚ろな富の行方","消えた者たちの行方","生命、マテリア、すべての答え","猛る焔神イフリート","英雄の卵","我が行く道は……（双蛇党）","我が行く道は……（黒渦団）","我が行く道は……（不滅隊）","森の意志あらんことを","海が全てを呑み込むまで","富と国のため","青葉の思惑",,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,66,68,1,2,4,7,0,0,0,0,0,0,0,0,0
7,,0,0,"QuestRedoChapter#2","蜜の道を辿って","変わり者の挨拶","魅惑の手土産","シルフ族との架け橋","挨拶は軽快に","仮宿暮らしの困りごと","知らないヒト","クラクシオの決意","ただよえる長老","バスカロンドラザーズの掟","懐かしき忘れ物","テテルンのふるまい酒","熟成される友情","木立を縫う者","犯人をとっちめろ！","獄の底から響く声","バスカロンの贈り物","シルフ族と蛮神ラムウ","森からの帰還",,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"究極幻想アルテマウェポン",0,9,"QuestRedoChapter#3","不吉な気配","橋上の証言","陽動の狼煙","リトルアラミゴへの旅路","よそ者たちの奮闘","そこに故郷の形見はあるか","アラミゴ解放軍を知る者","無慈悲な精霊","角薬が繋ぐ縁","異邦の絆","リトルアラミゴ再び","密かな企み","ある青年の呼び出し","若き血の暴走","束の間の帰還","浮き村の怪事件","採掘場の切り裂き魔","怨念岩の謎","逢魔が時に光る瞳","推理は踊る","白百合は謡う","ダルタンクール家の悲劇",,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
