key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
#,GatheringPoint[0],PopRange[0],GatheringPoint[1],PopRange[1],GatheringPoint[2],PopRange[2],GatheringPoint[3],PopRange[3],GatheringPoint[4],PopRange[4],GatheringPoint[5],PopRange[5],GatheringPoint[6],PopRange[6],GatheringPoint[7],PopRange[7],GatheringPoint[8],PopRange[8],GatheringPoint[9],PopRange[9],GatheringPoint[10],PopRange[10],GatheringPoint[11],PopRange[11]
int32,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level,GatheringPoint,Level
0,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,
10,"GatheringPoint#30152",,"GatheringPoint#30153",,"GatheringPoint#30155",,"GatheringPoint#30156",,"GatheringPoint#30157",,"GatheringPoint#30158",,"GatheringPoint#30160",,"GatheringPoint#30161",,,,,,,,,
11,"GatheringPoint#30153",,"GatheringPoint#30154",,"GatheringPoint#30155",,"GatheringPoint#30156",,"GatheringPoint#30157",,"GatheringPoint#30158",,"GatheringPoint#30159",,"GatheringPoint#30160",,,,,,,,,
12,"GatheringPoint#30152",,"GatheringPoint#30153",,"GatheringPoint#30154",,"GatheringPoint#30155",,"GatheringPoint#30157",,"GatheringPoint#30159",,"GatheringPoint#30160",,"GatheringPoint#30161",,,,,,,,,
13,"GatheringPoint#30152",,"GatheringPoint#30154",,"GatheringPoint#30155",,"GatheringPoint#30156",,"GatheringPoint#30158",,"GatheringPoint#30159",,"GatheringPoint#30160",,"GatheringPoint#30161",,,,,,,,,
14,"GatheringPoint#30162",,"GatheringPoint#30163",,"GatheringPoint#30165",,"GatheringPoint#30166",,"GatheringPoint#30167",,"GatheringPoint#30168",,"GatheringPoint#30170",,"GatheringPoint#30171",,,,,,,,,
15,"GatheringPoint#30163",,"GatheringPoint#30164",,"GatheringPoint#30165",,"GatheringPoint#30166",,"GatheringPoint#30167",,"GatheringPoint#30168",,"GatheringPoint#30169",,"GatheringPoint#30170",,,,,,,,,
16,"GatheringPoint#30162",,"GatheringPoint#30163",,"GatheringPoint#30164",,"GatheringPoint#30165",,"GatheringPoint#30167",,"GatheringPoint#30169",,"GatheringPoint#30170",,"GatheringPoint#30171",,,,,,,,,
17,"GatheringPoint#30162",,"GatheringPoint#30164",,"GatheringPoint#30165",,"GatheringPoint#30166",,"GatheringPoint#30168",,"GatheringPoint#30169",,"GatheringPoint#30170",,"GatheringPoint#30171",,,,,,,,,
18,"GatheringPoint#30172",,"GatheringPoint#30173",,"GatheringPoint#30174",,"GatheringPoint#30175",,,,,,,,,,,,,,,,,
19,"GatheringPoint#30176",,"GatheringPoint#30177",,"GatheringPoint#30178",,"GatheringPoint#30179",,,,,,,,,,,,,,,,,
20,"GatheringPoint#30180",,"GatheringPoint#30181",,"GatheringPoint#30183",,"GatheringPoint#30184",,"GatheringPoint#30185",,"GatheringPoint#30186",,"GatheringPoint#30188",,"GatheringPoint#30189",,,,,,,,,
21,"GatheringPoint#30181",,"GatheringPoint#30182",,"GatheringPoint#30183",,"GatheringPoint#30184",,"GatheringPoint#30185",,"GatheringPoint#30186",,"GatheringPoint#30187",,"GatheringPoint#30188",,,,,,,,,
22,"GatheringPoint#30180",,"GatheringPoint#30181",,"GatheringPoint#30182",,"GatheringPoint#30183",,"GatheringPoint#30185",,"GatheringPoint#30187",,"GatheringPoint#30188",,"GatheringPoint#30189",,,,,,,,,
23,"GatheringPoint#30180",,"GatheringPoint#30182",,"GatheringPoint#30183",,"GatheringPoint#30184",,"GatheringPoint#30186",,"GatheringPoint#30187",,"GatheringPoint#30188",,"GatheringPoint#30189",,,,,,,,,
24,"GatheringPoint#30190",,"GatheringPoint#30191",,"GatheringPoint#30193",,"GatheringPoint#30194",,"GatheringPoint#30195",,"GatheringPoint#30196",,"GatheringPoint#30198",,"GatheringPoint#30199",,,,,,,,,
25,"GatheringPoint#30191",,"GatheringPoint#30192",,"GatheringPoint#30193",,"GatheringPoint#30194",,"GatheringPoint#30195",,"GatheringPoint#30196",,"GatheringPoint#30197",,"GatheringPoint#30198",,,,,,,,,
26,"GatheringPoint#30190",,"GatheringPoint#30191",,"GatheringPoint#30192",,"GatheringPoint#30193",,"GatheringPoint#30195",,"GatheringPoint#30197",,"GatheringPoint#30198",,"GatheringPoint#30199",,,,,,,,,
27,"GatheringPoint#30190",,"GatheringPoint#30192",,"GatheringPoint#30193",,"GatheringPoint#30194",,"GatheringPoint#30196",,"GatheringPoint#30197",,"GatheringPoint#30198",,"GatheringPoint#30199",,,,,,,,,
28,"GatheringPoint#30200",,"GatheringPoint#30201",,"GatheringPoint#30202",,"GatheringPoint#30203",,,,,,,,,,,,,,,,,
