Index,0:？
0,
1,讨伐敌人
2,寻找道具
3,歼灭敌人
4,追击敌人
5,令敌人弱化，并利用<if (<var:1> == 0) { 情感动作“安抚” } else { <EventItem:<var:1>:0> }>将其驯服
6,通过<if (<var:1> == 0) { 攻击 } else { 使用<EventItem:<var:1>:0> }>来识破敌人的真身并进行讨伐
7,在指定地点巡逻，并击退敌人
8,收集«妖异全集»的书页<br>召唤出被封印的魔物并将其打倒
9,使用情感动作“招手”，将<BNpcName:<var:1>:0>带领到目的地
10,到所有目标地点进行采集<br>随着评价提高会有相应报酬<br>320以上　+25%<br>303以上　+10%<br>286以上　+05%
11,获得目标物品
12,到所有目标地点进行采集，并获得目标物品
13,记录所有目标地点的采集结果<br>随着评价提高会有相应报酬<br>160以上　+25%<br>152以上　+10%<br>143以上　+05%
14,将委托品设置到目标上
15,目标物品不足则任务失败
16,搜索目标地点
17,引诱出目标并将其打倒
18,到所有目标地点进行采集<br>随着评价提高会有相应报酬<br>479以上　+25%<br>454以上　+10%<br>429以上　+05%
19,记录所有目标地点的采集结果<br>随着评价提高会有相应报酬<br>240以上　+25%<br>227以上　+10%<br>215以上　+05%
20,打倒出现的魔物回收«妖异全集»的书页<br>召唤出被封印的魔物并将其打倒
21,进度
22,巡逻目的地
23,过早尝试驯服会起到相反的效果<br>目标会陷入兴奋状态<br>打倒驯服目标也会导致任务失败
24,使用打倒<BNpcName:<var:1>:0>后获得的<EventItem:<var:2>:0>，识破魔物的真身
25,<BNpcName:<var:1>:0>被打倒则任务失败
26,保护目标的同时击退敌人
27,在限制时间内尽可能打倒更多的敌人
28,找到<EventItem:<var:1>:0>的持有者<br>识破其本体并将其消灭
29,
30,打倒呼叫增援的敌人
31,失败条件：没有达到目标数量
32,打倒对“<if (<var:1> == 1) { 戳指 } else { 质疑 }>”动作有反应的敌人<br>获得<EventItem:<var:2>:0>
33,失败条件：失去所有<BNpcName:<var:1>:0>
34,从<BNpcName:<var:1>:0>身上获得<EventItem:<var:2>:0><br>并对<EObj:<var:3>:0>使用<br>将<BNpcName:<var:4>:0>引诱出来
35,过早尝试驯服会起到相反的效果<br>目标会陷入兴奋状态
