key,0,1,2,3,4,5,6,7,8,9
#,Quest,QuestStep,ENPC[0],ENPC[1],ENPC[2],ENPC[3],ENPC[4],ENPC[5],ENPC[6],
int32,Quest,byte,ENpcResident,ENpcResident,ENpcResident,ENpcResident,ENpcResident,ENpcResident,ENpcResident,uint32
0,"大罪喰い",4,"水晶公","アルフィノ","アリゼー","ライナ",,,,0
1,"封印の鍵",2,"ウリエンジェ","サンクレッド","ミンフィリア","アルフィノ","アリゼー",,,0
2,"キタンナ神影洞",2,"サンクレッド","ヤ・シュトラ","ミンフィリア","ウリエンジェ",,,,0
3,"私はここに眠る",2,"ヤ・シュトラ","サンクレッド","リーン","ウリエンジェ","アルフィノ","アリゼー",,0
4,"光をもたらす者",3,"アルフィノ","アリゼー","ウリエンジェ","サンクレッド","リーン","ヤ・シュトラ",,0
5,"漆黒のヴィランズ",7,"アルフィノ","アリゼー","サンクレッド","リーン","ヤ・シュトラ","ウリエンジェ",,0
6,"宮殿に住まいし隠者",2,"水晶公","アルフィノ","アリゼー","ヤ・シュトラ",,,,0
7,"深く潜れ",2,"ウリエンジェ","アルフィノ","アリゼー","サンクレッド","ヤ・シュトラ","リーン",,0
8,"稀なるつわもの",3,"アルフィノ","アリゼー","サンクレッド","ヤ・シュトラ","ウリエンジェ","リーン",,0
9,"仲睦まじき師弟",4,"アルフィノ","アリゼー","ヤ・シュトラ","グ・ラハ・ティア",,,,0
10,"草原に燃ゆる",3,"サンクレッド","アルフィノ","アリゼー","ウリエンジェ","ヤ・シュトラ","グ・ラハ・ティア",,0
11,"「暁」が征く",3,"アルフィノ","アリゼー","サンクレッド","エスティニアン",,,,0
12,"神の門",4,"アリゼー","アルフィノ","ヤ・シュトラ","サンクレッド","ウリエンジェ","グ・ラハ・ティア","エスティニアン",0
13,"燃える空",4,"アルフィノ","アリゼー","サンクレッド","ヤ・シュトラ","グ・ラハ・ティア","エスティニアン",,0
14,"幸せを運ぶ鳥",2,"ヴェーネス","ヒュトロダエウス","エメトセルク",,,,,0
15,"すべての子らよ",2,"アルフィノ","アリゼー","サンクレッド","ウリエンジェ","ヤ・シュトラ","グ・ラハ・ティア","エスティニアン",0
16,"すべての子らよ",4,"アルフィノ","アリゼー","サンクレッド","ウリエンジェ","ヤ・シュトラ","グ・ラハ・ティア","エスティニアン",0
17,"暁月のフィナーレ",1,"アルフィノ","アリゼー","サンクレッド","ウリエンジェ","ヤ・シュトラ","グ・ラハ・ティア","エスティニアン",0
