key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,,Gladiator{Item},Pugilist{Item},Marauder{Item},Lancer{Item},Archer{Item},Conjurer{Item},Thaumaturge{Item},Arcanist(SMN){Item},Arcanist(SCH){Item},Shield{Item},Rogue{Item},,,,,
int32,byte,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,Item,uint32,uint32,uint32,uint32,uint32
0,1,"コルタナ","スファライ","ブラビューラ","ゲイボルグ","アルテミスの弓","タイラス","星屑のロッド","ウイユヴェール","マダレムジエン","ホーリーシールド","吉光",0,0,0,0,0
1,2,"コルタナ・ゼニス","スファライ・ゼニス","ブラビューラ・ゼニス","ゲイボルグ・ゼニス","アルテミスボウ・ゼニス","タイラス・ゼニス","スターダストロッド・ゼニス","ウイユヴェール・ゼニス","マダレムジエン・ゼニス","ホーリーシールド・ゼニス","吉光【改】",0,0,0,0,0
2,3,"コルタナ・アートマ","スファライ・アートマ","ブラビューラ・アートマ","ゲイボルグ・アートマ","アルテミスボウ・アートマ","タイラス・アートマ","スターダストロッド・アートマ","ウイユヴェール・アートマ","マダレムジエン・アートマ","ホーリーシールド・アートマ","吉光【真我】",0,0,0,0,0
3,4,"コルタナ・アニムス","スファライ・アニムス","ブラビューラ・アニムス","ゲイボルグ・アニムス","アルテミスボウ・アニムス","タイラス・アニムス","スターダストロッド・アニムス","ウイユヴェール・アニムス","マダレムジエン・アニムス","ホーリーシールド・アニムス","吉光【入魂】",0,0,0,0,0
4,5,"コルタナ・ノウス","スファライ・ノウス","ブラビューラ・ノウス","ゲイボルグ・ノウス","アルテミスボウ・ノウス","タイラス・ノウス","スターダストロッド・ノウス","ウイユヴェール・ノウス","マダレムジエン・ノウス","ホーリーシールド・ノウス","吉光【新生】",0,0,0,0,0
5,6,"コルタナ・ネクサス","スファライ・ネクサス","ブラビューラ・ネクサス","ゲイボルグ・ネクサス","アルテミスボウ・ネクサス","タイラス・ネクサス","スターダストロッド・ネクサス","ウイユヴェール・ネクサス","マダレムジエン・ネクサス","ホーリーシールド・ネクサス","吉光【真打】",0,0,0,0,0
6,7,"エクスカリバー","カイザーナックル","ラグナロク","ロンギヌス","与一の弓","ニルヴァーナ","リリスロッド","アポカリプス","ラストリゾート","イージスの盾","佐助の刀",0,0,0,0,0
7,8,"エクスカリバー・ゼータ","カイザーナックル・ゼータ","ラグナロク・ゼータ","ロンギヌス・ゼータ","与一の弓【絶】","ニルヴァーナ・ゼータ","リリスロッド・ゼータ","アポカリプス・ゼータ","ラストリゾート・ゼータ","イージスシールド・ゼータ","佐助の刀【絶】",0,0,0,0,0
