key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,Required{Flag},Unlock{Flag},Required{Level},Required{Seals},Reward{Experience},Percent{Base},,GcArmyExpeditionType,Name,Description,Reward{Item}[0],Reward{Item}[1],Reward{Item}[2],Reward{Item}[3],Reward{Item}[4],Reward{Item}[5],Reward{Quantity}[0],Reward{Quantity}[1],Reward{Quantity}[2],Reward{Quantity}[3],Reward{Quantity}[4],Reward{Quantity}[5],Required{Physical}[0],Required{Physical}[1],Required{Physical}[2],Required{Physical}[3],Required{Physical}[4],Required{Physical}[5],Percent{PhysicalMet}[0],Percent{PhysicalMet}[1],Percent{PhysicalMet}[2],Percent{PhysicalMet}[3],Percent{PhysicalMet}[4],Percent{PhysicalMet}[5],Required{Mental}[0],Required{Mental}[1],Required{Mental}[2],Required{Mental}[3],Required{Mental}[4],Required{Mental}[5],Percent{MentalMet}[0],Percent{MentalMet}[1],Percent{MentalMet}[2],Percent{MentalMet}[3],Percent{MentalMet}[4],Percent{MentalMet}[5],Required{Tactical}[0],Required{Tactical}[1],Required{Tactical}[2],Required{Tactical}[3],Required{Tactical}[4],Required{Tactical}[5],Percent{TacticalMet}[0],Percent{TacticalMet}[1],Percent{TacticalMet}[2],Percent{TacticalMet}[3],Percent{TacticalMet}[4],Percent{TacticalMet}[5],Percent{AllMet}[0],Percent{AllMet}[1],Percent{AllMet}[2],Percent{AllMet}[3],Percent{AllMet}[4],Percent{AllMet}[5]
int32,byte,byte,byte,uint16,uint32,byte,byte,GcArmyExpeditionType,str,str,Item,Item,Item,Item,Item,Item,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,uint16,uint16,uint16,uint16,uint16,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte
0,0,0,0,0,0,0,0,"","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,1,0,7500,100,0,"簡易任務","都市内の巡察","<Switch(IntegerParameter(1))><Case(1)>リムサ・ロミンサ</Case><Case(2)>グリダニア</Case><Case(3)>ウルダハ</Case></Switch>都市内の定期巡回を命じる。指定された巡回地点を巡り、都市内の安全を確保されたし。","","","","","","",0,0,0,0,0,0,145,145,145,145,145,145,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,20,20,20,20,20,20
2,8,0,1,500,7500,20,0,"簡易任務","近隣拠点への伝令","<Switch(IntegerParameter(1))><Case(1)>デネベール関門</Case><Case(2)>バノック練兵所</Case><Case(3)>サゴリー関所</Case></Switch>への伝令を命じる。軍関係の書類を該当施設に駐屯する部隊へと届けるべし。","","","","","","",0,0,0,0,0,0,165,165,165,150,160,150,20,20,20,20,20,20,160,160,170,170,150,160,20,20,20,20,20,20,160,160,150,165,175,175,20,20,20,20,20,20,20,20,20,20,20,20
3,8,0,1,500,9000,20,0,"簡易任務","都市周辺の街道巡回","<Switch(IntegerParameter(1))><Case(1)>中央ラノシア</Case><Case(2)>黒衣森：中央森林</Case><Case(3)>中央ザナラーン</Case></Switch>の主要街道の巡回を命じる。都市民や旅人、隊商たちの安全を脅かす魔物は、発見次第、排除すべし。","","","","","","",0,0,0,0,0,0,245,245,150,195,155,195,20,20,20,20,20,20,155,200,255,255,195,155,20,20,20,20,20,20,200,155,195,150,250,250,20,20,20,20,20,20,20,20,20,20,20,20
4,8,0,5,500,10500,20,0,"簡易任務","蛮族部隊の偵察","<Switch(IntegerParameter(1))><Case(1)>低地ラノシアにてコボルド族</Case><Case(2)>南部森林にてイクサル族</Case><Case(3)>中央ザナラーンにてアマルジャ族</Case></Switch>を目撃したとの情報が寄せられた。ただちに現場に急行し、敵軍の動向を偵察し報告せよ。","","","","","","",0,0,0,0,0,0,150,195,155,245,245,195,20,20,20,20,20,20,255,155,195,200,155,255,20,20,20,20,20,20,195,250,250,155,200,150,20,20,20,20,20,20,20,20,20,20,20,20
5,8,0,10,500,12000,20,0,"簡易任務","補給部隊の護衛","<Switch(IntegerParameter(1))><Case(1)>キャンプ・スカルバレー</Case><Case(2)>アマリセ監視哨</Case><Case(3)>キャンプ・ドライボーン</Case></Switch>に向かう補給部隊の護衛を命じる。いかなる時も警戒を怠らず、補給部隊の安全を確保せよ。","","","","","","",0,0,0,0,0,0,210,125,305,305,210,115,20,20,20,20,20,20,125,210,210,130,320,320,20,20,20,20,20,20,310,310,130,210,115,210,20,20,20,20,20,20,20,20,20,20,20,20
6,8,0,15,500,13500,20,0,"簡易任務","害獣の駆除","<Switch(IntegerParameter(1))><Case(1)>中央ラノシア</Case><Case(2)>黒衣森：中央森林</Case><Case(3)>中央ザナラーン</Case></Switch>の住人から、<Switch(IntegerParameter(1))><Case(1)>グゥーブー</Case><Case(2)>トレント</Case><Case(3)>ジャイアントトータス</Case></Switch>の駆除要請が届いた。ただちに現場に赴き、これ以上の害獣被害を食い止めよ。","軍用募兵マニュアル","軍用募兵マニュアル","軍用募兵マニュアル","軍用募兵マニュアル","軍用募兵マニュアル","軍用募兵マニュアル",1,1,1,1,1,1,140,225,320,320,130,225,20,20,20,20,20,20,225,140,145,225,335,335,20,20,20,20,20,20,325,325,225,145,225,130,20,20,20,20,20,20,20,20,20,20,20,20
7,10,12,20,2000,21000,0,0,"簡易任務","重要任務：低級妖異の排除","<Switch(IntegerParameter(1))><Case(1)>ささやきの谷</Case><Case(2)>ウォーレン牢獄</Case><Case(3)>ノフィカの井戸</Case></Switch>にて、低級妖異と思しき影が目撃された。このまま捨て置けば、いずれ現地住民に被害が出かねない。ただちに現場に急行し、確実にすべての妖異を撃滅せよ。","戦闘技術教本:守勢","戦闘技術教本:守勢","戦闘技術教本:守勢","戦闘技術教本:守勢","戦闘技術教本:守勢","戦闘技術教本:守勢",1,1,1,1,1,1,225,225,225,225,225,225,0,0,0,0,0,0,205,205,205,205,205,205,0,0,0,0,0,0,230,230,230,230,230,230,0,0,0,0,0,0,100,100,100,100,100,100
