key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,bit&01,uint16,byte,uint16,bit&02,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,str,str,str,str,str,str,str,str,str,str,str
0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
1,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
2,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
3,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
4,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
5,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
6,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
7,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
8,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
9,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
10,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
11,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
12,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
13,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
14,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
15,3,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"必要MGP：<Format(IntegerParameter(1),FF022C)/>MGP","やる","やる(無料券)","キャンセル","","","","","","",""
16,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"挑戦には<Value>IntegerParameter(1)</Value>MGPが必要です。
よろしいですか？
[所持MGP：<Format(IntegerParameter(2),FF022C)/>]
[残り挑戦回数：<Value>IntegerParameter(4)</Value>回]","はい","いいえ","","","","","","","",""
17,1,0,False,44,2,0,False,0,0,0,0,0,0,0,0,0,0,"どうやら、MGPが足りないようですね……。
まずは、「MGP交換窓口」を覗いてみてはいかがでしょう？","","","","","","","","","",""
18,1,0,False,45,2,0,False,0,0,0,0,0,0,0,0,0,0,"おや、お客様は、先ほども挑戦してらっしゃいましたね……。
「ミニ・くじテンダー」を気に入っていただき光栄ですが、
おひとり様につき、挑戦は3回までとなっております……。","","","","","","","","","",""
19,1,0,False,16,2,764,False,0,0,0,0,0,0,0,0,0,0,"第<Value>IntegerParameter(3)</Value>回「ミニ・くじテンダー」を開催中です！
今日という日の運試しに、いかがでしょうか？","","","","","","","","","",""
20,1,0,False,21,2,764,False,0,0,0,0,0,0,0,0,0,0,"ああっ、あなた、大変でございます！
迷子になっているヒナチョコボを見つけたのですが、
意地悪なゴブリン族が、近づくのを阻んでくるのです。","","","","","","","","","",""
21,1,0,False,158,2,0,False,0,0,0,0,0,0,0,0,0,0,"爆弾がドンドン落ちてくるせいで、私では助けにいけず……。
どうか、「マウント・コレル」の頂上まで登って、
あの子を助けだしてあげてください！","","","","","","","","","",""
22,1,0,False,23,2,764,False,0,0,0,0,0,0,0,0,0,0,"勇敢に挑み、そして落ちていく姿……とても感動的でした！
しかし、ヒナチョコボはまだ頂上で震えています……。
あの子を助けだしてはいただけませんか？","","","","","","","","","",""
23,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"もう一度、挑戦しますか？","はい","いいえ","","","","","","","",""
24,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"ヒナチョコボを救助していただき、ありがとうございます！
もし、あの子がまた迷子になってしまったら……
そのときは、よろしくお願いいたしますね！","","","","","","","","","",""
25,1,0,False,140,2,0,False,0,0,0,0,0,0,0,0,0,0,"お手数なのですが、この「繊細な壺」を、
奴らの視界に入らないよう届けてくれませんか？
かなり壊れやすいから、そ～～っと運んでくださいね！","","","","","","","","","",""
26,1,0,False,143,2,0,False,0,0,0,0,0,0,0,0,0,0,"お手数なのですが、この「繊細な壺」を、
奴らの視界に入らないよう届けてくれませんか？
かなり壊れやすいから、そ～～っと運んでくださいね！","","","","","","","","","",""
27,1,0,False,28,2,764,False,0,0,0,0,0,0,0,0,0,0,"<If(PlayerParameter(4))>お姉ちゃん<Else/>お兄ちゃん</If>、大変よ！
迷子になっているヒナチョコボを見つけたんだけど、
意地悪なゴブリン族が、近づくのを邪魔してくるの！","","","","","","","","","",""
28,1,0,False,159,2,0,False,0,0,0,0,0,0,0,0,0,0,"爆弾がドンドン落ちてくるせいで、私じゃ助けに行けないわ。
どうか、「ジャボテンダー」の頂上まで登って、
あの子を助けだしてあげて！","","","","","","","","","",""
29,1,0,False,30,2,764,False,0,0,0,0,0,0,0,0,0,0,"<If(PlayerParameter(4))>お姉ちゃん<Else/>お兄ちゃん</If>の頑張ってる姿、ちゃんとこの目で見ていたわ！
でも、ヒナチョコボは、まだてっぺんよ……。
お願い、もうちょっとだけ頑張って！","","","","","","","","","",""
30,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"もう一度、挑戦しますか？","はい","いいえ","","","","","","","",""
31,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"ヒナチョコボを助けてくれてありがとう！
もし、あの子がまた迷子になっちゃったら……
<If(PlayerParameter(4))>お姉ちゃん<Else/>お兄ちゃん</If>の力を貸してくれると嬉しいな！","","","","","","","","","",""
32,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"あら、お荷物がいっぱいのようですね……。
景品を受け取る前に、一度整理をなさってはいかがでしょう。","","","","","","","","","",""
33,1,0,True,100,2,764,False,0,0,0,0,0,0,0,0,0,0,"引き換え可能な、くじがございますね。
それでは、抽選結果を発表いたします！","","","","","","","","","",""
34,1,0,False,35,2,764,False,0,0,0,0,0,0,0,0,0,0,"……あら、将来有望そうなコじゃない。
あなた、ウルダハ社交界の華を目指して、
ダンスレッスンを受けてみるつもりはない……？","","","","","","","","","",""
35,1,0,False,37,2,0,False,0,0,0,0,0,0,0,0,0,0,"そのつもりがあるのなら、ステージに上がりなさいな。
ダンスマスターたちの動きをよく見て、模倣するの。
すべての動きを繰り返せたなら、あなたもダンスマスターよ！","","","","","","","","","",""
36,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"ステージに移動しますか？","はい","いいえ","","","","","","","",""
37,1,7,False,277,2,0,False,0,0,0,0,0,0,0,0,0,0,"ダンスマスターたちは、連続して4つのエモートを行います。
合図とともに、同じエモートを順番通りに行いましょう。
使用するエモートは、EXホットバーから選択できます。","","","","","","","","","",""
38,1,0,False,39,2,764,False,0,0,0,0,0,0,0,0,0,0,"「ジャンボ・くじテンダー」は、参加してくれた人が多いほど、
貰えるMGPが増えていくから、ぜひお友達と参加してね！","","","","","","","","","",""
39,1,7,False,40,0,0,False,0,0,0,0,0,0,0,0,0,0,"「ジャンボ・くじテンダー」で貰える、
「マンダヴィル・ゴールドソーサーポイント（MGP）」には、
その週の購入者数に応じて、購入者ボーナスがつきます。","","","","","","","","","",""
40,1,7,False,105,0,0,False,0,0,0,0,0,0,0,0,0,0,"購入者ボーナスには、複数の段階があります。
くじの購入者が増え、段階が上がるほど、
貰えるボーナスも増えていきます。","","","","","","","","","",""
