key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,,,,,,,,,,,,,,,,,,,,,
int32,str,str,str,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,int16,int16,uint16
0,"","","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
1,"開拓目標：アイランドホールを建築しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ねこみみさんに話を聞く<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
2,"開拓目標：アイランドホールを建築しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ねこみみさんに再度話を聞く<Unknown14>EC</Unknown14></Color>","ねこみみさんに話を聞く",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
3,"開拓目標：アイランドホールを建築しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>「収穫モード」で開拓素材を集め
ねこみみさんに報告する<Unknown14>EC</Unknown14></Color>","ねこみみさんに再度話を聞く",2,2,3,3,2,4,0,3,1,255,0,0,255,0,0,1,0,0,0
4,"開拓目標：アイランドホールを建築しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>開拓製作で無人島開拓用のストーンハチェットを作り
ねこみみさんに報告する<Unknown14>EC</Unknown14></Color>","「収穫モード」で開拓素材を集め、ねこみみさんに報告する",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
5,"開拓目標：アイランドホールを建築しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>開拓素材を集めてアイランドホールを建築する<Unknown14>EC</Unknown14></Color>","開拓製作で無人島開拓用のストーンハチェットを作り、ねこみみさんに報告する",10,10,11,0,10,1,11,5,12,3,5,4,8,5,9,0,0,0,0
6,"開拓目標：アイランドホールを建築しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ねこみみさんに報告する<Unknown14>EC</Unknown14></Color>","開拓素材を集めてアイランドホールを建築する",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
7,"開拓目標：耕作地で作物を育てよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ねこみみさんに話を聞く<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
8,"開拓目標：耕作地で作物を育てよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>たがやすくんに整地を依頼する<Unknown14>EC</Unknown14></Color>","ねこみみさんに話を聞く",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
9,"開拓目標：耕作地で作物を育てよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>たがやすくんに話を聞く<Unknown14>EC</Unknown14></Color>","たがやすくんに整地を依頼する",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
10,"開拓目標：耕作地で作物を育てよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>「種まきモード」で選んだ種を耕作地に植える<Unknown14>EC</Unknown14></Color>","たがやすくんに話を聞く",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40
11,"開拓目標：耕作地で作物を育てよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>「水やりモード」で植えた種に水を与える<Unknown14>EC</Unknown14></Color>","「種まきモード」で選んだ種を耕作地に植える",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-240,112,40
12,"開拓目標：耕作地で作物を育てよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>たがやすくんに報告する<Unknown14>EC</Unknown14></Color>","「水やりモード」で植えた種に水を与える",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
13,"開拓目標：放牧地で動物を飼育しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ねこみみさんに話を聞く<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
14,"開拓目標：放牧地で動物を飼育しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ぼくちくくんに整地を依頼する<Unknown14>EC</Unknown14></Color>","ねこみみさんに話を聞く",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
15,"開拓目標：放牧地で動物を飼育しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ぼくちくくんに話を聞く<Unknown14>EC</Unknown14></Color>","ぼくちくくんに整地を依頼する",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
16,"開拓目標：放牧地で動物を飼育しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>「捕獲モード」で動物を捕獲する<Unknown14>EC</Unknown14></Color>","ぼくちくくんに話を聞く",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,300,-252,600
17,"開拓目標：放牧地で動物を飼育しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ぼくちくくんに話を聞く<Unknown14>EC</Unknown14></Color>","「捕獲モード」で動物を捕獲する",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
18,"開拓目標：放牧地で動物を飼育しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>「餌やりモード」で動物に餌をやる<Unknown14>EC</Unknown14></Color>","ぼくちくくんに話を聞く",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,-292,148,40
19,"開拓目標：放牧地で動物を飼育しよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ぼくちくくんに報告する<Unknown14>EC</Unknown14></Color>","「餌やりモード」で動物に餌をやる",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
20,"開拓目標：開拓工房を建てて貿易の準備をしよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>ねこみみさんに話を聞く<Unknown14>EC</Unknown14></Color>","",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
21,"開拓目標：開拓工房を建てて貿易の準備をしよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>かいたくくん1号に整地を依頼する<Unknown14>EC</Unknown14></Color>","ねこみみさんに話を聞く",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
22,"開拓目標：開拓工房を建てて貿易の準備をしよう","<Color(-1)><Unknown14>FEFF0A6992</Unknown14>かいたくくん1号に話を聞く<Unknown14>EC</Unknown14></Color>","かいたくくん1号に整地を依頼する",255,0,0,255,0,0,255,0,0,255,0,0,255,0,0,0,0,0,0
