Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？,8:？,9:？,10:？,11:？,12:？,13:？,14:？,15:？,16:？,17:？,18:？,19:？
0,0,0,,,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,25,63801,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}风<br>{{color|id=504|评级：}}★★★★<br>,提丰老师的秘技。<br>喷出猛烈的鼻息来攻击正面敌人的青魔法。除了能让敌人受到狂风侵袭外，还可以微妙地造成一些精神伤害。,4,81,0,0,True,False,False,False,False,False,False,False,False,False,False,False
2,26,63802,{{color|id=504|攻击类型：}}物理打击<br>{{color|id=504|攻击属性：}}无<br>{{color|id=504|评级：}}★★★★<br>,奥尔特罗斯的绝招。<br>制造出虚幻的砝码并使其落下压向敌人。实际上砝码究竟是不是正好4星吨就不好说了。,4,81,0,0,True,False,False,False,False,False,False,False,False,False,True,False
3,1,63803,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}水<br>{{color|id=504|评级：}}★<br>,从克拉肯身上学习到的青魔法。<br>放出高压水流对敌人造成冲击。因为是利用水属性以太凝聚空气中的水分，所以即使在看似没有水的地方也能够使用。,3,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
4,9,63804,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}无<br>{{color|id=504|评级：}}★★<br>,塞壬所擅长的青魔法。<br>将恶毒的魔力融入歌声，污染听到的人的精神，由此引起敌人的幻痛，间接对肉体造成伤害。,4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
5,6,63805,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}雷<br>{{color|id=504|评级：}}★★★★<br>,亚拉戈帝国开发出的机械魔法。<br>尝试让机械发动魔法的过程中诞生的产物。首先控制雷属性以太，然后提高电压，最后将电流向四周放射出去。,4,93,0,0,True,False,False,False,True,False,False,False,False,False,False,False
6,28,63806,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}无<br>{{color|id=504|评级：}}★★★<br>,魔界花使用的青魔法。<br>操纵风土两种属性的以太，使以太转向灵极性，由此向口中吐出的气息中加入毒素大范围喷射。被称为是最臭的青魔法。,1,54,0,0,True,False,True,False,True,True,True,False,False,False,True,False
7,4,63807,{{color|id=504|攻击类型：}}物理打击<br>{{color|id=504|攻击属性：}}无<br>{{color|id=504|评级：}}★★★<br>,祖使用的青魔法。<br>使用魔法操纵自身的精神，消除脑内的恐惧并增幅愤怒，以此解除肉体的枷锁，将全部力量发挥出来攻向敌人。,4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
8,3,63808,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}水<br>{{color|id=504|评级：}}★★★★<br>,标志性的水属性青魔法。<br>以强大的魔力操纵周围的水分，制造出大量的水泡包裹住敌人。更能加入有毒成分，侵蚀被包裹的敌人。,4,81,0,0,True,False,False,False,False,False,False,False,False,False,False,False
9,11,63809,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}土<br>{{color|id=504|评级：}}★★<br>,土属性的魔法生物使用的青魔法。<br>使用魔法操纵以太来引发局部地震。据说魔力强大的人使用时连地形都能改变。,4,18,0,0,True,False,False,False,False,False,False,False,False,False,False,False
10,18,63810,{{color|id=504|攻击类型：}}魔法<br>{{color|id=504|攻击属性：}}无<br>{{color|id=504|评级：}}★<br>,树精等草木纲魔物使用的青魔法。<br>撒出橡果状的魔力块并引起连锁爆炸，借此散布具有催眠效果的成分。这种魔法是为了从取食树液的百虫纲魔物手中保护自己而诞生的。,1,57,0,0,True,False,False,False,False,False,False,False,True,False,False,False
