key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
#,Name,,Description,DutyType,,,IsInDutyFinder,OpenRule,,RequiredLevel,,ItemLevel{Required},,Icon,ContentRouletteRoleBonus,Reward{TomeA},Reward{TomeB},Reward{TomeC},,,SortKey,,ContentMemberType,,,,,,,,,,RequireAllDuties,,ContentRouletteOpenRule,InstanceContent,,,,
int32,str,str,str,str,str,byte,uint32,ContentRouletteOpenRule,bit&02,byte,bit&04,byte,byte,Image,ContentRouletteRoleBonus,uint32,byte,uint16,uint16,uint16,uint32,uint16,ContentMemberType,byte,byte,byte,byte,sbyte,byte,byte,byte,byte,bit&08,bit&10,bit&20,InstanceContent,byte,uint16,bit&80,byte
0,"","","","","",0,0,"ContentRouletteOpenRule#0",False,1,False,0,0,,"ContentRouletteRoleBonus#0",0,0,0,0,0,0,0,"ContentMemberType#0",108,0,0,0,-1,0,0,0,0,True,True,False,"InstanceContent#0",0,0,False,0
1,"コンテンツルーレット：レべリング","レベリング","","「コンテンツルーレット：レべリング」では、現在参加することのできるダンジョン、ライトパーティ用討伐戦の中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：レべリング」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※軍票の報酬量は参加するクラス・ジョブのレベルによって決定されます。
※「コンテンツルーレット」の報酬は1日1回のみ得ることができます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。","対応コンテンツ：ライトパーティ用ダンジョン、ライトパーティ用討伐戦",0,0,"ContentRouletteOpenRule#0",True,1,False,16,16,,"ContentRouletteRoleBonus#0",112034,1,0,100,20,0,0,"ContentMemberType#4",142,2,0,0,0,1,0,90,0,True,True,False,"InstanceContent#0",2,0,False,0
2,"コンテンツルーレット：レベル50・60・70ダンジョン","レベル50・60・70ダンジョン","","「コンテンツルーレット：レベル50・60・70ダンジョン」では、現在参加することのできるレベル50・60・70用ダンジョンの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：レベル50・60・70ダンジョン」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ得ることができます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。","対応コンテンツ：ライトパーティ用レベル50・60・70ダンジョン",0,0,"ContentRouletteOpenRule#0",True,1,False,50,50,"ui/icon/000000/000045.tex","ContentRouletteRoleBonus#0",112035,2,100,120,0,0,0,"ContentMemberType#3",142,2,0,0,1,1,0,90,0,True,True,False,"InstanceContent#0",2,0,False,0
3,"コンテンツルーレット：メインクエスト","メインクエスト","","「コンテンツルーレット：メインクエスト」では、現在参加することのできるメインクエスト用8人コンテンツの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※本ルーレットの対応コンテンツは、カットシーンをスキップすることができません。
※「コンテンツルーレット：メインクエスト」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ得ることができます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。","対応コンテンツ：フルパーティ用ダンジョン",0,0,"ContentRouletteOpenRule#0",True,1,False,50,50,"ui/icon/000000/000042.tex","ContentRouletteRoleBonus#0",112036,3,300,100,50,0,0,"ContentMemberType#6",142,3,0,0,2,1,0,120,0,True,True,False,"InstanceContent#0",2,0,False,0
4,"コンテンツルーレット：ギルドオーダー","ギルドオーダー","","「コンテンツルーレット：ギルドオーダー」では、現在参加することのできるギルドオーダーの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：ギルドオーダー」の経験値とギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られる経験値、ギルとの差額を報酬として得られます。
※軍票の報酬量は参加するクラス・ジョブのレベルによって決定されます。
※「コンテンツルーレット」の報酬は1日1回のみ得ることができます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。
※4人パーティでの参加は、4人用ギルドオーダーのみが対象となり、自由なロール構成で参加できます。","対応コンテンツ：ギルドオーダー",0,0,"ContentRouletteOpenRule#0",True,1,False,10,10,,"ContentRouletteRoleBonus#0",112037,4,0,0,0,0,0,"ContentMemberType#7",142,3,0,0,3,1,0,30,0,True,True,False,"InstanceContent#0",2,0,False,0
5,"コンテンツルーレット：エキスパート","エキスパート","","「コンテンツルーレット：エキスパート」では、コンプリート済みのエキスパートダンジョンの中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット：エキスパート」のギルのボーナス値は、参加するクラス・ジョブのレベルによって決定され、参加先コンテンツの道中で得られるギルとの差額を報酬として得られます。
※「コンテンツルーレット」の報酬は1日1回のみ得ることができます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。","対応コンテンツ：ライトパーティ用エキスパートダンジョン",3,0,"ContentRouletteOpenRule#0",True,2,False,80,80,,"ContentRouletteRoleBonus#0",112057,5,0,60,40,0,0,"ContentMemberType#1",142,2,0,0,4,1,0,90,0,True,True,False,"InstanceContent#0",2,0,False,0
6,"コンテンツルーレット：討伐・討滅戦","討伐・討滅戦","","「コンテンツルーレット：討伐・討滅戦」では、現在参加することのできるフルパーティ用討伐・討滅戦の中から参加先がランダムに決定されます。さらに、個別にコンテンツを選択して参加したときよりも、大幅にプラスされたコンプリート報酬を得ることができます。

※「コンテンツルーレット」の報酬は1日1回のみ得ることができます。
※規定人数で参加した場合、不足ロールボーナスを得ることはできません。","対応コンテンツ：フルパーティ用討伐・討滅戦",0,0,"ContentRouletteOpenRule#0",True,1,False,50,50,,"ContentRouletteRoleBonus#0",112056,6,0,60,15,0,0,"ContentMemberType#5",142,3,0,0,5,1,0,60,0,True,True,False,"InstanceContent#0",2,0,False,0
7,"デイリーチャレンジ：フロントライン","フロントライン","","「デイリーチャレンジ：フロントライン」では、現在開催されているフロントラインが参加先に決定されます。開催されているフロントラインは毎日変わるため、参加先はINFORMATIONで確認できます。

※デイリーチャレンジでは1日1回、大幅にプラスされた報酬を得ることができます。","対応コンテンツ：オンサル・ハカイル（終節戦）",0,0,"ContentRouletteOpenRule#0",True,3,True,30,30,,"ContentRouletteRoleBonus#0",112083,0,0,50,20,1000,1000,"ContentMemberType#15",146,24,0,0,6,1,28,20,0,True,True,False,"InstanceContent#0",0,0,False,0
