key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Territory,AetherCurrent[0],AetherCurrent[1],AetherCurrent[2],AetherCurrent[3],AetherCurrent[4],AetherCurrent[5],AetherCurrent[6],AetherCurrent[7],AetherCurrent[8],AetherCurrent[9],AetherCurrent[10],AetherCurrent[11],AetherCurrent[12],AetherCurrent[13],AetherCurrent[14]
int32,TerritoryType,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent,AetherCurrent
0,,,,,,,,,,,,,,,,
1,"r2f1","千年の裏切り","石工たちの悩み","露営地の食料を守れ","眷属狩りの肩慣らし","廃砦捜索 ダスクヴィジル","",,"",,"","",,,,
2,"d2f1","霊峰を越えて","巡回調査","独特な煙","大物の駆除","ヒトを侮るなかれ","",,"",,,,"",,,""
3,"d2f2","禁書庫に眠る論文","冒険者はゴブの仲間","エーテライトの保守点検","人の犯した所業","使い魔ポロッゴ","",,,"",,"",,,,""
4,"d2f3","邪竜狩り","モグプウの苦手なもの","道中の暴れん坊","忙しき庭師たち","監視の緊急事態",,"","","",,,,,,""
5,"a2f1","魔大陸の鍵","無傷の飛膜","廃村で待つもの","渦巻く閃光のように","彼の名はグヌバヌ",,,,"","",,"",,,""
6,"a2f2","翼、広げて","アラグの遺産","誘導を信じて","キメラの棲む島","青き鎧の猛者",,,,,,,,,,
7,"g3f1","温かな歓待","魔導兵器は暴走する","あの人たちは今","縄張り交渉人","嬉しい置き土産","",,"",,,,"","",,
8,"e3f1","ひとときの凪","黒い関係","漕ぎ出せ勘定方","剣に向かって跳べ！","紫水宮の姫君","",,,,"",,,"",,""
9,"g3f2","自由か死か","石切場を取り戻せ","アラギリの恩人","前だけを見ていく","寒村の若者たち",,"",,"",,,"",,,""
10,"e3f2","踏み出す一歩","便利な悪臭","ナマイの野良仕事","変わる棲息地","誇りはどこへ",,,"","",,,"",,"",
11,"g3f3","紅蓮のリベレーター","想定外の敵","死霊を鎮める方法","帝国兵と秘密の地図","魔物は使いよう",,,"",,,,,"","",""
12,"e3f3","歓声は遠く高く","沈黙の民","臆病な羊の捕獲","末弟の仕事","「七剣」マウシの悩み","",,"",,"",,,"",,
13,"n4f1","帯の道を進め！"," ジョッブ砦への労い"," 厳命城のモルタル塗り"," アマロと消えた衛兵"," 物見塔への伝令","",,,,"",,,"","",
14,"n4f3","私はここに眠る"," 働きすぎのモルド族"," 助けて！ スカベンジャー"," 労働者の大事なお守り"," ミステル族の鉱夫","",,,"",,,"",,"",
15,"n4f4","アクトラ・オルワ・イン"," スタンド・バイ・ユアセルフ"," 素敵な飾り付け"," 人気者になりたいの！"," 新たなアマロの来訪者",,,"",,,"",,,"",""
16,"n4f2","光をもたらす者"," 船を壊す船大工"," 惨劇の村"," 悦楽都市からの追手"," ぶっこみのドワーフ","",,,,"",,,"","",
17,"n4f5","キタンナ神影洞"," 想い残りし砦"," 昏き森の守護者"," 露宿との交流"," 双子とふたつの精霊","",,"",,,"",,,,""
18,"n4f6","その者の結末"," 潮溜まりの変わり者"," 優等な市民の務め"," 言論の自由"," 優良な市民たらしめるもの","",,"",,,"",,,,""
19,"l1f1","究極幻想アルテマウェポン",,,,,,,,,,,,,,
20,"k5f1","刻んだ足跡"," 迷子の毛玉ちゃん"," リトルシャーレアンの少年"," グリーナーの願掛け"," 森の賢者","","","","","","","","","",""
21,"m5f1","ちっぽけな日常"," 錬金術師と踊り子と"," アジムステップの若き冒険者"," 星戦士団の巡回"," ソーマ草を摘む者は","","","","","","","","","",""
22,"m5f2","神の門"," 補給隊員と護衛旅"," 青燐技師は押しかけ上手"," 子に語る希望"," 駅と待ちぼうけの少年","","","","","","","","","",""
23,"u5f1","青き星の君たちへ"," ザ・キャロット・オブ・フォー"," レポリットの食卓"," アラグに魅せられて"," ぼくの名前と、ぼくの悩み","","","","","","","","","",""
24,"n5f1","幸せを運ぶ鳥"," 羽ばたけ、アイルーロス"," アカデミア院生の頼まれごと"," 天測園の仕事とは？"," 来訪者との出会い","","","","","","","","","",""
25,"u5f2","君は決して"," 統合するイーアの死"," 会話はイーアのよい刺激"," 戦闘能力の飛躍的な向上を確認しました"," ワタシたちは戦闘により進化する","","","","","","","","","",""
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
