Index,0:？,1:？,2:？,3:？,4:？,5:？
0,0,0,0,,,
1,0,0,0,,,
2,0,0,0,,,
3,0,0,0,,,
4,0,0,0,,,
5,0,0,0,,,
6,0,0,0,,,
7,0,0,0,,,
8,0,0,0,,,
9,0,0,0,,,
10,61,1,10,……怎么了？<br>想买勒昂琅的话，1枚孚布特金币可不够哦？,,
11,61,1,11,水晶公说了什么来着……,,
12,61,1,12,好黑啊……<br>要不要从上面借点蜡烛过来？,,
13,61,1,13,…………<br>干嘛一直盯着我看啊？<br>这边的调查还需要点时间。,,
14,61,1,14,好痛……<br>为、为什么要瞄准我啊……,,
15,57,7,0,即使被击中也纹丝不动，一直盯着这边看。<br>看来至少不是矮人族……,,
16,61,1,15,哦哦，射对啦！<br>为你的判断力和行动力鼓掌啦哩！,,
17,61,1,16,射错啦！<br>我戴的可是真真正正的图尔头盔！<br>错啦错啦！嗯……错啦！,,
18,61,1,17,嘎哈哈哈！哼哼！哼哼哼！<br>不可以对我进行射击哦，看来你还差得远呢！,,
19,57,7,0,发现了疑似目标人物！,,
20,57,7,0,……稳重的气场。<br>不过并不是猫秘族。,,
21,57,7,0,看起来很旧的壁画。<br>身处中央的人物举着武器。<br>黑色野兽被打倒，周围的人们看起来都很开心……,,
22,57,7,0,看起来非常旧的壁画。<br>坐在王座上的人物正在接受很多人的谒见……,,
23,57,7,0,看起来相当旧的壁画。<br>里面画有数名与形成漩涡的黑暗对峙的人物，<br>不过中央部分被刮掉得很厉害……,,
24,61,1,10,那个是垂涎欲滴烙饼！<br>里面加入了又酸又甜的仙人掌的果实，<br>所以干一点也没关系！有助于健康！,,
25,61,1,10,那个是干劲熊熊火腿！<br>是将蜥蜴的贵重部位利用秘传香料制成的火腿！<br>虽然有点奇怪的味道，但是吃了它能让身体变得结实！,,
26,61,1,10,那个是黏黏小串！<br>是将隐藏在附近石场中的小型青蛙简单烤制得到的！<br>很爽口，不粘牙！,,
27,61,1,10,那个是软软腌白蚯蚓！<br>是将大家都很喜欢的白蚯蚓蘸到蜜汁里的梦幻美食！<br>吃完这个就吃不下其他甜食了！,,
28,57,7,0,发现了古旧的石板！,,
29,61,1,18,嗯……这个应该是祭坛，<br>不过却没看到夜之民的代表性祭具水镜啊。<br>是他们离开的时候只把那个带走了吧……,,
30,57,7,0,发现了疑似目标人物！<br>但是往村落那边逃走了……,,
31,57,7,0,一直在盯着这边看。<br>似乎不是神秘的人影……,,
32,61,1,15,啦哩吼！干得漂亮！<br>保持这个状态，正式挑战的时候也要加油啊！,,
33,57,7,0,高耸着的细长建筑，上面有很多窗户。<br>是不曾在其他地方见到过的独特设计。,,
34,57,7,0,……为什么会有鲸头鹳？<br>完全不知道为什么，但就是堂而皇之地出现在那里。,,
35,57,7,0,冰海天使的幼体脸上一副柔弱的表情……<br>肯定是个特别老实的生物。,,
36,61,1,14,咦？！不要趁乱瞄准我啊！<br>兜帽我是不会摘下来的！,,
37,57,7,0,即使被击中也纹丝不动，<br>一直、一直盯着这边看。<br>看来并不是矮人族……,,
38,0,0,0,,,
