Index,0:？,1:？,2:？,3:？,4:？,5:？,6:？,7:？
0,,,405,0,0,False,True,False
1,回收,收回已经招出的召唤兽,530,0,0,False,True,False
2,跟随,让召唤兽跟随自己,529,0,0,False,True,False
3,移动,让召唤兽移动到指定位置,527,0,0,False,True,False
4,待命,让召唤兽在原地待命,528,0,0,False,True,False
5,截击,让召唤兽在召唤者发动攻击或受到攻击后才开始进行战斗,531,0,0,False,True,False
6,等待指示,让召唤兽在接到召唤者的指示前不进行战斗,532,0,0,False,True,False
7,自主战斗,让召唤兽自主攻击,525,0,0,False,True,False
8,协助战斗,让召唤兽进行攻击， 不过一部分技能会在得到命令后才会发动,786,0,0,True,False,False
9,突风,对目标发动风属性魔法攻击　{{color|id=504|威力：}}90,786,637,1,True,False,False
10,吹飞,对目标发动风属性魔法攻击　{{color|id=504|威力：}}80<br>{{color|id=504|追加效果：}}将目标击退15米<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,638,1,True,False,False
11,下行突风,对目标及其周围的敌人发动风属性范围魔法攻击　{{color|id=504|威力：}}80<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,639,1,True,False,False
12,绿宝石之光,一定时间内，令目标受到的魔法伤害增加10%<br>{{color|id=504|持续时间：}}15秒<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,640,1,True,False,False
13,利爪,对目标发动土属性魔法攻击　{{color|id=504|威力：}}70<br>{{color|id=504|追加效果：}}提升仇恨,786,633,2,True,False,False
14,黄宝石之光,对自身周围的敌人发动土属性范围魔法攻击　{{color|id=504|威力：}}60<br>{{color|id=504|追加效果：}}提升仇恨<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,634,2,True,False,False
15,硬化,一定时间内召唤兽所受到的伤害减轻20%　{{color|id=504|持续时间：}}20秒<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,635,2,True,False,False
16,冲撞,对目标发动土属性魔法攻击　{{color|id=504|威力：}}60<br>{{color|id=504|追加效果：}}眩晕　{{color|id=504|持续时间：}}2秒<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,636,2,True,False,False
17,烈风刃,对目标发动风属性魔法攻击　{{color|id=504|威力：}}110,786,792,5,True,False,False
18,震荡波,对目标发动风属性魔法攻击　{{color|id=504|威力：}}90<br>{{color|id=504|追加效果：}}将目标击退15米<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,793,5,True,False,False
19,大气风斩,对目标及其周围的敌人发动风属性范围魔法攻击　{{color|id=504|威力：}}90<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,794,5,True,False,False
20,歪风,一定时间内，令目标受到的魔法伤害增加10%<br>{{color|id=504|持续时间：}}15秒<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,795,5,True,False,False
21,大气爆发,对目标及其周围的敌人发动风属性范围魔法攻击　{{color|id=504|威力：}}250<br>召唤者使用{{color|id=500|“内力迸发”}}时发动,786,796,5,True,False,False
22,碎岩,对目标发动土属性魔法攻击　{{color|id=504|威力：}}85<br>{{color|id=504|追加效果：}}提升仇恨,786,787,4,True,False,False
23,山崩,对自身周围的敌人发动土属性范围魔法攻击　{{color|id=504|威力：}}70<br>{{color|id=504|追加效果：}}提升仇恨<br>{{color|id=500|“协助战斗”状态下在接到命令之前不会发动该技能}},786,788,4,True,False,False
