key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,,Name,Icon,Action,StackSize,,Quest,CastTime,CastTimeline,Timeline
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,bit&01,str,Image,Action,byte,byte,Quest,byte,EventItemCastTimeline,byte
2000000,"",0,"",0,0,1,0,0,False,"",,"",1,1,,0,"normal/item_start",0
2000021,"オニィーの髪飾り",0,"オニィーの髪飾り",0,0,1,0,0,False,"","ui/icon/022000/022623.tex","イベントアイテム",1,1,,3,"normal/item_start",0
2000024,"真新しい工具箱",0,"真新しい工具箱",0,0,1,0,0,False,"","ui/icon/021000/021002.tex","イベントアイテム",1,1,"木工師と野外音楽堂",3,"normal/item_start",0
2000028,"アーゼマローズ",0,"アーゼマローズ",0,0,1,0,0,False,"","ui/icon/025000/025919.tex","イベントアイテム",1,1,"信頼のつぼみ",3,"normal/item_start",0
2000029,"小さな金具",0,"小さな金具",0,0,1,0,0,False,"","ui/icon/021000/021007.tex","イベントアイテム",1,1,"ツリースピーク厩舎の金具",3,"normal/item_start",0
2000038,"ファイアキャンディ",0,"ファイアキャンディ",0,0,1,0,0,False,"","ui/icon/022000/022624.tex","イベントアイテム",1,1,"守護天節はお菓子と共に",3,"normal/item_start",0
2000039,"ウィンドキャンディ",0,"ウィンドキャンディ",0,0,1,0,0,False,"","ui/icon/022000/022625.tex","イベントアイテム",1,1,"守護天節はお菓子と共に",3,"normal/item_start",0
2000040,"アースキャンディ",0,"アースキャンディ",0,0,1,0,0,False,"","ui/icon/022000/022626.tex","イベントアイテム",1,1,"守護天節はお菓子と共に",3,"normal/item_start",0
2000041,"ボムの親指",0,"ボムの親指",0,0,1,0,0,False,"","ui/icon/030000/030351.tex","イベントアイテム",5,1,"守護天節に嗤うランタン",3,"normal/item_start",0
2000042,"守護天節のランタン",0,"守護天節のランタン",0,0,1,0,0,False,"","ui/icon/024000/024153.tex","イベントアイテム",1,1,"守護天節とリムサ・ロミンサのおかしな一座",5,"normal/item_start",0
